ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΒΛΑΧΑΚΟΣ ΝΙΚΟΛΑΟΣ του Αντωνίου,ΔΟΥΝΙΑ ΠΑΝΑΓΙΩΤΑ (ΝΟΝΗ) του Δημητρίου,ΚΑΤΣΑΦΑΔΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΜΑΝΩΛΑΚΟΣ ΝΙΚΟΛΑΟΣ του Πέτρου,ΜΕΛΑΣ ΙΩΑΝΝΗΣ του Παναγιώτη,ΜΙΧΑΗΛΙΔΟΥ ΔΟΜΝΑ-ΜΑΡΙΑ του Αριστείδη,ΧΙΩΤΗ ΕΙΡΗΝΗ του Ανδρέα,ΣΥΡΙΖΑ,ΤΣΙΠΡΑΣ ΑΛΕΞΙΟΣ του Παύλου,ΓΕΝΝΙΑ ΓΕΩΡΓΙΑ του Σωκράτη,ΔΡΙΤΣΑΣ ΘΕΟΔΩΡΟΣ του Παναγιώτη,ΛΟΓΟΘΕΤΗ ΑΙΚΑΤΕΡΙΝΗ (ΚΑΤΕΡΙΝΑ) του Στυλιανού,ΜΠΑΚΑΔΗΜΑ ΦΩΤΕΙΝΗ του Αγαθοκλή,ΜΠΕΛΑΒΙΛΑΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΦΩΤΙΑΔΗΣ ΧΡΗΣΤΟΣ του Παναγιώτη,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΘΑΝΑΣΙΑΔΗΣ ΛΑΖΑΡΟΣ (ΤΑΚΗΣ) του Θεοδώρου,ΒΟΥΡΕΞΑΚΗ - ΤΑΜΠΟΥΡΑΤΖΗ ΚΑΤΕΡΙΝΑ (ΚΑΤΙΝΑ) του Αναστασίου,ΒΡΟΝΤΑΚΗΣ ΑΝΔΡΕΑΣ του Παντελή,ΚΑΤΣΑΦΑΔΟΣ ΒΑΣΙΛΕΙΟΣ του Ηλία,ΚΟΥΚΟΥΔΑΚΗ ΜΑΡΙΑ (ΜΑΡΑ) του Ευάγγελου,ΜΠΙΣΤΙΝΑ ΔΕΣΠΟΙΝΑ του Απόστολου,ΣΠΑΝΑΚΟΣ ΝΙΚΟΛΑΟΣ του Σπύρου,Κ.Κ.Ε.,ΑΜΠΑΤΙΕΛΟΣ ΝΙΚΟΛΑΟΣ του Γεράσιμου,ΓΚΙΤΑΚΟΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΕΥΑΓΓΕΛΑΚΗΣ ΑΘΑΝΑΣΙΟΣ του Βασιλείου,ΚΟΤΕΑΣ ΑΛΕΞΑΝΔΡΟΣ του Νικολάου,ΚΥΖΙΛΗ ΕΥΣΤΡΑΤΙΑ ΟΛΥΜΠΙΑ του Κλεάνθη,ΛΕΩΤΣΑΚΟΥ ΑΝΝΑ του Σταύρου,ΣΤΑΜΑΤΕΛΟΥ ΔΗΜΗΤΡΑ του Σπυρίδωνα,Ελληνική Λύση - Κ. Βελόπουλος,ΚΟΝΤΟΜΑΝΩΛΗΣ ΣΤΑΜΑΤΙΟΣ του Νικολάου,ΜΑΔΥΤΙΝΟΥ ΑΓΡΙΠΠΙΝΑ του Αθανασίου,ΜΟΣΧΟΥ ΒΑΣΙΛΕΙΟΣ του Παράσχου,ΜΟΥΓΙΟΣ ΠΕΤΡΟΣ του Ναπολέοντος,ΠΑΝΟΥ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΣΚΥΛΙΤΣΗ ΑΝΝΑ του Γεωργίου,ΨΩΜΙΑΔΟΥ ΧΡΥΣΟΥΛΑ του Παναγιώτη,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΒΛΑΝΤΗΣ ΠΑΝΑΓΙΩΤΗΣ του Ιωάννη-Παυλή,ΓΕΩΡΓΟΥΛΕΑ ΣΩΤΗΡΙΑ-ΚΥΡΙΑΚΗ (ΣΑΝΤΥ) του Κωνσταντίνου,ΓΚΟΥΜΑΣ ΙΩΑΝΝΗΣ (ΓΙΑΝΗΣ) του Αναστασίου,ΠΕΡΙΦΑΝΗΣ ΒΑΣΙΛΕΙΟΣ του Γεωργίου,ΣΤΑΥΡΟΠΟΥΛΟΥ ΣΤΥΛΙΑΝΗ του Σταύρου,ΧΑΡΑΛΑΜΠΑΚΗΣ ΙΩΑΝΝΗΣ του Θεοδώρου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΙΣΣΑ ΜΑΡΙΑ του Χαραλάμπους,ΡΟΥΣΣΗΣ ΦΙΛΙΠΠΟΣ του Ευαγγέλου,Κ.Κ.Ε. (μ-λ),ΒΑΡΣΟΥ ΕΛΕΥΘΕΡΙΑ του Βασιλείου,ΜΠΑΪΡΑΚΤΑΡΗΣ ΑΝΑΣΤΑΣΙΟΣ του Χρήστου,ΤΣΙΚΝΑΣ ΑΝΤΩΝΙΟΣ του Δημητρίου,Ο.Κ.Δ.Ε.,ΖΕΡΜΑΛΙΑ ΕΙΡΗΝΗ του Στυλιανού,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΔΡΙΑΝΟΥ ΙΦΙΓΕΝΕΙΑ ΠΑΝΑΓΙΩΤΑ του Χαραλάμπους ,ΑΛΦΙΕΡΗΣ ΑΝΤΩΝΙΟΣ του Ευτυχίου,ΔΕΛΑΓΡΑΜΜΑΤΙΚΑ ΓΑΡΥΦΑΛΛΙΑ του Γεωργίου,ΔΙΑΒΟΛΑΚΗΣ ΑΘΑΝΑΣΙΟΣ του Στυλιανού,ΜΕΣΟΛΟΓΓΙΤΗ ΠΗΝΕΛΟΠΗ του Νικολάου,ΠΑΝΑΓΙΩΤΑΚΟΠΟΥΛΟΣ ΠΑΝΤΕΛΕΗΜΩΝ του Ευαγγέλου,ΤΑΒΟΥΛΑΡΗΣ ΜΑΤΘΑΙΟΣ ΒΕΝΙΑΜΙΝ ΑΝΤΡΕΑΣ του Ιωάννη,Κίνημα 21,ΠΕΤΤΑΣ ΠΑΝΑΓΙΩΤΗΣ του Γεωργίου,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Θεοδώρου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΕΥΓΕΝΙΔΟΥ ΑΝΔΡΟΝΙΚΗ (ΝΙΚΗ) του Γεωργίου,ΤΟΥΜΠΟΥΛΙΔΗΣ ΙΟΡΔΑΝΗΣ του Γεωργίου,ΝΙΚΗ,ΚΑΨΑΛΗΣ ΣΠΥΡΟΣ του Δημητρίου,ΝΤΑΚΟΥΛΑΣ ΒΑΣΙΛΕΙΟΣ του Ευαγγέλου,ΡΕΤΣΟΣ ΠΑΝΑΓΙΩΤΗΣ του Αθανασίου,ΣΕΝΗ ΜΑΡΙΝΑ του Ευαγγέλου,ΧΑΡΜΠΗ ΑΡΕΤΗ του Λάμπρου,κοινωνία αξιών,ΚΟΤΡΟΖΟΣ ΑΧΙΛΛΕΥΣ του Κωνσταντίνου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΑΡΓΥΡΙΟΥ ΙΟΥΛΙΑ του Μιχαήλ,Ο.Α.Κ.Κ.Ε.,ΧΡΗΣΤΟΥ ΠΑΝΑΓΙΩΤΗΣ του Ευαγγέλου,Μ-Λ Κ.Κ.Ε.,ΝΙΚΗΤΑ ΑΔΑΜΑΝΤΙΑ του Δημητρίου,ΣΤΑΥΡΙΔΗΣ ΙΩΣΗΦ του Σταύρου,Ελλήνων Συνέλευσις,ΖΑΡΜΑΚΟΥΠΗΣ ΑΠΟΣΤΟΛΟΣ του Ιωάννη,ΘΕΜΕΛΗ ΕΛΕΝΗ του Αχιλλέα,ΘΕΟΔΩΡΟΠΟΥΛΟΥ ΕΛΕΝΗ του Θεοδώρου,ΣΚΑΝΤΖΟΣ ΒΑΣΙΛΕΙΟΣ του Εμμανουήλ,ΤΡΑΚΑ ΘΗΡΕΣΙΑ του Ιωάννη,ΤΣΟΡΗΣ ΣΩΤΗΡΙΟΣ του Κωνσταντίνου,ΧΑΤΖΗΓΙΑΝΝΗΣ ΜΙΧΑΗΛ του Γεωργίου,Ένωση Κεντρώων,ΘΕΟΦΙΛΟΠΟΥΛΟΥ ΟΥΡΑΝΙΑ - ΕΛΠΙΝΙΚΗ του Δημητρίου,ΚΑΣΙΜΑΤΗΣ ΓΕΩΡΓΙΟΣ του Βρεττού,ΚΟΚΚΙΝΟΠΑΝΗΣ ΛΕΩΝΙΔΑΣ του Δημητρίου,ΚΟΥΡΓΙΑΛΗ ΦΩΤΕΙΝΗ του Ιωάννη,ΛΑΟΥΤΑΡΗΣ ΕΜΜΑΝΟΥΗΛ του Ιωάννη,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΒΕΝΙΕΡΗ ΚΑΛΛΙΟΠΗ του Σπυρίδωνος,ΡΑΝΤΟΣ ΣΤΕΦΑΝΟΣ του Χαραλάμπου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΑΝΝΟΥΣΑΚΗΣ ΙΩΑΝΝΗΣ του Σταύρου,ΑΞΗΣ ΙΓΝΑΤΙΟΣ του Ηλία,ΕΥΘΥΜΙΟΥ ΓΕΩΡΓΙΑ του Χρήστου,ΙΩΑΝΝΙΔΗΣ - ΚΟΝΤΗΣ ΚΥΡΙΑΚΟΣ του Αχιλλέως,ΝΤΙΛΗ ΕΛΕΝΗ του Ιωάννη,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΑΝΑΣΤΑΣΟΠΟΥΛΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Παναγιώτη,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΒΟΒΟΛΗΣ ΦΑΙΔΩΝ του Ηλία,ΜΠΑΚΟΜΗΤΡΟΥ ΕΥΓΕΝΙΑ του Λουκά,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΔΕΠΑΣΤΑ ΓΙΑΝΝΟΥΛΑ του Παναγιώτη,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΚΟΥΒΑΤΣΟΣ ΠΕΤΡΟΣ του Ηλία,ΜΠΑΪΜΠΑΚΗΣ ΧΡΗΣΤΟΣ του Αντωνίου,ΜΠΟΓΡΗ ΚΩΝΣΤΑΝΤΙΝΑ του Θεοδώρου,Οικολόγοι Πράσινοι,ΜΗΤΡΟ ΖΑΧΑΡΟΥΛΑ του Αναστάση,ΜΗΤΡΟΣ ΑΧΙΛΛΕΑΣ του Αναστάση,ΠΕΤΡΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αλεξάνδρου,ΕΑΝ...,ΦΛΙΣΚΑΝΟΠΟΥΛΟΣ ΑΛΕΞΑΝΔΡΟΣ του Γεωργίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΔΗΜΟΥΛΗ ΑΝΔΡΙΑΝΗ του Νικολάου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΟΥΣΟΥΡΗΣ ΠΕΤΡΟΣ του Δημητρίου,ΣΟΦΙΟΥ ΠΑΝΑΓΙΩΤΑ (ΝΟΤΑ) του Στυλιανού,ΤΖΙΚΑ ΒΑΣΙΛΙΚΗ του Δημητρίου,ΤΡΙΑΝΤΑΦΥΛΛΟΥ ΠΑΥΛΟΣ του Γεωργίου
40 - Α' Πειραιώς,1 E.T. Δήμου Πειραιώς,551,139,3,2,5,134,57,5,12,26,15,9,23,3,39,0,8,7,8,2,5,9,5,0,1,0,0,2,2,1,12,7,5,0,0,6,2,2,3,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,2,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,4,4,1
40 - Α' Πειραιώς,2 E.T. Δήμου Πειραιώς,552,188,9,1,10,178,89,27,18,33,17,13,36,7,23,0,5,3,9,3,6,0,19,2,6,7,6,4,2,0,10,5,1,1,2,1,3,1,7,2,1,4,0,3,1,3,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,1,1,0,3,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,9,1,4,4,3
40 - Α' Πειραιώς,3 E.T. Δήμου Πειραιώς,552,199,3,4,7,192,77,18,15,35,12,6,23,1,41,0,8,13,12,4,7,6,7,1,2,0,2,2,2,0,15,8,0,2,5,2,2,3,9,2,1,1,1,0,4,3,4,1,0,1,0,0,2,2,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,13,3,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,3,3,9,3,4,2,0
40 - Α' Πειραιώς,4 E.T. Δήμου Πειραιώς,555,295,14,1,15,280,115,20,14,50,17,26,33,6,56,0,11,12,12,6,5,8,17,2,3,4,3,4,1,4,37,14,3,3,2,14,4,2,7,0,1,1,0,1,4,1,4,1,2,1,0,2,0,2,1,1,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,3,3,1,1,1,9,5,1,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,1,0,3,0,2,1,1,0,0,0,0,4,1,1,1,2,1,1,1,10,0,4,6,3
40 - Α' Πειραιώς,5 E.T. Δήμου Πειραιώς,556,298,5,1,6,292,125,26,18,44,19,18,42,12,61,0,11,13,17,6,11,10,16,3,3,6,4,2,4,0,35,15,3,1,6,13,15,6,9,2,2,2,0,0,1,0,10,1,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,2,2,2,5,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,3,1,0,0,0,0,1,0,10,2,6,6,1
40 - Α' Πειραιώς,6 E.T. Δήμου Πειραιώς,560,319,12,0,12,307,135,28,30,57,29,20,54,9,71,0,7,16,15,8,8,13,12,3,1,1,4,1,0,1,35,17,2,1,4,11,4,4,9,3,3,2,2,1,2,2,9,0,4,1,1,4,0,1,1,1,0,0,0,0,0,0,3,0,1,1,0,1,1,0,0,0,5,4,2,2,2,6,1,1,1,2,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,2,0,0,1,0,1,1,1,0,0,0,1,0,0,0,11,2,7,6,2
40 - Α' Πειραιώς,7 E.T. Δήμου Πειραιώς,554,333,10,2,12,321,141,31,23,68,18,25,49,16,68,0,7,17,16,2,9,13,14,2,6,1,1,2,4,3,23,5,1,2,4,7,7,9,11,4,1,0,0,0,6,4,9,2,3,2,0,4,0,0,0,0,1,1,1,0,0,0,4,0,0,2,1,1,1,0,0,0,4,2,4,0,0,15,5,0,4,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,5,0,0,0,1,1,0,0,2,0,1,2,2,1,1,1,0,2,1,0,1,2,2,0,0,11,6,3,2,2
40 - Α' Πειραιώς,8 E.T. Δήμου Πειραιώς,529,293,4,1,5,288,102,15,20,47,22,13,39,4,78,0,13,15,18,6,18,10,18,3,2,7,7,4,0,2,34,15,2,1,7,10,7,12,8,1,2,1,0,0,2,3,3,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,7,3,5,8,4,2,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,0,1,1,1,1,2,1,0,0,1,0,2,1,4,0,2,1,1,0,0,0,0,2,0,1,1,0,0,0,0,8,2,4,1,1
40 - Α' Πειραιώς,9 E.T. Δήμου Πειραιώς,629,418,4,2,6,412,204,57,27,90,42,22,71,8,65,0,17,19,9,8,20,4,22,6,5,4,5,4,1,3,30,13,2,1,5,4,8,8,20,7,6,2,1,0,4,5,18,4,9,3,1,5,1,1,1,1,0,0,0,0,0,0,3,2,0,1,0,1,0,0,3,3,2,2,5,2,0,6,1,1,0,2,2,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,4,3,1,1,0,0,1,0,0,3,1,0,0,0,2,1,1,1,0,1,3,2,2,0,0,1,3,1,0,1,2,1,0,0,10,3,5,4,0
40 - Α' Πειραιώς,10 E.T. Δήμου Πειραιώς,550,348,5,4,9,339,189,54,24,87,41,23,62,12,62,0,11,16,14,2,15,6,15,1,5,2,6,5,3,1,12,5,0,0,0,1,3,4,11,2,0,2,1,1,3,1,14,2,5,2,2,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,3,1,0,0,1,0,0,4,0,4,1,0,0,0,0,0,4,2,2,2,1,1,0,0,12,1,8,6,1
40 - Α' Πειραιώς,11 E.T. Δήμου Πειραιώς,560,349,8,1,9,340,190,50,32,77,26,17,70,8,51,0,7,13,9,12,15,5,17,2,0,5,5,1,1,1,26,5,4,2,1,5,5,8,13,4,1,3,3,1,3,1,8,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,0,1,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,3,1,3,2,0,0,3,1,1,1,0,0,0,0,12,0,8,9,0
40 - Α' Πειραιώς,12 E.T. Δήμου Πειραιώς,553,357,8,1,9,348,176,38,42,76,28,37,68,8,58,0,6,17,13,3,23,5,15,3,1,3,8,5,3,1,31,13,0,2,8,6,6,9,16,7,3,2,0,2,7,5,8,1,2,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,1,1,1,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,5,0,0,2,0,1,0,0,1,0,1,2,2,0,0,0,0,5,3,3,3,0,0,2,0,18,5,11,8,7
40 - Α' Πειραιώς,13 E.T. Δήμου Πειραιώς,551,363,4,5,9,354,176,46,36,78,30,27,71,10,50,0,5,17,16,4,15,8,18,2,5,1,5,7,6,3,35,21,6,1,7,6,7,6,11,3,2,0,0,0,5,1,10,1,3,3,0,4,2,1,1,1,1,0,0,0,0,0,2,0,0,1,1,1,0,1,2,2,4,2,3,1,1,8,7,2,2,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,6,3,0,3,1,4,0,0,1,0,1,2,2,0,0,0,0,7,3,1,2,0,0,0,0,14,1,6,5,3
40 - Α' Πειραιώς,14 E.T. Δήμου Πειραιώς,540,361,5,2,7,354,168,56,22,70,27,32,62,5,71,0,11,13,19,8,15,8,11,3,3,0,2,4,3,3,35,12,5,1,2,7,5,7,5,1,0,0,1,0,2,1,6,3,3,0,1,2,0,1,1,1,2,2,1,1,0,0,2,0,1,2,0,1,0,0,4,3,4,0,4,3,3,12,5,7,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,4,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,1,2,1,0,0,16,2,7,4,1
40 - Α' Πειραιώς,15 E.T. Δήμου Πειραιώς,558,349,16,3,19,330,171,24,27,119,18,28,88,7,55,0,35,13,18,3,38,3,12,1,2,0,2,5,3,1,25,9,4,0,4,6,9,6,21,5,2,2,0,2,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,4,1,1,0,1,0,0,0,0,2,0,0,1,0,2,0,0,1,0,1,3,1,1,0,0,0,4,2,0,1,0,0,1,0,15,3,10,8,2
40 - Α' Πειραιώς,16 E.T. Δήμου Πειραιώς,555,377,14,3,17,360,184,44,36,83,36,28,68,10,70,0,10,22,19,15,21,4,22,1,3,3,5,10,4,3,24,8,3,3,2,7,3,9,6,1,2,0,1,1,3,0,11,2,2,2,1,0,0,1,0,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,4,0,2,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,2,0,0,0,1,0,0,2,1,0,1,1,0,0,0,0,3,1,3,2,0,0,1,1,15,4,6,8,2
40 - Α' Πειραιώς,17 E.T. Δήμου Πειραιώς,539,354,14,1,15,339,183,46,22,95,36,25,69,8,46,0,5,17,12,6,14,4,22,1,3,6,6,2,7,3,37,9,6,2,8,9,9,8,12,3,5,3,2,0,5,0,4,1,0,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,3,1,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,0,1,0,0,1,0,0,1,0,3,1,0,1,1,0,0,0,0,0,1,1,13,1,8,8,2
40 - Α' Πειραιώς,18 E.T. Δήμου Πειραιώς,556,349,2,1,3,346,194,36,37,92,29,31,56,9,58,0,10,16,10,4,16,3,17,4,0,5,5,4,1,2,31,11,5,1,6,2,10,6,11,3,0,1,2,0,3,1,8,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,1,0,11,2,2,0,8,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,1,4,1,1
40 - Α' Πειραιώς,19 E.T. Δήμου Πειραιώς,552,357,6,2,8,349,156,43,23,66,23,20,60,9,77,0,10,22,17,10,22,8,20,2,3,4,3,6,4,1,26,12,5,1,4,7,5,3,8,2,0,2,2,1,3,2,9,0,3,1,2,2,3,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,3,2,0,8,3,1,3,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,1,1,1,1,2,1,0,0,0,1,0,0,6,0,2,6,1,2,0,0,0,2,2,1,1,0,0,2,1,12,2,7,3,3
