ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΓΙΑΝΝΙΚΟΥΡΗΣ ΑΝΤΩΝΙΟΣ του Εμμανουήλ,ΕΜΜΑΝΟΥΗΛ ΑΙΚΑΤΕΡΙΝΗ-ΣΤΥΛΙΑΝΗ του Αντωνίου,ΙΑΤΡΙΔΗ ΤΣΑΜΠΙΚΑ (ΜΙΚΑ) του Ιωάννη,ΚΟΝΣΟΛΑΣ ΕΜΜΑΝΟΥΗΛ (ΜΑΝΟΣ) του Νικία,ΠΑΠΠΑΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΥΨΗΛΑΝΤΗΣ ΒΑΣΙΛΕΙΟΣ-ΝΙΚΟΛΑΟΣ του Αναστασίου,ΦΤΑΚΛΑΚΗ ΠΑΡΑΣΚΕΥΗ-ΕΛΕΥΘΕΡΙΑ (ΛΙΤΣΑ) του Παναγιώτη,ΣΥΡΙΖΑ,ΤΣΙΠΡΑΣ ΑΛΕΞΙΟΣ του Παύλου,ΓΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Θωμά,ΓΙΑΝΝΑΡΟΥ ΣΤΥΛΙΑΝΗ (ΣΤΕΛΛΑ) του Νικολάου,ΚΑΜΑΤΕΡΟΣ ΗΛΙΑΣ του Ιωάννη,ΚΑΡΑΓΙΑΝΝΗ ΧΡΥΣΟΥΛΑ (ΧΡΥΣΑ) του Σάββα,ΚΑΣΣΑΡΑΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΣΑΡΑΝΤΗ ΑΙΚΑΤΕΡΙΝΗ (ΚΑΤΕΡΙΝΑ) του Βασιλείου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΒΟΛΟΝΑΚΗ ΑΙΚΑΤΕΡΙΝΗ του Μιχαήλ,ΓΑΒΑΛΑ ΚΑΤΕΡΙΝΑ του Νικολάου,ΚΟΥΝΑΚΗΣ ΠΑΝΑΓΙΩΤΗΣ του Πέτρου,ΝΙΚΗΤΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΟΙΚΟΥΤΑ ΕΛΕΥΘΕΡΙΑ του Ευριπίδη,ΧΑΝΙΩΤΗΣ ΜΙΧΑΗΛ του Φραγκίσκου,ΧΑΤΖΗΔΙΑΚΟΣ ΦΩΤΙΟΣ του Στέργου,Κ.Κ.Ε.,ΑΓΓΕΛΟΥ ΙΩΑΝΝΗΣ του Γεωργίου,ΓΟΥΡΛΑ ΔΕΣΠΟΙΝΑ του Νικολάου,ΚΟΥΝΤΟΥΡΗ ΘΕΑΝΩ του Εμμανουήλ,ΜΑΚΡΗ ΚΥΡΙΑΚΗ (ΚΙΚΗ) του Νικολάου,ΠΟΤΣΟΣ ΚΑΛΕΤΟΣ (ΤΑΚΗΣ) του Κωνσταντίνου,ΤΣΟΥΚΑΛΑΣ ΓΕΩΡΓΙΟΣ του Μάμμα,ΦΡΑΖΗΣ ΝΙΚΟΛΑΟΣ ΝΕΚΤΑΡΙΟΣ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΑΝΤΩΝΟΓΛΟΥ ΜΑΡΙΚΑ του Κυριάκου,ΓΑΒΑΛΑΣ ΧΑΡΑΛΑΜΠΟΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΚΑΛΥΜΙΑΛΑΡΗΣ ΜΙΧΑΗΛ του Ιωάννη,ΚΑΡΑΜΠΑΤΗΣ ΜΙΧΑΗΛ του Ιωάννη,ΛΥΚΟΠΑΝΤΗ ΕΙΡΗΝΗ του Ηλία,ΜΑΝΟΥΣΟΥ ΕΛΕΝΗ του Δαμιανού,ΠΑΠΟΥΤΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Στέφανου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΛΑΒΕΡΑΣ ΦΙΛΙΠΠΟΣ του Κωνσταντίνου,ΚΑΝΕΤΑΚΗΣ ΓΕΩΡΓΙΟΣ του Θεμιστοκλή,ΚΟΡΑΚΙΑΝΙΤΗ ΠΑΡΑΣΚΕΥΗ (ΒΟΥΛΑ) του Σπυρίδωνα,ΜΠΑΡΑΚΑΣ ΑΘΑΝΑΣΙΟΣ του Αντωνίου,ΠΑΠΑΓΕΩΡΓΙΟΥ ΔΗΜΗΤΡΙΟΣ του Σάββα,ΣΟΥΛΟΥ ΑΝΝΑ (ΑΝΝΕΤΑ) του Νικολάου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΑΝΛΗ ΜΑΡΙΑ του Ελπιδοφόρου,ΜΕΝΤΙΣΟΠΟΥΛΟΥ ΑΝΝΑ του Κυριάκου,ΜΠΕΛΛΟΣ ΑΠΟΣΤΟΛΟΣ του Βασιλείου,Κ.Κ.Ε. (μ-λ),ΜΠΑΚΑΣ ΑΓΓΕΛΟΣ του Βασιλείου,Ο.Κ.Δ.Ε.,ΚΟΛΙΟΥ ΞΑΝΘΗ του Ιωάννη,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΑΘΟΠΟΥΛΗ ΧΡΥΣΑΝΘΗ ΑΛΚΗΣΤΗ του Σακελλάριου Νικόλαου,ΚΟΜΗΝΕΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Νικολάου,ΚΥΠΡΙΩΤΗΣ ΛΑΜΠΡΟΣ του Μιχαήλ,Κίνημα 21,ΔΗΜΗΤΡΑΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,ΑΦΣΑΡΙΔΗ ΚΡΥΣΤΑΛΙΑ του Προδρόμου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΒΡΟΥΒΑΣ ΓΕΩΡΓΙΟΣ του Αντωνίου,ΚΑΠΕΤΑΝΑΚΗ ΙΩΑΝΝΑ του Ανδρέα,ΣΤΕΦΑΝΑΚΗ ΜΑΡΙΑ του Χρήστου,ΝΙΚΗ,ΝΤΟΥΦΑΣ ΘΕΟΦΑΝΗΣ του Γεωργίου,ΠΑΠΑΣΤΑΜΑΤΑΚΗΣ ΣΤΑΜΑΤΙΟΣ του Γεωργίου,ΠΑΡΑΣΧΗ ΑΝΑΣΤΑΣΙΑ του Αντωνίου,κοινωνία αξιών,ΧΙΩΤΙΝΗ (ΚΥΒΕΛΟΥ) ΣΤΕΛΛΑ-ΣΟΦΙΑ του Ιωάννου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΓΑΖΑΚΗ ΖΩΗ του Παντελή,Ο.Α.Κ.Κ.Ε.,ΚΑΡΑΚΑΤΣΑΝΗΣ ΦΡΑΝΤΖΕΣΚΟΣ του Ιωάννη,Μ-Λ Κ.Κ.Ε.,ΑΜΑΛΛΟΥ ΘΕΜΙΣ του Αναστάσιου,Ελλήνων Συνέλευσις,ΗΡΑΚΛΕΙΔΗΣ ΕΥΑΓΓΕΛΟΣ του Νικολάου,ΚΑΛΑΒΡΙΑ ΓΕΩΡΓΙΑ του Μιχαήλ,ΜΟΣΧΗ ΤΣΑΜΠΙΚΑ του Κυριάκου,ΜΠΕΛΕΓΡΗΣ ΣΩΤΗΡΙΟΣ ΣΑΒΒΑΣ του Ηλία,ΠΑΠΑΔΟΠΟΥΛΟΥ ΠΑΡΘΕΝΑ του Αντωνίου,ΦΕΛΕΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Παναγιώτη,ΧΑΤΖΗΔΗΜΗΤΡΙΟΥ ΕΜΜΑΝΟΥΗΛ του Ευστάθιου,Ένωση Κεντρώων,ΑΝΔΡΕΑΔΗΣ ΔΙΑΜΑΝΤΗΣ του Ευστρατίου,ΑΧΛΑΔΗ ΤΟΥΛΑ (ΠΑΜΕΛΑ) του Νικολάου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΖΑΧΑΡΙΑΣ ΣΑΒΒΑΣ του Παναγιώτη,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΧΑΡΑΛΑΜΠΙΔΗΣ ΑΛΕΞΙΟΣ του Γεωργίου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΤΖΑΝΗΣ (ΖΑΝΝΗΣ) ΙΩΑΝΝΗΣ του Νικολάου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΧΑΛΚΙΤΗΣ ΔΗΜΗΤΡΙΟΣ του Μιχαήλ,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΠΕΤΡΟΠΟΥΛΟΣ ΑΝΑΣΤΑΣΙΟΣ του Βασιλείου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΧΑΤΖΗΙΩΑΝΝΟΥ ΕΥΑΓΓΕΛΟΣ του Γεωργίου,Οικολόγοι Πράσινοι,ΔΕΛΛΑΤΟΛΑ ΑΝΝΑ του Ματθαίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΖΑΖΑΝΗ ΑΘΑΝΑΣΙΑ του Αναστασίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΘΑΝΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αθανασίου,ΛΑΪΝΑ ΜΑΡΙΑ του Αθανασίου,ΠΑΝΑΗ ΕΥΑΓΓΕΛΙΑ του Μιχαήλ,ΣΑΒΒΙΔΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ (ΚΩΣΤΗΣ) του Νικολάου,ΧΑΛΚΙΑΣ ΙΩΑΝΝΗΣ του Βασιλείου
52 - Δωδεκανήσου,1 E.T. Δήμου Αγαθονησίου,276,144,4,2,6,138,72,14,12,28,23,32,22,5,28,0,5,1,5,0,19,7,23,0,1,7,17,0,2,4,6,2,3,2,1,0,3,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0
52 - Δωδεκανήσου,2 E.T. Δήμου Αστυπάλαιας,485,264,1,2,3,261,143,32,30,20,32,72,49,9,58,0,17,45,20,0,16,2,29,6,13,9,10,4,1,9,5,3,2,0,1,0,1,1,8,2,1,3,0,1,2,1,5,1,0,1,1,1,1,0,0,0,0,0,0,0,0,3,1,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,3,1,2,1,0,0
52 - Δωδεκανήσου,3 E.T. Δήμου Αστυπάλαιας,414,257,2,1,3,254,127,22,19,18,32,71,44,6,37,0,10,25,16,3,5,1,44,6,22,8,16,2,2,23,8,2,2,3,2,0,1,2,9,2,4,1,2,0,1,0,6,1,2,2,0,0,2,0,0,0,0,0,0,0,0,8,3,8,0,4,3,0,0,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,3,1,0,0
52 - Δωδεκανήσου,4 E.T. Δήμου Αστυπάλαιας,487,220,4,0,4,216,133,31,21,28,37,65,36,7,35,0,15,28,12,0,2,2,22,0,15,3,10,0,1,8,7,0,5,1,3,0,3,0,4,0,2,0,0,1,3,0,7,1,1,2,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
52 - Δωδεκανήσου,5 E.T. Δήμου Αστυπάλαιας,434,235,5,1,6,229,110,14,19,18,30,55,35,16,48,0,12,36,15,1,10,1,36,5,16,14,13,3,6,6,6,3,2,1,0,0,2,0,8,2,3,4,1,0,1,2,7,1,1,2,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,3,1,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,3,5,1,0
52 - Δωδεκανήσου,6 E.T. Δήμου Καλυμνίων,499,244,10,1,11,233,102,15,16,32,24,36,34,4,41,0,2,2,1,4,36,1,26,3,21,4,6,1,1,2,7,1,4,0,2,0,3,1,33,1,29,3,1,0,0,8,1,0,1,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,0,2,1,2,2,1,1,0,0,0,0
52 - Δωδεκανήσου,7 E.T. Δήμου Καλυμνίων,474,218,2,2,4,214,118,21,12,29,34,52,48,6,40,0,2,1,7,0,32,0,16,1,7,2,5,0,2,4,6,0,4,0,0,0,3,0,17,4,14,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,0,0,0,7,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0
52 - Δωδεκανήσου,8 E.T. Δήμου Καλυμνίων,481,227,4,0,4,223,130,19,11,53,51,46,30,8,33,0,3,0,9,3,22,1,13,2,12,0,4,1,0,1,7,1,5,1,0,0,5,1,13,3,11,1,0,0,2,1,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,12,5,4,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,0,1,1,0,0,2,1,0,0,1,1,2,1,2,1,0,0
52 - Δωδεκανήσου,9 E.T. Δήμου Καλυμνίων,524,221,3,0,3,218,91,18,5,26,34,25,40,1,37,0,3,0,5,2,29,0,23,4,18,3,2,1,0,6,24,4,17,2,2,0,10,1,22,2,20,0,0,3,1,0,2,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,1,0,0,1,1,0,0,1,1,2,1,0,0,5,2,3,2,1,0
52 - Δωδεκανήσου,10 E.T. Δήμου Καλυμνίων,459,174,3,0,3,171,83,20,7,29,29,25,24,1,31,0,1,0,1,1,25,0,21,1,19,1,5,0,0,5,5,0,3,1,0,0,1,0,20,2,17,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,2,0,0,0
52 - Δωδεκανήσου,11 E.T. Δήμου Καλυμνίων,497,181,4,0,4,177,104,12,11,31,42,29,33,1,16,0,0,0,5,4,12,1,10,1,8,0,2,0,2,0,10,2,8,0,0,0,7,0,14,1,13,1,0,0,1,1,4,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,0,0,0
52 - Δωδεκανήσου,12 E.T. Δήμου Καλυμνίων,495,239,3,2,5,234,108,14,13,30,41,27,60,3,45,0,5,1,3,0,37,2,29,4,18,8,3,2,1,4,8,1,8,1,1,0,4,0,15,1,10,1,2,0,1,3,4,0,1,2,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,2,2,0,0,1,0,0,0,6,5,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,4,3,1,1,1,0,1,0,0,0,4,1,3,2,0,0
52 - Δωδεκανήσου,13 E.T. Δήμου Καλυμνίων,491,187,9,3,12,175,85,16,2,24,26,30,31,4,25,0,1,0,3,1,15,0,15,1,9,2,6,1,0,2,9,0,4,0,2,0,4,0,11,0,8,0,1,1,1,2,2,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,3,1,0,2,1,1,1,0,0,5,4,0,0,4,2,0,3,1,0
52 - Δωδεκανήσου,14 E.T. Δήμου Καλυμνίων,484,211,5,2,7,204,104,18,12,33,51,28,26,4,17,0,2,0,0,2,14,0,24,4,16,5,3,0,2,6,13,0,10,2,1,0,7,0,19,1,19,0,0,0,2,0,3,1,0,1,0,0,0,2,1,0,2,1,1,0,0,0,0,0,0,2,2,1,0,1,0,0,0,9,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,1,1,0,0,0,2,2,1,0,0,0
52 - Δωδεκανήσου,15 E.T. Δήμου Καλυμνίων,506,217,0,0,0,217,137,29,17,34,42,45,46,2,27,0,1,0,6,2,20,2,20,5,10,2,5,0,1,3,3,0,2,0,0,0,2,1,16,0,14,1,0,0,1,4,2,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
52 - Δωδεκανήσου,16 E.T. Δήμου Καλυμνίων,502,227,2,0,2,225,101,15,12,27,32,27,48,4,34,0,3,0,3,0,28,1,20,1,16,0,8,1,0,0,9,0,5,0,1,0,2,2,27,5,23,2,1,1,1,3,3,1,1,0,0,1,0,3,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,14,5,2,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,1,0,2,2,1,0,1,0,0,0,2,2,1,1,0,0,1,0,0,1,0,1
52 - Δωδεκανήσου,17 E.T. Δήμου Καλυμνίων,621,283,4,0,4,279,133,20,23,35,41,42,43,6,42,0,8,3,7,4,24,4,20,6,13,2,2,1,0,5,13,1,6,4,3,3,3,2,29,8,21,3,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,3,2,0,0,4,3,3,0,10,4,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,2,2,0,0,5,5,1,1,3,2,0,0,1,0,0,0,1,1,7,2,3,1,2,0
52 - Δωδεκανήσου,18 E.T. Δήμου Καλυμνίων,549,312,5,1,6,306,145,19,17,35,37,42,62,6,56,0,5,1,6,1,40,4,18,7,10,3,2,1,1,1,10,0,6,1,0,0,4,0,26,1,21,1,2,5,4,1,10,2,3,2,0,2,5,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,4,1,3,1,14,5,6,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0,4,4,0,0,1,1,2,1,7,3,2,1,0,1
