ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΜΗΤΣΟΤΑΚΗΣ ΚΥΡΙΑΚΟΣ του Κωνσταντίνου,ΔΕΡΜΕΝΤΖΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Αλεξάνδρου,ΔΗΜΟΣΧΑΚΗΣ ΑΝΑΣΤΑΣΙΟΣ (ΤΑΣΟΣ) του Σπύρου,ΚΑΡΑΜΗΤΣΟΥ-ΓΙΑΝΝΕΛΟΥ ΑΙΚΑΤΕΡΙΝΗ του Δημητρίου,ΚΕΛΕΤΣΗΣ ΣΤΑΥΡΟΣ του Δημητρίου,ΚΟΣΜΙΔΟΥ ΕΥΑΓΓΕΛΙΑ του Αποστόλου,ΣΥΡΙΖΑ,ΒΑΛΑΒΑΝΙΔΟΥ ΣΜΑΡΩ του Γεωργίου,ΓΚΑΡΑ ΑΝΑΣΤΑΣΙΑ (ΝΑΤΑΣΑ) του Γεωργίου,ΔΕΔΟΓΛΟΥ ΣΠΥΡΟΣ του Γεωργίου,ΜΑΛΤΕΖΟΣ ΜΕΝΕΛΑΟΣ του Φωτεινού,ΜΠΕΡΔΟΥ ΑΙΚΑΤΕΡΙΝΗ (ΚΑΤΕΡΙΝΑ) του Σταύρου,ΤΣΟΛΑΚΙΔΗΣ ΒΑΣΙΛΕΙΟΣ του Δήμου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΒΑΒΙΑΣ ΣΤΑΥΡΟΣ του Ιωάννη,ΓΡΗΓΟΡΑΙΝΑΣ ΕΥΣΤΡΑΤΙΟΣ (ΣΤΡΑΤΟΣ) του Γεωργίου,ΜΟΥΛΑΤΖΙΔΟΥ ΔΡΟΣΙΑ του Ευαγγέλου,ΜΠΙΛΙΜΠΙΝΗ-ΒΡΑΔΕΛΗ ΕΥΤΕΡΠΗ (ΕΦΗ) του Ξανθίππου,ΠΑΝΑΓΟΥΤΣΟΣ ΣΤΥΛΙΑΝΟΣ (ΣΤΕΛΙΟΣ) του Αθανασίου,ΧΑΜΑΛΙΔΗΣ ΕΛΕΥΘΕΡΙΟΣ του Δημητρίου,Κ.Κ.Ε.,ΔΕΥΤΕΡΑΙΟΣ ΣΑΒΒΑΣ του Παναγή,ΔΙΝΔΙΝΗ ΒΑΪΑ (ΒΑΝΑ) του Νικολάου,ΚΟΥΓΙΟΥΜΤΖΗΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΜΑΡΑΓΚΟΖΑΚΗ ΣΩΤΗΡΙΑ του Γεωργίου,ΠΑΠΑΔΑΜΑΚΗΣ ΧΡΗΣΤΟΣ του Σταύρου,ΦΩΤΙΑΔΗΣ ΤΡΙΑΝΤΑΦΥΛΛΟΣ του Ορέστη,Ελληνική Λύση - Κ. Βελόπουλος,ΓΙΑΝΝΑΡΑΚΟΥ ΕΥΑΓΓΕΛΙΑ του Αντωνίου,ΔΕΡΜΕΝΤΖΟΓΛΟΥ ΙΩΑΝΝΗΣ του Γεωργίου,ΚΙΡΚΟΣ ΜΑΡΓΑΡΙΤΗΣ του Δημητρίου,ΠΑΠΑΔΑΚΗΣ ΠΑΡΑΣΧΟΣ του Χρήστου,ΣΑΧΙΝΙΔΟΥ ΛΥΓΕΡΗ του Γεωργίου,ΣΚΑΡΛΑΤΟΣ ΠΑΝΤΕΛΕΗΜΩΝ του Χρήστου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΝΔΡΕΑΔΑΚΗΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΓΚΙΩΣΗ ΒΑΪΑ του Γεωργίου,ΚΑΛΛΙΝΑΚΗΣ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,ΛΑΜΠΡΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Νικολάου,ΤΣΙΑΚΙΡΗ ΕΥΑΓΓΕΛΙΑ του Μόσχου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΑΠΟΣΤΟΛΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,Κ.Κ.Ε. (μ-λ),ΜΑΛΛΙΑΔΑ ΑΝΘΟΥΛΑ του Ευσταθίου,Ο.Κ.Δ.Ε.,ΓΚΙΩΡΓΚΑΣ ΔΗΜΗΤΡΙΟΣ του Σταύρου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΗΛΙΑΚΗ ΑΓΑΠΗ του Πέτρου,ΚΑΡΠΟΥΖΕΛΗΣ ΝΙΚΟΛΑΟΣ του Δημητρίου,ΜΠΟΤΣΙΔΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΠΟΛΙΤΗ ΤΡΙΑΝΤΑΦΥΛΛΙΑ (ΦΥΛΛΙΑ) του Αθανασίου,Κίνημα 21,ΚΕΦΑΛΟΥΔΗΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΜΠΑΚΕΑΣ ΠΑΝΑΓΙΩΤΗΣ του Βασιλείου,ΜΠΙΝΤΑΚΑΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου,ΜΠΟΥΣΜΠΟΥΚΕΑ ΜΑΡΙΑ του Γεωργίου,ΣΙΟΥΛΗ ΑΝΑΣΤΑΣΙΑ του Κωνσταντίνου,ΝΙΚΗ,ΚΑΡΑΚΑΤΣΙΑΝΗ ΕΙΡΗΝΗ του Δημητρίου,ΜΑΓΓΙΝΑΣ ΝΙΚΟΛΑΟΣ του Θεμιστοκλή,ΞΥΓΩΝΑΚΗΣ ΕΥΣΤΡΑΤΙΟΣ του Αθανασίου,ΣΤΑΦΥΛΙΔΟΥ ΑΠΟΣΤΟΛΙΑ του Μόσχου,κοινωνία αξιών,ΠΑΠΑΓΡΗΓΟΡΙΟΥ (ΜΑΓΚΟΥΡΑ) ΚΡΙΝΙΩ του Ευθυμίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΜΑΥΡΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Σωκράτη,ΠΑΠΑΔΟΠΟΥΛΟΣ ΣΩΤΗΡΙΟΣ του Λαζάρου,ΦΡΑΓΚΟΥ ΑΝΤΩΝΙΑ του Νικολάου,Ο.Α.Κ.Κ.Ε.,ΣΤΕΦΟΠΟΥΛΟΥ ΑΡΓΥΡΩ του Δημητρίου,Μ-Λ Κ.Κ.Ε.,ΚΑΛΑΝΤΖΗ ΑΛΕΞΙΑ του Δημητρίου,Ελλήνων Συνέλευσις,ΑΛΕΞΑΝΔΡΙΔΟΥ ΠΑΡΑΣΚΕΥΗ του Γεωργίου,ΗΛΙΑΔΗΣ ΧΡΗΣΤΟΣ του Δημητρίου,ΚΑΠΟΥΣΟΥΖ ΓΕΩΡΓΙΟΣ του Λαζάρου,ΜΟΡΦΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΤΟΥΦΕΞΗ ΜΑΡΘΑ του Ιακώβου,Ένωση Κεντρώων,ΚΥΜΠΡΙΤΗΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΚΥΡΙΑΚΙΔΟΥ ΣΟΝΙΑ του Σέργιου,ΜΟΥΣΙΩΝΗΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΒΛΑΣΙΟΥ ΠΟΛΥΞΕΝΗ του Κυριάκου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΜΠΑΛΑΜΠΑΝΙΔΗΣ ΚΛΗΜΕΝΤΙΟΣ του Αλεξίου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΠΑΛΛΑΚΗΣ ΑΘΑΝΑΣΙΟΣ του Νικολάου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΣΕΒΑΣΤΟΥ ΜΕΡΟΠΗ του Ιωάννη,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΑΡΚΑ ΜΑΡΓΑΡΙΤΑ του Στυλιανού,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΙΩΑΝΝΙΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Ελευθερίου,ΕΑΝ...,ΚΛΕΙΣΙΑΡΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΑΡΑΜΠΑΤΖΗΣ ΘΕΟΦΑΝΗΣ του Γεωργίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΙΟΥΜΟΥΡΤΖΗ ΕΛΕΝΗ του Ζήση
1 - Έβρου,1 E.T. Δήμου Αλεξανδρούπολης,547,323,10,3,13,310,111,0,42,22,8,44,27,71,6,12,9,41,16,8,37,8,6,7,20,3,3,12,8,3,1,3,3,0,28,7,7,7,9,2,1,18,5,5,4,3,4,1,1,1,1,0,0,1,0,0,0,0,1,1,6,1,2,2,2,4,0,1,0,0,1,1,1,0,1,0,0,0,0,0,2,2,0,0,0,1,1,1,0,0,1,0,3,3,0,0,1,1,1,1,0,0,2,0,2,1,4,3
1 - Έβρου,2 E.T. Δήμου Αλεξανδρούπολης,583,310,6,5,11,299,129,0,38,19,5,57,14,59,14,16,4,34,14,4,30,6,4,4,10,9,5,11,8,0,0,3,3,0,22,4,14,6,4,1,1,5,1,1,0,0,1,6,4,1,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,13,6,6,2,5,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,1,1,0,0,1,1,0,0,2,0,0,0,0,0,9,7
1 - Έβρου,3 E.T. Δήμου Αλεξανδρούπολης,564,309,9,1,10,299,137,0,46,29,11,52,30,54,9,14,2,35,16,5,25,6,4,7,13,6,3,13,7,4,0,3,4,0,24,2,5,8,14,3,0,4,0,1,1,1,1,2,0,0,0,0,0,3,1,0,1,1,2,1,4,2,1,0,0,16,7,9,5,4,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,2,1,1,0,0,0,3,2,0,0,1,1,0,0,1,1,2,1,0,0,4,2
1 - Έβρου,4 E.T. Δήμου Αλεξανδρούπολης,561,330,4,1,5,325,136,0,46,25,12,47,30,56,5,14,4,26,15,14,30,9,5,5,12,7,0,19,9,5,1,5,1,3,38,3,5,12,24,6,1,8,3,4,1,0,4,2,1,0,0,0,0,3,1,1,1,1,3,3,4,0,4,0,2,10,6,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,1,1,2,2,1,1,1,0,3,3
1 - Έβρου,5 E.T. Δήμου Αλεξανδρούπολης,571,369,4,0,4,365,155,0,65,36,7,58,14,60,6,10,4,31,17,10,31,7,4,11,11,2,2,17,14,4,0,2,3,1,41,3,10,11,23,2,3,12,4,6,1,3,3,4,4,0,0,0,0,1,0,1,0,0,5,1,4,1,3,0,0,5,2,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,1,1,0,7,6,3,0,0,0,2,2,0,0,10,9
1 - Έβρου,6 E.T. Δήμου Αλεξανδρούπολης,551,337,8,3,11,326,136,0,63,34,12,48,14,71,8,12,5,44,18,2,32,12,1,6,7,2,6,13,9,4,0,0,0,1,28,3,11,4,14,0,1,7,1,2,0,0,4,3,1,0,0,0,0,1,0,0,0,0,1,1,3,1,1,0,0,10,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,1,0,2,2,2,1,2,2,10,9
1 - Έβρου,7 E.T. Δήμου Αλεξανδρούπολης,552,318,7,1,8,310,117,0,55,26,8,33,19,75,15,18,7,49,15,9,25,9,4,3,8,7,7,20,12,4,1,1,3,0,30,3,6,11,17,5,1,9,3,6,0,1,4,0,0,0,0,0,0,0,0,0,0,0,3,1,4,1,2,3,0,9,4,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,5,3,0,0,2,2,1,0,0,0,1,1,1,0,5,5
1 - Έβρου,8 E.T. Δήμου Αλεξανδρούπολης,554,368,8,2,10,358,166,0,69,34,8,67,29,62,6,21,5,31,14,8,42,12,4,10,17,17,5,9,5,0,0,3,0,0,20,2,6,6,10,1,1,11,4,2,1,1,5,5,4,0,0,0,0,1,1,1,0,0,3,1,7,2,0,3,1,13,4,7,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,4,3,0,0,1,1,1,1,1,0,7,5
1 - Έβρου,9 E.T. Δήμου Αλεξανδρούπολης,541,314,10,3,13,301,138,0,47,17,9,77,20,57,11,14,9,27,10,5,26,7,3,8,9,5,6,15,9,5,1,4,1,1,24,5,2,7,14,3,0,4,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,5,3,1,0,0,0,0,9,3,4,0,3,0,0,2,2,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,3,1,1,1,1,1,3,3,4,4,0,0,0,0,3,2
1 - Έβρου,10 E.T. Δήμου Αλεξανδρούπολης,562,331,17,1,18,313,120,0,39,24,9,54,19,75,12,19,8,41,16,11,33,6,8,9,10,5,5,15,10,2,4,6,1,0,23,3,5,4,14,2,1,9,1,1,2,2,1,2,1,1,1,0,0,2,1,0,1,0,4,2,5,3,2,2,1,8,3,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,0,0,1,0,1,1,0,0,0,0,8,3
1 - Έβρου,11 E.T. Δήμου Αλεξανδρούπολης,525,319,3,2,5,314,134,0,67,32,7,54,19,56,5,13,2,26,18,11,30,12,7,12,11,5,3,28,17,8,3,4,2,0,31,4,2,11,20,4,4,7,4,3,0,4,2,0,0,0,0,0,0,1,0,0,1,0,2,2,4,2,2,1,0,5,3,4,0,1,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,4,2,0,0,0,0,1,1,2,2,0,0,0,0,5,5
1 - Έβρου,12 E.T. Δήμου Αλεξανδρούπολης,528,335,4,0,4,331,157,0,56,36,12,67,20,53,6,15,3,31,12,9,29,3,7,5,8,8,7,21,13,5,2,7,3,0,34,5,7,15,13,1,1,4,1,1,1,2,0,3,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,11,3,7,2,3,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,5,4,0,0,0,0,1,0,1,1,1,0,0,0,4,2
1 - Έβρου,13 E.T. Δήμου Αλεξανδρούπολης,534,278,13,4,17,261,111,0,52,21,9,42,22,60,9,21,2,27,18,7,25,2,2,9,9,5,4,11,7,3,0,2,2,0,12,1,3,3,7,0,0,6,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,2,2,4,1,3,1,0,4,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,0,3,0,0,4,3,0,0,0,0,2,1,1,0,3,2,0,0,9,7
1 - Έβρου,14 E.T. Δήμου Αλεξανδρούπολης,525,307,6,3,9,298,147,0,49,32,12,64,21,51,7,9,3,26,19,10,31,9,2,9,16,3,0,12,10,3,0,3,1,1,20,3,4,8,9,0,0,4,0,2,0,3,1,1,1,0,0,0,0,2,0,0,1,1,2,0,3,0,0,0,0,13,6,5,2,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,5
1 - Έβρου,15 E.T. Δήμου Αλεξανδρούπολης,536,305,9,1,10,295,131,0,48,28,11,37,24,50,5,10,2,28,13,9,27,6,2,7,12,4,4,13,7,5,0,3,1,0,23,1,5,2,15,0,0,9,2,4,1,4,1,3,2,0,0,0,0,2,0,2,0,0,4,3,3,1,0,2,1,6,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,2,2,5,3,0,0,2,2,1,1,3,2,1,0,0,0,7,6
1 - Έβρου,16 E.T. Δήμου Αλεξανδρούπολης,562,361,15,2,17,344,136,0,41,31,11,60,18,56,10,9,3,24,10,5,30,9,4,11,12,3,2,32,17,7,3,4,4,0,36,5,4,10,17,7,2,6,1,1,0,1,1,2,0,1,1,1,1,3,0,0,1,1,4,1,4,1,1,0,0,9,2,4,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,5,2,1,1,1,1,1,0,0,0,1,1,4,1,1,1,7,6
1 - Έβρου,17 E.T. Δήμου Αλεξανδρούπολης,527,334,19,3,22,312,151,0,54,32,10,64,17,56,7,16,2,23,16,8,23,2,4,5,10,3,4,16,13,6,1,2,2,1,23,1,4,4,13,5,2,13,3,4,1,1,3,1,0,0,0,0,0,1,1,0,0,1,4,1,2,1,2,0,1,7,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,4,3,0,0,2,0,2,0,0,0,4,3
1 - Έβρου,18 E.T. Δήμου Αλεξανδρούπολης,577,292,4,2,6,286,99,0,41,15,4,50,11,80,7,13,6,48,21,7,29,8,9,9,7,4,1,10,5,5,1,2,0,0,23,1,6,9,7,2,2,11,2,2,1,2,4,2,2,1,0,1,1,3,1,0,2,2,4,2,3,0,0,1,2,6,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,0,0,0,1,1,0,0,2,2,0,0,1,0,6,6
