ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΖΕΜΠΙΛΗΣ ΑΘΑΝΑΣΙΟΣ του Γεωργίου,ΚΑΡΑΜΠΑΤΣΩΛΗ ΚΩΝΣΤΑΝΤΙΝΑ του Θεοδώρου,ΚΑΡΒΕΛΑΣ ΣΤΥΛΙΑΝΟΣ (ΣΤΕΛΙΟΣ) του Ιωάννη,ΚΕΔΙΚΟΓΛΟΥ ΣΥΜΕΩΝ (ΣΙΜΟΣ) του Βασιλείου,ΛΑΓΟΣ ΦΩΤΙΟΣ του Κωνσταντίνου,ΠΝΕΥΜΑΤΙΚΟΣ ΣΠΥΡΙΔΩΝ του Γεωργίου,ΣΤΑΜΑΤΕΑ-ΒΑΡΔΟΥΛΑΚΗ ΑΝΑΣΤΑΣΙΑ του Κωνσταντίνου,ΤΡΙΓΩΝΗ ΠΑΝΑΓΙΩΤΑ (ΓΙΩΤΑ) του Μάνθου-Κωνσταντίνου,ΣΥΡΙΖΑ,ΑΚΡΙΩΤΟΥ ΘΕΟΔΩΡΑ του Γεωργίου,ΑΠΟΣΤΟΛΟΥ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΓΙΑΧΟΛΛΑΡΗ ΑΓΓΕΛΟΣ ΔΙΟΝΥΣΙΟΣ του Νίκο,ΘΑΛΑΣΣΙΝΟΥ ΑΛΕΞΑΝΔΡΑ του Γεωργίου,ΚΕΔΙΚΟΓΛΟΥ ΣΥΜΕΩΝ του Άγγελου,ΛΙΒΑΝΙΟΥ ΖΩΗ του Ευάγγελου,ΦΡΥΓΑΝΙΩΤΗ ΕΥΛΑΜΠΙΑ (ΒΑΝΑ) του Γεωργίου,ΧΑΤΖΗΓΙΑΝΝΑΚΗΣ ΜΙΛΤΙΑΔΗΣ του Ευάγγελου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΘΕΟΔΩΡΟΥ ΑΛΕΞΑΝΔΡΟΣ του Ιωάννη,ΚΑΖΑΝΗ ΑΙΚΑΤΕΡΙΝΗ του Νικολάου,ΚΑΛΑΒΡΗΣ ΙΩΑΝΝΗΣ του Αθανασίου,ΚΙΟΥΚΗ ΜΑΡΙΑ του Κωνσταντίνου,ΜΠΟΥΡΑΝΤΑΣ ΓΕΩΡΓΙΟΣ του Αθανασίου,ΣΟΥΡΡΑΣ ΙΩΑΝΝΗΣ του Σπυρίδωνος,ΤΑΡΤΗΣ ΑΘΑΝΑΣΙΟΣ του Γεωργίου,ΤΟΥΛΟΥΜΗ ΑΝΝΑ - ΕΙΡΗΝΗ του Νικολάου,Κ.Κ.Ε.,ΑΥΛΩΝΙΤΗ ΔΗΜΗΤΡΑ (ΤΑΝΙΑ) του Ευαγγέλου,ΓΕΩΡΓΑΝΤΖΗΣ ΕΥΑΓΓΕΛΟΣ του Κωνσταντίνου,ΜΑΡΙΝΟΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΜΟΥΤΟΥΣΙΔΗΣ ΣΤΕΦΑΝΟΣ του Γεωργίου,ΠΑΠΑΣΩΤΗΡΙΟΥ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΠΥΘΟΥΛΑ ΓΕΩΡΓΙΑ ΔΕΣΠΟΙΝΑ του Παρασκευά,ΤΖΑΒΑΡΑΣ ΙΩΑΝΝΗΣ του Ευαγγέλου Αντωνίου,ΤΣΙΒΙΚΑ ΓΡΑΝΕΤΑ του Ευαγγέλου,Ελληνική Λύση - Κ. Βελόπουλος,ΑΡΜΟΝΗΣ ΒΑΣΙΛΕΙΟΣ του Νικολάου,ΓΙΑΠΑΠΠΑ ΕΥΑΓΓΕΛΙΑ του Ευσταθίου,ΚΑΤΣΙΑΜΑΚΑΣ ΙΩΑΝΝΗΣ του Σπυρίδωνος,ΛΙΩΝΗΣ ΕΥΑΓΓΕΛΟΣ του Ιωάννη,ΜΠΑΣΟΥΚΟΣ ΑΠΟΣΤΟΛΟΣ του Ανέστη,ΠΑΠΑΝΔΡΕΟΥ ΔΑΥΙΔ- ΕΥΣΤΑΘΙΟΣ του Νικολάου,ΤΣΑΛΑΜΑΝΙΟΥ ΑΜΒΡΟΣΙΑ του Στρατηγάκη,ΤΣΙΜΠΟΥ ΦΩΤΕΙΝΗ του Χρήστου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΛΕΞΙΟΥ ΔΗΜΗΤΡΙΟΣ του Ευαγγέλου,ΕΛΕΥΘΕΡΙΑΔΟΥ ΔΕΣΠΟΙΝΑ του Σωκράτη,ΚΑΡΑΠΑ ΑΓΓΕΛΙΚΗ του Ιωάννη,ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΕΥΘΥΜΙΟΣ (ΜΑΚΗΣ) του Ιωάννη,ΠΑΠΑΛΥΜΠΕΡΗΣ ΙΣΙΔΩΡΟΣ του Δημητρίου,ΡΟΓΚΑ ΣΠΥΡΙΔΑ (ΙΡΙΔΑ) του Γεωργίου,ΣΤΟΥΡΝΑΡΑΣ ΙΩΑΝΝΗΣ-ΛΑΖΑΡΟΣ του Κωνσταντίνου,ΧΑΤΖΗΚΑΛΥΜΝΙΟΥ ΔΗΜΗΤΡΑ του Στέργου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΟΡΔΩΝΗ ΣΟΦΙΑ του Αθανασίου,ΚΥΡΙΑΖΗΣ ΕΥΑΓΓΕΛΟΣ του Κωνσταντίνου,ΤΟΥΛΙΤΣΗΣ ΕΠΑΜΕΙΝΩΝΔΑΣ του Κωνσταντίνου,ΦΟΝΤΟΡ ΕΛΕΝΑ του Αντρέι,ΧΡΙΣΤΟΦΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του Ιωάννη,Κ.Κ.Ε. (μ-λ),ΤΣΙΛΙΧΡΗΣΤΟΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,Ο.Κ.Δ.Ε.,ΔΗΜΑΤΑ ΑΝΑΣΤΑΣΙΑ του Παναγιώτη,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΘΕΟΤΟΚΑΤΟΣ ΛΟΥΚΑΣ του Ανδρέα,ΚΙΤΣΟΣ ΙΩΑΝΝΗΣ του Ζώη,ΚΟΥΡΝΟΠΟΥΛΟΥ ΑΝΤΩΝΙΑ του Δημοσθένη,ΜΠΕΝΖΕΛΟΥΝ ΑΡΑΜΠΙ ΣΟΦΙΑ του Αμπτελσαμάντ,ΜΠΟΥΣΟΥΛΑΣ ΘΕΟΔΩΡΟΣ του Χαραλάμπους,ΤΡΑΧΑΝΑΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,Κίνημα 21,ΜΟΣΣ ΕΒΕΛΙΝΑ – ΓΕΩΦΡΑΝΑ του Ντόναλντ,ΡΕΓΚΟΥΚΟΣ ΣΤΑΜΑΤΙΟΣ του Θεόδωρου,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,ΦΟΥΣΤΕΡΗΣ ΙΩΑΝΝΗΣ του Νικήτα,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΑΘΑΝΑΣΙΑΔΗ ΝΑΤΑΛΙΑ του Ιωάννη,ΠΟΛΙΤΗΣ ΧΡΗΣΤΟΣ του Ιωάννη,ΣΤΑΜΑΤΙΟΥ ΧΡΗΣΤΟΣ του Ιωάννη,ΝΙΚΗ,ΤΣΟΚΑΣ ΑΘΑΝΑΣΙΟΣ του Νικολάου,κοινωνία αξιών,ΠΑΝΑΓΙΩΤΟΥ ΑΛΕΞΑΝΔΡΑ του Δημητρίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΒΑΛΒΗ ΜΑΡΙΑ του Νικολάου,ΓΑΖΑΚΗ ΘΕΑΝΩ του Κωνσταντίνου,ΜΗΤΣΑΣ ΔΗΜΗΤΡΙΟΣ του Παντελή,Ο.Α.Κ.Κ.Ε.,ΜΗΛΤΣΟΥ ΒΑΣΙΛΙΚΗ του Στεφάνου,Μ-Λ Κ.Κ.Ε.,ΖΩΓΡΑΦΟΥ ΣΟΥΛΤΑΝΑ του Κωνσταντίνου,Ελλήνων Συνέλευσις,ΘΕΜΕΛΗΣ ΧΡΙΣΤΟΦΟΡΟΣ του Ιωάννη,ΙΑΚΩΒΟΥ ΑΝΑΣΤΑΣΙΑ του Πέτρου,Ένωση Κεντρώων,ΓΙΑΝΝΑΚΟΥΡΗ ΑΝΝΑ - ΜΑΡΙΑ του Αναστασίου,ΓΚΑΒΑΛΗΣ ΝΙΚΟΛΑΟΣ του Προκοπίου,ΔΡΟΥΛΙΑΣ ΕΥΘΥΜΙΟΣ του Δημητρίου,ΣΥΡΟΠΟΥΛΟΥ ΕΛΕΝΗ του Κωνσταντίνου,ΤΣΙΜΠΟΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΝΤΕΡΜΠΕΝΤΕΡΗ ΚΡΥΣΤΑΛΛΙΑ του Αθανασίου,ΧΑΡΑΛΑΜΠΟΥΣ ΓΙΑΝΝΗΣ του Ευσταθίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΔΑΥΡΗΣ ΑΛΕΞΑΝΔΡΟΣ του Ανδρέα,ΔΕΔΕΣ ΙΩΑΝΝΗΣ του Αντωνίου,ΛΑΜΠΡΟΥ ΣΤΑΥΡΟΣ του Γεωργίου,ΜΑΛΑ ΛΟΥΚΙΑ του Μιλτιάδη,ΜΑΡΜΑΡΙΝΟΣ ΧΡΗΣΤΟΣ του Αναστασίου,ΜΗΤΣΙΟΠΟΥΛΟΥ ΕΥΘΥΜΙΑ του Αντωνίου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΚΥΜΟΥΡΤΖΗ ΕΛΕΝΗ του Αποστόλου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΓΛΥΤΣΗΣ ΕΜΜΑΝΟΥΗΛ του Γεωργίου,Κ.Ο.Τ.Ε.Σ.,ΜΠΑΪΚΟΥΣΗ ΑΛΕΞΑΝΔΡΑ του Αθανασίου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΑΛΟΓΙΑΝΝΗΣ ΚΛΕΑΡΧΟΣ του Κωνσταντίνου,ΜΕΤΑΛΛΗΝΟΥ ΕΥΑΓΓΕΛΙΑ του Σπυρίδωνος,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΤΕΛΙΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,Οικολόγοι Πράσινοι,ΠΟΛΙΤΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Φωκίωνα,ΕΑΝ...,ΠΑΡΙΣΗ - ΚΟΤΣΟΠΟΥΛΗ ΑΙΚΑΤΕΡΙΝΗ του Δημητρίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΝΤΑΛΙΑΝΗΣ ΑΡΓΥΡΙΟΣ του Στεφάνου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ ΖΩΗ του Νικολάου,ΔΡΑΚΟΥΛΗΣ ΑΛΕΞΑΝΔΡΟΣ του Γεωργίου,ΚΑΨΟΡΑΧΗΣ ΑΘΑΝΑΣΙΟΣ του Ευσταθίου,ΡΟΥΜΠΗΣ ΕΥΑΓΓΕΛΟΣ του Ευθυμίου,ΣΤΑΡΑΝΤΖΗ ΜΑΡΙΑ του Γεωργίου
37 - Ευβοιας,1 E.T. Δήμου Διρφύων - Μεσσαπίων,270,201,2,1,3,198,82,18,1,2,62,9,6,5,3,27,6,9,0,2,9,2,2,2,48,12,23,19,4,3,4,8,2,16,0,5,2,4,0,10,6,1,12,8,2,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,2,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,2,0
37 - Ευβοιας,2 E.T. Δήμου Διρφύων - Μεσσαπίων,344,230,2,1,3,227,92,39,7,18,20,4,38,3,7,29,12,4,1,3,11,3,2,5,36,8,14,8,0,4,1,14,1,18,2,2,2,7,0,7,1,0,13,2,0,1,0,4,1,0,4,1,0,0,0,0,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,14,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,2,2,5,4,2,1,0,0,0,2,2,2,0,0,0,3,3,1,0,0,0
37 - Ευβοιας,3 E.T. Δήμου Διρφύων - Μεσσαπίων,147,92,0,0,0,92,28,8,3,3,2,1,11,2,3,23,8,7,1,3,8,2,1,6,4,0,3,1,0,1,0,0,2,4,0,0,2,0,0,1,2,0,4,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,5,3,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,2,2,2,2,1,1,0,0,0,0,1,0,0,1,1,0,0,2,2,1,1,2,2,1,0,1,0
37 - Ευβοιας,4 E.T. Δήμου Διρφύων - Μεσσαπίων,215,137,2,0,2,135,48,17,1,4,14,4,21,3,0,26,4,2,0,1,16,3,1,7,42,4,14,25,0,6,1,9,0,3,0,0,1,1,0,1,0,1,4,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,3,3,0,0,3,0
37 - Ευβοιας,5 E.T. Δήμου Διρφύων - Μεσσαπίων,559,355,7,1,8,347,123,34,4,14,46,7,57,4,3,69,16,14,3,8,26,7,7,13,38,7,17,9,0,6,6,5,0,29,5,1,7,1,0,6,2,9,27,6,1,2,1,18,1,3,0,7,1,1,3,0,1,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,3,3,3,2,0,0,0,0,0,0,1,0,1,0,1,3,0,1,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,2,2,6,3,2,2,1,0,0,2,1,0,0,9,6,13,13,2,0,2,1
37 - Ευβοιας,6 E.T. Δήμου Διρφύων - Μεσσαπίων,597,422,5,2,7,415,179,73,14,19,73,9,69,15,12,64,37,5,0,1,24,2,1,5,58,18,12,31,2,7,2,13,4,31,1,2,3,13,0,23,5,1,32,12,8,4,3,1,8,3,9,14,0,0,1,0,1,1,0,1,6,1,0,3,0,2,0,0,0,0,2,0,2,1,1,0,0,1,1,1,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,2,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,1,1,5,4
37 - Ευβοιας,7 E.T. Δήμου Διρφύων - Μεσσαπίων,280,185,2,0,2,183,64,20,10,13,13,0,28,10,5,22,2,10,0,1,8,3,3,5,29,5,10,7,1,1,0,13,0,9,1,0,4,0,0,4,0,3,19,6,0,4,1,1,13,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,3,3,2,0,1,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,5,5,1,1,1,1,1,0,0,0,0,3,3,0,0,10,10,9,0,1,3
37 - Ευβοιας,8 E.T. Δήμου Διρφύων - Μεσσαπίων,316,205,3,3,6,199,63,19,3,5,16,13,24,4,0,51,6,16,1,1,24,0,2,6,44,23,22,15,0,1,0,12,2,11,2,0,2,1,0,5,0,3,8,3,0,0,0,0,3,1,1,6,0,1,1,0,0,1,1,1,3,0,0,3,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,2,2,0,0,0,0
37 - Ευβοιας,9 E.T. Δήμου Διρφύων - Μεσσαπίων,309,188,1,0,1,187,94,42,6,15,43,4,36,7,2,22,2,7,2,3,6,3,0,6,39,4,13,17,0,4,2,18,3,7,1,0,2,0,0,6,0,3,10,2,0,2,0,4,2,0,1,6,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,2,0
37 - Ευβοιας,10 E.T. Δήμου Διρφύων - Μεσσαπίων,333,231,5,0,5,226,132,87,2,6,58,4,59,5,3,34,12,13,0,2,15,2,1,13,28,9,10,6,0,4,2,12,1,7,3,1,1,0,0,3,1,0,8,5,1,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,6,6,0,0,2,3
37 - Ευβοιας,11 E.T. Δήμου Διρφύων - Μεσσαπίων,492,349,8,1,9,340,129,61,8,11,44,5,90,6,6,45,15,14,1,3,18,1,2,9,72,35,17,25,1,10,0,15,4,10,0,0,2,4,0,5,3,0,18,10,6,1,0,4,4,2,3,8,1,2,1,0,0,2,2,2,19,2,0,17,0,9,0,0,0,0,2,0,0,1,0,0,1,1,0,1,2,2,1,1,1,0,10,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,1,1,14,14,2,1,5,0
37 - Ευβοιας,12 E.T. Δήμου Διρφύων - Μεσσαπίων,504,378,2,2,4,374,183,50,3,7,55,2,124,5,1,45,9,7,2,1,18,6,1,8,49,17,18,14,0,6,0,15,2,18,1,1,4,2,0,10,8,3,20,10,3,1,1,2,6,1,0,8,2,1,1,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,1,1,5,2,0,0,0,0,0,1,0,1,0,4,2,0,0,28,28,1,0,19,3
37 - Ευβοιας,13 E.T. Δήμου Διρφύων - Μεσσαπίων,361,247,2,3,5,242,54,23,2,7,28,1,17,2,0,66,11,1,1,2,39,7,4,29,53,5,21,15,0,4,1,20,4,8,0,0,2,4,1,1,1,3,22,4,2,2,1,1,2,2,8,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,10,8,9,0,0,0,0,0,0,0,0,0,6,4,0,0,3,3,0,0,0,1,1,0,0,0,0,9,9,0,1,3,0
37 - Ευβοιας,14 E.T. Δήμου Διρφύων - Μεσσαπίων,550,366,2,1,3,363,223,156,10,19,63,16,91,17,5,32,5,12,0,2,14,6,4,5,36,23,14,7,0,2,0,4,0,13,2,0,4,7,0,3,1,2,18,2,1,5,0,2,6,2,1,8,0,3,2,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,12,0,1,3,1
37 - Ευβοιας,15 E.T. Δήμου Διρφύων - Μεσσαπίων,140,90,0,0,0,90,45,32,2,8,8,4,22,1,1,10,4,3,0,1,4,2,0,2,9,4,0,3,0,1,0,5,1,6,4,1,2,1,0,2,1,1,3,2,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,3,1,1,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
37 - Ευβοιας,16 E.T. Δήμου Διρφύων - Μεσσαπίων,517,351,4,0,4,347,157,55,14,47,42,1,56,7,2,79,26,21,4,5,41,6,1,21,34,6,18,12,2,5,0,9,1,20,5,3,5,2,1,9,1,3,25,11,3,2,3,4,7,0,3,7,0,1,0,0,1,5,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,3,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,11,11,0,0,5,0
37 - Ευβοιας,17 E.T. Δήμου Διρφύων - Μεσσαπίων,535,355,3,1,4,351,137,47,8,44,38,7,62,3,5,90,32,29,5,6,37,8,3,15,35,10,18,21,1,0,0,3,1,16,4,2,2,2,0,3,6,4,17,0,0,3,0,1,7,3,8,5,2,1,0,1,1,1,1,0,4,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,7,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5,2,3,1,0,3,0,0,0,0,0,2,0,1,1,0,0,0,2,0,1,1,2,2,24,24,1,1,12,2
37 - Ευβοιας,18 E.T. Δήμου Διρφύων - Μεσσαπίων,484,331,6,2,8,323,107,17,11,45,44,3,26,7,10,39,8,6,0,4,15,5,2,9,98,2,42,79,1,5,3,12,2,10,1,0,1,5,0,6,2,1,16,5,1,1,0,1,6,0,1,6,0,0,0,1,0,2,1,0,1,0,1,1,0,0,0,0,0,0,3,1,2,1,0,1,0,2,0,0,1,1,1,1,1,0,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,12,5,16,16,0,1,7,2
37 - Ευβοιας,19 E.T. Δήμου Διρφύων - Μεσσαπίων,469,337,10,1,11,326,121,34,6,40,42,2,36,12,8,41,11,7,1,5,26,1,4,14,82,5,22,71,2,0,0,14,3,17,2,1,1,6,0,9,1,1,19,7,2,5,0,2,4,0,0,4,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,6,5,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,2,2,2,6,5,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,3,1,0,0,3,3,11,11,1,0,5,2
