ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΚΟΝΤΟΓΕΩΡΓΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αθανασίου,ΟΙΚΟΝΟΜΟΥ ΘΩΜΑΪΣ (ΤΖΙΝΑ) του Γεωργίου,ΠΑΠΑΪΩΑΝΝΟΥ ΜΑΡΙΑ (ΜΑΙΡΗ) του Χαράλαμπου,ΣΥΡΙΖΑ,ΒΕΝΤΟΥΡΗ ΜΑΡΙΑ του Νικολάου,ΛΑΘΥΡΗΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΜΠΕΡΜΠΕΡΗΣ ΜΩΫΣΗΣ του Γεωργίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΓΕΩΡΓΑΛΗ ΑΝΑΣΤΑΣΙΑ του Ευαγγέλου,ΜΑΡΟΥΛΗΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΧΑΡΑΛΑΜΠΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,Κ.Κ.Ε.,ΔΕΣΚΟΥΡΑΚΗ ΧΑΡΑ του Κωνσταντίνου,ΠΑΖΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Πέτρου,ΠΑΠΠΑΣ ΑΘΑΝΑΣΙΟΣ του Δημητρίου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΓΚΑΡΑΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΚΑΤΣΟΜΗΤΡΟΣ ΝΙΚΟΛΑΟΣ του Δημητρίου,ΜΠΟΥΛΕΚΟΥ ΕΛΕΝΗ του Κωνσταντίνου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΛΥΚΟΚΑΠΗΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΤΡΑΓΟΠΟΥΛΟΣ ΣΠΥΡΙΔΩΝ του Νικολάου,ΦΡΑΓΚΟΥ ΑΓΓΕΛΙΚΗ του Γεωργίου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΤΣΟΜΛΕΚΤΣΟΓΛΟΥ ΝΙΚΟΛΑΟΣ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΖΗΣΗΣ ΒΑΣΙΛΕΙΟΣ του Χρήστου,Ο.Κ.Δ.Ε.,ΤΣΟΥΚΑΛΑΣ ΓΕΩΡΓΙΟΣ του Αναστασίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΜΠΑΡΜΠΑΡΟΥΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευαγγέλου,Κίνημα 21,ΚΩΣΤΗ ΕΥΡΙΔΙΚΗ του Δημητρίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΡΑΪΚΟΣ ΕΥΑΓΓΕΛΟΣ του Νικήτα,ΝΙΚΗ,ΜΑΝΤΖΟΥΡΗ ΜΑΡΙΑ του Ιωάννη,ΠΑΠΑΘΑΝΑΣΗ ΑΝΔΡΟΝΙΚΗ του Αποστόλου,ΣΥΡΙΓΟΣ ΑΝΤΩΝΙΟΣ του Εμμανουήλ,κοινωνία αξιών,ΓΕΡΟΝΤΟΓΙΑΝΝΗ ΜΥΡΤΩ του Ανδρέα,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΧΑΣΑΚΤΣΗΣ ΕΜΜΑΝΟΥΗΛ του Νικολάου,Μ-Λ Κ.Κ.Ε.,ΑΡΒΑΝΙΤΗ ΕΛΕΝΗ του Ευάγγελου,Ελλήνων Συνέλευσις,ΨΥΧΟΓΥΙΟΣ ΣΩΤΗΡΙΟΣ του Λεωνίδα,Ένωση Κεντρώων,ΑΝΑΣΤΑΣΙΟΥ ΣΤΑΥΡΟΥΛΑ του Δημητρίου,ΠΑΝΑΓΙΩΤΟΥ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΠΑΠΑΘΕΟΥ ΘΕΟΔΟΣΙΟΣ του Νικολάου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΚΟΥΡΚΟΥΛΗΣ ΠΑΝΑΓΙΩΤΗΣ του Γεωργίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΧΑΡΤΑΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Ευσταθίου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΑΛΑΝΤΙΔΗΣ ΠΕΤΡΟΣ του Σωκράτη,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΝΤΑΒΙΑ ΣΤΥΛΙΑΝΗ του Δημητρίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΝΤΑΛΙΑΝΗΣ ΚΛΗΜΗΣ του Στεφάνου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΒΑΜΒΑΚΑΣ ΠΕΤΡΟΣ του Νικολάου
34 - Ευρυτανίας,1 E.T. Δήμου Αγράφων,451,188,7,0,7,181,84,56,21,3,46,7,26,11,20,8,6,2,7,2,1,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,1
34 - Ευρυτανίας,2 E.T. Δήμου Αγράφων,111,52,0,0,0,52,39,26,12,0,3,1,0,0,8,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34 - Ευρυτανίας,3 E.T. Δήμου Αγράφων,332,98,0,1,1,97,66,25,36,3,9,4,3,1,14,7,6,0,2,0,1,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34 - Ευρυτανίας,4 E.T. Δήμου Αγράφων,227,65,3,0,3,62,38,10,28,0,8,1,5,1,12,2,5,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
34 - Ευρυτανίας,5 E.T. Δήμου Αγράφων,104,52,0,0,0,52,36,11,25,0,8,0,3,4,8,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34 - Ευρυτανίας,6 E.T. Δήμου Αγράφων,75,32,0,0,0,32,17,8,7,1,10,5,0,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34 - Ευρυτανίας,7 E.T. Δήμου Αγράφων,154,70,0,2,2,68,36,3,33,0,21,5,7,2,10,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34 - Ευρυτανίας,8 E.T. Δήμου Αγράφων,43,26,0,0,0,26,11,4,3,1,10,3,1,6,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34 - Ευρυτανίας,9 E.T. Δήμου Αγράφων,94,32,0,1,1,31,20,1,19,0,2,0,1,1,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34 - Ευρυτανίας,10 E.T. Δήμου Αγράφων,269,79,2,0,2,77,43,8,32,1,11,0,3,5,9,1,2,3,1,1,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,3,0
34 - Ευρυτανίας,11 E.T. Δήμου Αγράφων,552,222,7,1,8,214,104,40,57,6,37,9,14,8,41,23,10,2,8,1,5,0,3,3,0,0,4,1,0,2,2,2,0,0,0,0,2,1,2,2,2,2,4,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0
34 - Ευρυτανίας,12 E.T. Δήμου Αγράφων,211,74,0,1,1,73,31,16,15,0,11,2,3,2,16,14,1,0,6,1,4,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
34 - Ευρυτανίας,13 E.T. Δήμου Αγράφων,362,163,4,0,4,159,49,12,36,0,55,16,22,17,14,6,4,1,26,2,21,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
34 - Ευρυτανίας,14 E.T. Δήμου Αγράφων,226,91,1,0,1,90,63,17,45,0,17,7,3,7,5,3,0,1,2,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34 - Ευρυτανίας,15 E.T. Δήμου Αγράφων,298,111,0,1,1,110,56,11,43,2,26,1,13,3,12,5,6,1,4,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,1,1,1
