ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΑΝΤΩΝΙΑΔΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΒΕΛΤΣΗ ΠΑΥΛΙΝΑ του Παύλου,ΗΛΙΑΔΟΥ-ΤΑΧΟΥ ΣΟΦΙΑ του Σταύρου,ΠΑΠΑΣΩΤΗΡΙΟΥ ΣΤΑΥΡΟΣ του Γεωργίου,ΣΥΡΙΖΑ,ΚΩΤΑΚΙΔΗΣ ΓΕΩΡΓΙΟΣ του Ευσταθίου,ΜΠΙΡΟΣ ΣΤΕΦΑΝΟΣ του Παντελή,ΠΕΡΚΑ ΘΕΟΠΙΣΤΗ (ΠΕΤΗ) του Χαράλαμπου,ΧΑΤΖΗΚΩΝΣΤΑΝΤΙΝΟΥ ΠΑΣΧΑΛΙΤΣΑ του Ευάγγελου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΓΕΩΡΓΙΑΔΗΣ ΑΡΙΣΤΟΤΕΛΗΣ (ΤΕΛΗΣ) του Βασιλείου,ΚΑΡΑΔΑΚΟΥ ΟΛΓΑ του Αναστασίου,ΚΡΗΤΙΚΟΥ - ΦΡΑΝΤΖΗ ΔΙΑΜΑΝΤΟΥΛΑ (ΔΙΑΜΑΝΤΩ) του Ανδρέα,ΛΑΒΑΣΙΔΗΣ ΛΑΖΑΡΟΣ του Γεωργίου,Κ.Κ.Ε.,ΑΛΕΞΙΟΥ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΒΟΓΙΑΤΖΗ ΜΑΡΙΑ του Εμμανουήλ,ΒΥΣΙΝΗΣ ΕΥΑΓΓΕΛΟΣ του Χρήστου,ΤΟΡΛΑΧΙΔΟΥ ΠΑΝΑΓΙΩΤΑ (ΓΙΩΤΑ) του Μιχαήλ,Ελληνική Λύση - Κ. Βελόπουλος,ΓΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Μιχαήλ,ΔΡΟΓΟΥΔΗ ΑΝΑΣΤΑΣΙΑ του Κωνσταντίνου,ΠΑΠΟΥΛΙΔΟΥ ΑΝΝΑ του Γεωργίου,ΧΕΙΜΩΝΙΔΗΣ ΧΑΡΑΛΑΜΠΟΣ του Θεοδώρου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΓΙΑΣΗΜΑΚΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΜΙΤΡΟΒΙΤΣ ΜΑΡΙΑ του Ντράγκαν,ΤΡΑΣΙΑΣ ΑΛΕΞΑΝΔΡΟΣ του Γεωργίου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΙΩΑΝΝΙΔΗΣ ΠΑΝΤΕΛΗΣ του Χρήστου,Κ.Κ.Ε. (μ-λ),ΒΑΡΝΑΒΑ ΔΗΜΗΤΡΑ του Στυλιανού,Ο.Κ.Δ.Ε.,ΣΑΒΒΑΚΗΣ ΣΤΑΥΡΟΣ του Κίμωνα,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΝΑΓΝΩΣΤΟΠΟΥΛΟΥ ΚΥΡΙΑΚΗ του Γεωργίου,ΤΖΩΤΖΗΣ ΒΑΣΙΛΕΙΟΣ του Μιχαήλ,Κίνημα 21,ΠΑΠΑΔΟΠΟΥΛΟΥ ΑΝΑΣΤΑΣΙΑ του Γεωργίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΑΜΑΝΑΤΙΔΟΥ ΑΝΑΣΤΑΣΙΑ του Νικολάου,ΚΕΣΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Αναστασίου,ΝΙΚΗ,ΠΑΠΑΔΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Γεωργίου,ΤΑΝΤΣΗ ΑΛΕΞΙΑ του Πανταζή,κοινωνία αξιών,ΛΑΠΠΑΣ ΙΩΑΝΝΗΣ του Νικολάου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΤΣΕΒΡΕΝΤΣΙΔΟΥ ΒΑΣΙΛΙΚΗ του Παναγιώτη,Ο.Α.Κ.Κ.Ε.,ΖΑΦΕΙΡΟΠΟΥΛΟΣ ΗΛΙΑΣ του Γεωργίου,Μ-Λ Κ.Κ.Ε.,ΔΕΡΝΟΒΙΟΥ ΕΙΡΗΝΗ του Στυλιανού,Ελλήνων Συνέλευσις,ΜΑΥΡΟΒΑΛΗ ΒΑΪΤΣΑ του Θεοδώρου,ΠΕΤΡΙΔΗΣ ΠΑΥΛΟΣ του Ευστάθίου,Ένωση Κεντρώων,ΑΑΡΩΝ ΓΡΗΓΟΡΙΑ του Δημητρίου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΚΑΚΛΙΑ ΓΕΩΡΓΙΑ του Κωνσταντίνου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΤΟΝΤΟΥ ΡΟΔΑΝΘΗ του Αλεξάνδρου,ΤΣΑΡΟΥΧΙΔΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΠΑΝΑΓΙΩΤΙΔΗΣ ΓΕΩΡΓΙΟΣ ΝΕΚΤΑΡΙΟΣ του Λαζάρου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΠΑΠΠΑ ΜΑΡΙΑ του Σπυρίδωνος,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΓΟΥΝΙΩΤΗΣ ΝΙΚΟΛΑΟΣ του Ευάγγελου,ΜΠΟΜΠΑ ΒΑΪΑ του Αθανασίου,ΕΑΝ...,ΧΕΙΡΙΔΗΣ ΣΤΥΛΙΑΝΟΣ του Αλεξάνδρου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΙΟΥΜΟΥΡΤΖΗΣ ΠΑΥΛΟΣ του Δημητρίου,Ανεξάρτητοι Υποψήφιοι,ΠΡΟΪΤΣΗΣ ΣΤΕΦΑΝΟΣ του Δημητρίου
14 - Φλώρινας,1 E.T. Δήμου Αμυνταίου,236,125,2,0,2,123,68,36,0,1,26,18,3,2,7,4,9,0,1,2,5,3,0,1,0,0,12,5,2,0,4,2,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
14 - Φλώρινας,2 E.T. Δήμου Αμυνταίου,400,188,3,1,4,184,58,36,2,0,18,63,8,23,26,2,18,1,1,4,8,17,0,10,3,0,8,5,1,0,0,7,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0
14 - Φλώρινας,3 E.T. Δήμου Αμυνταίου,373,133,3,1,4,129,42,29,2,0,9,33,3,8,12,3,17,0,2,6,6,6,1,4,0,0,8,4,0,1,0,1,0,0,0,2,2,0,0,0,0,1,0,1,0,0,1,1,0,4,0,4,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,3,2,0,0,0,0,0,0,0,0,0,0,5,3,2,0
14 - Φλώρινας,4 E.T. Δήμου Αμυνταίου,397,141,8,0,8,133,47,38,0,2,6,30,6,5,15,0,13,0,2,3,5,18,0,14,1,0,4,2,1,0,0,1,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,6,3,0,0
14 - Φλώρινας,5 E.T. Δήμου Αμυνταίου,418,229,2,1,3,226,85,19,5,3,57,64,13,17,27,1,29,2,1,7,15,13,1,9,0,1,9,4,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,3,0,0,0,0,4,4,0,0,0,0,0,9,5,0,0
14 - Φλώρινας,6 E.T. Δήμου Αμυνταίου,396,195,2,0,2,193,71,24,1,3,39,53,4,9,32,3,25,2,1,7,15,11,0,8,0,3,8,2,2,0,2,4,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,2,3,0,0,1,1,0,0,0,0,3,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,4,3,0,0
14 - Φλώρινας,7 E.T. Δήμου Αμυνταίου,390,76,4,0,4,72,36,9,4,1,20,18,0,7,5,1,2,0,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,3,0,2,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
14 - Φλώρινας,8 E.T. Δήμου Αμυνταίου,413,104,6,0,6,98,42,17,5,1,18,22,3,5,9,3,9,1,0,6,2,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,5,4,6,6
14 - Φλώρινας,9 E.T. Δήμου Αμυνταίου,477,210,3,0,3,207,60,25,1,1,31,52,12,7,31,0,20,3,0,8,8,6,2,3,0,1,29,23,1,2,1,5,3,1,1,2,2,9,4,0,0,1,1,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,2,0,2,0,0,4,4,2,0,1,1,1,4,2,2,2
14 - Φλώρινας,10 E.T. Δήμου Αμυνταίου,364,212,1,0,1,211,134,47,8,2,74,26,4,4,16,0,15,0,0,5,8,10,0,3,0,1,6,2,0,0,0,4,1,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,5,2,0,0
14 - Φλώρινας,11 E.T. Δήμου Αμυνταίου,420,229,3,6,9,220,82,40,2,1,31,49,2,9,32,2,23,2,3,4,9,9,1,5,0,0,20,11,1,3,0,2,1,0,0,6,6,1,1,0,0,1,0,1,2,1,2,2,0,6,1,4,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,5,1,1
14 - Φλώρινας,12 E.T. Δήμου Αμυνταίου,533,197,2,0,2,195,84,48,6,6,22,50,15,7,22,5,20,5,2,5,6,5,0,4,0,0,10,5,0,1,3,2,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,1,2,2,2,0,0,0,0,0,1,1,3,1,2,2
14 - Φλώρινας,13 E.T. Δήμου Αμυνταίου,515,150,0,0,0,150,55,32,2,1,17,41,5,5,24,5,21,0,1,7,8,4,0,2,0,0,6,3,1,0,0,4,1,1,0,1,1,0,0,0,0,2,1,1,0,0,1,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,1,0,0,0,2,1,1,0,1,0,0,3,3,0,0
14 - Φλώρινας,14 E.T. Δήμου Αμυνταίου,561,282,4,2,6,276,96,41,7,4,36,71,10,7,32,13,34,1,3,15,12,16,0,13,0,3,9,5,2,0,0,7,4,1,0,0,0,1,1,1,1,3,2,0,3,3,6,1,1,21,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,4,2,1,1
14 - Φλώρινας,15 E.T. Δήμου Αμυνταίου,558,326,4,3,7,319,126,63,12,1,45,70,10,4,27,19,37,0,1,10,26,15,0,10,0,2,18,9,2,0,0,6,0,1,0,2,2,0,0,0,0,0,0,0,3,3,5,0,2,18,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,14,11,0,0
14 - Φλώρινας,16 E.T. Δήμου Αμυνταίου,559,278,5,1,6,272,103,31,9,4,53,64,14,7,19,16,32,0,1,13,9,19,0,17,0,1,12,7,1,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0,18,4,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,9,1,0,0
