ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΜΑΝΔΡΕΚΑ ΑΣΠΑΣΙΑ του Παναγιώτη,ΜΠΟΥΓΑΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΧΑΣΟΥΡΑΣ ΞΕΝΟΦΩΝ του Δημητρίου,ΣΥΡΙΖΑ,ΚΩΣΤΟΠΑΝΑΓΙΩΤΟΥ ΗΛΙΑΣ του Κωνσταντίνου,ΜΑΣΤΡΟΠΕΡΡΟΥ ΛΟΥΚΙΑ του Εμμανουήλ,ΤΣΑΜΑΝΤΑΝΗΣ ΧΡΗΣΤΟΣ του Ηλία,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΝΔΡΕΟΠΟΥΛΟΥ ΜΑΡΙΑ (ΜΑΙΡΗ) του Ζήση,ΚΑΡΑΜΠΑΡΠΑΣ ΛΕΩΝΙΔΑΣ του Δήμου,ΣΠΑΤΟΥΛΑΣ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,Κ.Κ.Ε.,ΚΑΛΑΝΤΖΑΚΟΥ ΓΕΩΡΓΙΑ του Δημητρίου,ΤΡΙΑΝΤΑΦΥΛΛΟΥ ΧΡΗΣΤΟΣ του Ιωάννη,ΤΣΕΛΕΣ ΔΡΟΣΟΣ του Αναστασίου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΠΟΔΙΣΤΡΙΑ ΙΩΑΝΝΑ του Γεωργίου,ΚΟΝΔΥΛΗΣ ΕΠΑΜΕΙΝΩΝΔΑΣ του Κωνσταντίνου,ΚΟΥΤΣΟΒΕΛΗΣ ΑΘΑΝΑΣΙΟΣ του Γεωργίου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΡΒΑΝΙΤΗΣ ΣΤΑΥΡΟΣ του Θεοδώρου,ΑΣΔΕΡΑΚΗ ΕΛΕΝΗ του Γεωργίου,ΜΠΑΪΡΑΚΤΑΡΗΣ ΙΩΑΝΝΗΣ του Επαμεινώνδα,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΟΡΟΜΠΙΛΗΣ ΑΝΔΡΕΑΣ του Ηλία,Κ.Κ.Ε. (μ-λ),ΤΣΙΝΤΖΟΣ ΧΡΗΣΤΟΣ του Φωτίου,Ο.Κ.Δ.Ε.,ΜΠΡΕΝΤΑΣ ΕΥΑΓΓΕΛΟΣ του Αποστόλου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΜΕΞΗΣ ΛΟΥΚΑΣ του Παναγιώτη,Κίνημα 21,ΖΕΡΒΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευσταθίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΜΟΥΤΣΙΑ ΑΝΑΣΤΑΣΙΑ του Ιωάννη,ΝΙΚΗ,ΠΑΡΘΕΝΙΟΥ ΦΑΝΗ του Σπυρίδωνος,κοινωνία αξιών,ΤΖΕΜΠΕΛΙΚΟΥ ΜΑΡΙΑ-ΛΟΥΚΙΑ του Αθανασίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΚΥΡΙΑΚΟΥ ΑΝΔΡΕΑΣ του Νικολάου,Μ-Λ Κ.Κ.Ε.,ΜΠΟΥΚΗ ΕΥΑΓΓΕΛΙΑ του Γεωργίου,Ελλήνων Συνέλευσις,ΣΑΞΩΝΗΣ ΣΟΛΩΝ του Σεραφείμ,Ένωση Κεντρώων,ΜΠΑΛΑΣΚΑΣ ΙΩΑΝΝΗΣ του Ανδρέα,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΙΑΚΩΒΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΠΑΠΑΔΟΠΟΥΛΟΥ ΠΑΡΑΣΚΕΥΗ του Νικολάου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΦΟΥΣΕΚΗ ΕΙΡΗΝΗ του Θεμιστοκλή,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΤΡΑΚΑ ΑΛΕΞΑΝΔΡΑ ΙΩΑΝΝΑ του Αλέξανδρου,Οικολόγοι Πράσινοι,ΝΤΟΥΒΛΗΣ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΕΑΝ...,ΔΡΟΛΑΠΑΣ ΝΙΚΟΛΑΟΣ του Αναργύρου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΣΠΕΝΤΖΟΥ ΑΣΗΜΟΥΛΑ - ΑΜΑΛΙΑ του Νικολάου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΧΑΝΙΩΤΗ ΧΡΙΣΤΙΝΑ του Μιχαήλ
35 - Φωκίδας,1 E.T. Δήμου Δελφών,536,390,7,3,10,380,175,67,93,2,53,13,14,15,24,9,2,5,50,42,2,1,11,5,1,0,8,0,0,3,5,5,1,1,0,0,4,3,5,3,1,0,7,2,0,0,1,0,3,0,1,1,1,0,1,1,2,1,0,0,1,0,3,2,1,1,3,1,19,10
35 - Φωκίδας,2 E.T. Δήμου Δελφών,521,368,12,0,12,356,155,42,89,2,64,26,7,20,35,9,9,4,43,36,0,1,9,2,0,0,6,2,0,1,7,5,3,2,0,0,2,0,1,1,0,0,2,2,0,0,0,0,0,0,2,2,3,2,0,0,2,1,2,0,0,0,0,0,4,3,4,3,12,6
35 - Φωκίδας,3 E.T. Δήμου Δελφών,537,335,13,2,15,320,136,61,63,6,74,19,4,26,25,5,0,4,37,34,0,0,7,3,0,0,6,0,1,3,4,2,0,0,0,0,3,2,2,1,2,0,8,5,1,1,0,0,0,0,0,0,2,2,0,0,0,0,4,1,1,0,0,0,1,1,3,1,4,3
35 - Φωκίδας,4 E.T. Δήμου Δελφών,529,342,8,4,12,330,156,56,89,0,65,21,6,25,24,8,2,3,31,23,0,1,12,6,2,3,6,4,0,0,1,1,0,0,0,0,3,2,2,2,1,0,6,4,0,0,0,0,1,1,7,6,1,0,1,0,1,0,1,1,0,0,3,1,1,1,1,0,6,2
35 - Φωκίδας,5 E.T. Δήμου Δελφών,528,359,11,1,12,347,134,45,77,4,75,15,8,40,20,10,1,3,50,36,4,5,21,8,0,2,4,0,1,1,5,4,0,0,1,1,1,0,0,0,3,0,3,3,0,0,0,0,0,0,4,4,1,0,2,0,3,0,3,0,1,0,3,2,0,0,2,2,11,6
35 - Φωκίδας,6 E.T. Δήμου Δελφών,520,360,13,2,15,345,157,66,80,5,70,31,6,25,26,11,0,6,32,26,1,3,7,5,0,0,15,6,2,3,10,9,1,0,0,0,0,0,2,2,3,3,5,4,0,0,1,0,0,0,0,0,1,1,0,0,1,1,3,3,1,0,4,4,1,1,0,0,5,3
35 - Φωκίδας,7 E.T. Δήμου Δελφών,526,344,6,5,11,333,144,39,92,4,87,30,7,35,17,5,2,5,34,22,0,2,8,6,0,0,7,0,1,0,7,6,1,0,0,0,1,1,2,2,0,0,9,6,0,0,0,0,0,0,4,4,0,0,1,1,1,1,2,1,0,0,0,0,1,1,0,0,7,6
35 - Φωκίδας,8 E.T. Δήμου Δελφών,493,361,6,0,6,355,179,50,115,4,64,31,14,9,25,6,2,6,34,29,1,2,7,2,2,0,7,3,0,0,7,7,0,0,0,0,2,0,4,1,2,1,10,4,0,0,1,0,0,0,2,2,2,0,0,0,0,0,1,1,1,1,1,1,3,2,0,0,3,1
35 - Φωκίδας,9 E.T. Δήμου Δελφών,531,343,11,0,11,332,122,41,65,2,98,25,8,22,24,7,1,5,16,13,0,0,13,3,2,1,8,2,1,1,9,9,1,0,0,0,0,0,5,2,2,0,5,3,1,0,2,0,0,0,2,1,3,1,0,0,3,1,1,0,0,0,4,1,2,1,1,0,10,5
35 - Φωκίδας,10 E.T. Δήμου Δελφών,551,352,1,3,4,348,163,58,88,4,63,15,6,34,23,7,3,2,36,28,1,0,14,7,3,3,6,2,0,1,1,1,0,0,0,0,1,0,2,2,0,0,10,9,0,0,1,0,1,0,3,3,2,1,2,2,4,2,2,2,0,0,2,0,1,1,0,0,11,8
35 - Φωκίδας,11 E.T. Δήμου Δελφών,562,375,10,3,13,362,177,54,101,8,56,25,4,24,16,4,1,5,29,23,0,1,11,4,0,1,14,1,4,0,4,2,1,0,0,0,1,0,2,0,2,0,9,5,0,0,0,0,0,0,2,2,4,0,0,0,2,2,11,7,0,0,2,1,1,0,3,2,15,11
35 - Φωκίδας,12 E.T. Δήμου Δελφών,355,191,3,0,3,188,91,34,53,0,48,9,16,15,17,2,3,7,6,2,0,1,0,0,0,0,3,1,1,0,3,3,0,0,0,0,0,0,4,2,3,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1
35 - Φωκίδας,13 E.T. Δήμου Δελφών,293,160,3,0,3,157,59,15,41,0,30,5,3,14,14,4,3,7,16,8,1,1,4,2,0,0,2,0,2,0,1,0,2,1,0,0,1,0,5,5,3,3,6,6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,9,3
35 - Φωκίδας,14 E.T. Δήμου Δελφών,105,76,2,2,4,72,33,6,25,0,5,4,0,1,5,1,1,0,14,13,1,0,2,1,1,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,1,0,0,0,0,0,0,1,1,3,2
35 - Φωκίδας,15 E.T. Δήμου Δελφών,56,37,0,0,0,37,3,2,1,0,20,5,0,12,1,0,0,0,9,5,0,2,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
