ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΚΑΝΕΛΛΟΣ ΣΤΥΛΙΑΝΟΣ του Ευαγγέλου,ΚΟΤΡΩΝΙΑΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΜΑΚΡΗ-ΘΕΟΔΩΡΟΥ ΕΛΕΝΗ του Ευαγγέλου,ΟΙΚΟΝΟΜΟΥ ΙΩΑΝΝΗΣ (ΓΙΑΝΝΗΣ) του Δημητρίου,ΣΙΜΟΥ-ΠΑΛΑΙΟΛΟΓΟΥ ΒΑΣΙΛΙΚΗ (ΒΑΣΩ) του Ηλία,ΣΤΑΪΚΟΥΡΑΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου,ΣΥΡΙΖΑ,ΓΙΑΒΡΗ ΠΑΡΑΣΚΕΥΗ του Θεοφάνη,ΚΑΡΑΦΕΡΗ ΑΡΓΥΡΩ του Νικολάου,ΛΑΖΟΥ ΒΑΣΙΛΙΚΗ του Ανδρέα,ΛΟΥΚΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Χρήστου,ΠΑΠΟΥΤΣΑΣ ΝΙΚΟΛΑΟΣ του Ευάγγελου,ΣΑΡΑΚΙΩΤΗΣ ΙΩΑΝΝΗΣ του Αθανασίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΝΤΕΡΡΙΩΤΗ ΚΩΝΣΤΑΝΤΙΑ του Παναγιώτη,ΒΕΝΤΟΥΡΗ - ΝΑΣΟΠΟΥΛΟΥ ΑΛΕΞΑΝΔΡΑ του Κωνσταντίνου -Βασιλείου,ΜΑΣΤΡΟΓΙΑΝΝΗΣ ΒΑΣΙΛΕΙΟΣ του Δημητρίου,ΜΠΕΤΣΙΟΣ ΝΙΚΟΛΑΟΣ του Αθανασίου,ΠΑΠΑΓΟΡΑΣ ΑΝΤΩΝΙΟΣ του Αθανασίου,ΤΣΩΝΗΣ ΝΙΚΟΛΑΟΣ του Αθανασίου,Κ.Κ.Ε.,ΚΟΥΤΣΟΥΜΠΑΣ ΔΗΜΗΤΡΙΟΣ του Αποστόλου,ΓΕΡΟΚΟΥΔΗ ΔΗΜΗΤΡΑ του Αθανασίου,ΜΠΑΣΔΕΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,ΜΠΑΦΟΥΤΣΟΥ ΑΝΤΡΙΑΝΑ του Γεωργίου,ΠΑΣΟΥΛΑΣ ΧΡΙΣΤΟΣ του Γεωργίου,ΠΟΛΙΤΗΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΟΝΤΖΟΛΟΣ ΔΗΜΗΤΡΙΟΣ του Κωνσταντίνου,ΒΟΥΡΛΑΚΗΣ ΒΑΣΙΛΕΙΟΣ του Γεωργίου,ΔΗΜΗΤΡΑΝΤΖΟΥ ΒΑΣΙΛΙΚΗ του Κωνσταντίνου,ΛΑΪΛΑΚΙΔΟΥ ΕΛΠΙΣ του Λαζάρου,ΜΠΟΧΤΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θωμά,ΜΥΛΩΝΑΚΗΣ ΣΤΕΡΓΙΟΣ του Μιχαήλ,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΓΚΟΤΖΑΜΑΝΗΣ ΔΟΝΑΤΟΣ του Οδυσσέα,ΚΟΤΡΩΝΗΣ ΙΩΑΝΝΗΣ του Χρήστου,ΡΑΜΜΟΥ ΔΕΣΠΟΙΝΑ του Αθανασίου,ΤΣΑΚΑΛΟΥ ΑΡΓΥΡΟΥΛΑ (ΥΡΩ) του Ιωάννη,ΤΣΙΡΩΝΗΣ ΜΙΛΤΙΑΔΗΣ του Ιωάννη,ΦΥΣΟΛΟΗΣ ΑΝΑΣΤΑΣΙΟΣ-ΣΤΥΛΙΑΝΟΣ του Γεωργίου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΛΑΟΥΤΑΡΗΣ ΝΙΚΟΛΑΟΣ του Παναγιώτη,Κ.Κ.Ε. (μ-λ),ΒΕΡΟΥΣΗ ΣΟΦΙΑ του Γεωργίου,ΓΑΛΑΝΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,Ο.Κ.Δ.Ε.,ΚΤΕΝΑ ΣΜΑΡΩ του Αθανασίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΥΛΑΚΙΩΤΗΣ ΑΠΟΣΤΟΛΟΣ του Ιωάννη,ΔΑΡΑΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΖΟΥΜΠΟΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΜΕΛΕΤΗ ΧΡΥΣΑΝΘΗ του Αλεξάνδρου,ΜΕΛΛΙΟΣ ΙΩΑΝΝΗΣ του Φωτίου,ΤΖΙΟΥΒΑΡΑ ΟΛΥΜΠΙΑ ΠΑΡΑΣΚΕΥΗ του Κωνσταντίνου,Κίνημα 21,ΖΑΧΑΡΗΣ ΓΕΩΡΓΙΟΣ του Ανδρέα,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,ΤΣΙΤΟΥΡΑΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Βασιλείου,ΜΑΡΑΝΔΙΑΝΟΣ ΔΗΜΗΤΡΙΟΣ του Παναγιώτη,ΠΑΛΑΙΟΛΟΓΟΥ ΜΑΡΙΑ του Λάμπρου,ΣΙΟΥΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,ΝΙΚΗ,ΔΕΔΕΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευάγγελου,ΚΑΡΑΤΖΑ ΟΛΓΑ του Πέτρου,ΤΥΡΜΠΑ ΕΥΓΕΝΙΑ του Γεωργίου,ΦΑΚΟΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννου,κοινωνία αξιών,ΚΑΛΛΙΩΡΑΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΠΟΥΡΣΑΙΤΙΔΗΣ ΠΕΡΙΚΛΗΣ του Χαράλαμπου,ΣΙΨΗ ΕΥΣΤΑΘΙΑ του Δημητρίου,Ο.Α.Κ.Κ.Ε.,ΠΟΛΥΔΕΥΚΗΣ ΙΩΑΝΝΗΣ του Μιχαήλ,Μ-Λ Κ.Κ.Ε.,ΚΑΡΑΜΗΤΣΟΣ ΣΤΥΛΙΑΝΟΣ του Γεωργίου,Ελλήνων Συνέλευσις,ΚΥΒΩΤΙΔΟΥ ΔΟΜΝΙΚΗ του Παναγιώτη,ΤΑΓΚΟΥΛΗΣ ΓΕΩΡΓΙΟΣ του Στεργίου,Ένωση Κεντρώων,ΚΑΡΑΒΕΛΟΥ ΑΡΓΥΡΟΥΛΑ του Ευθυμίου,ΣΑΒΒΙΔΗΣ - ΒΑΣΙΛΕΙΑΔΗΣ ΛΑΖΑΡΟΣ του Ευστάθιου,ΧΛΙΑΠΑ ΜΑΡΙΑ του Παναγιώτη,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΚΑΤΣΑΟΥΝΗΣ ΣΤΑΥΡΟΣ του Κωνσταντίνου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΚΑΡΑΣΑΝΤΕΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΜΟΥΣΤΑΚΑ ΑΙΚΑΤΕΡΙΝΗ του Βασιλείου,ΠΑΝΟΥ ΧΡΗΣΤΟΣ του Ευσταθίου,ΦΥΚΑ ΦΡΕΙΔΕΡΙΚΗ του Κωνσταντίνου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΠΑΝΑΓΙΩΤΑΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Σπυρίδωνος,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΖΗΣΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΜΑΓΚΛΑΡΑ ΕΥΘΑΛΙΑ του Νικολάου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΒΑΣΙΚΩΣΤΑΣ ΧΡΗΣΤΟΣ του Αθανασίου,Οικολόγοι Πράσινοι,ΑΔΑΜΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΚΑΡΑΠΑ ΑΝΝΑ του Κωνσταντίνου,ΣΚΑΜΑΓΚΟΣ ΘΕΟΔΩΡΟΣ του Μιχαήλ,ΕΑΝ...,ΛΕΜΟΝΗΣ ΓΕΩΡΓΙΟΣ του Ηλία,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΛΕΒΕΝΤΗ ΕΛΕΝΗ του Κωνσταντίνου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΑΛΕΞΙΟΥ ΑΝΑΡΓΥΡΟΣ του Αλεξάνδρου,ΑΝΑΣΤΑΣΙΟΥ ΔΗΜΗΤΡΑ του Βασιλείου,ΘΕΟΦΑΝΟΠΟΥΛΟΥ ΙΩΑΝΝΑ του Κοσμά,ΛΙΘΑΔΙΩΤΟΥ ΑΙΚΑΤΕΡΙΝΗ του Ιωάννη,ΜΙΧΑΣ ΑΝΤΩΝΙΟΣ του Κωνσταντίνου,ΧΟΝΔΡΟΣ ΠΑΝΑΓΙΩΤΗΣ του Γεωργίου
33 - Φθιώτιδας,1 E.T. Δήμου Αμφίκλειας - Ελάτειας,453,313,2,0,2,311,147,9,25,12,101,2,78,72,4,16,29,10,8,44,35,5,5,11,4,16,21,18,0,5,12,2,2,3,9,2,1,1,3,1,2,11,3,0,3,1,4,4,1,1,0,0,0,0,0,5,0,5,0,0,1,1,1,0,0,0,3,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,1,2,0,2
33 - Φθιώτιδας,2 E.T. Δήμου Αμφίκλειας - Ελάτειας,459,314,7,2,9,305,134,15,9,9,101,2,81,64,5,13,24,3,10,46,44,8,7,7,9,8,24,17,0,2,7,3,0,4,7,2,1,2,0,0,0,11,1,1,3,4,1,0,1,1,0,0,0,0,0,4,1,4,0,0,1,0,0,0,1,0,2,1,0,1,0,6,2,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,2,2,1,1
33 - Φθιώτιδας,3 E.T. Δήμου Αμφίκλειας - Ελάτειας,452,277,2,0,2,275,125,7,17,6,107,4,68,63,3,17,21,2,10,43,18,1,3,5,5,7,7,22,0,2,7,5,3,4,8,2,4,3,1,0,1,4,1,0,0,0,1,0,1,1,0,0,0,0,0,8,1,7,1,0,1,2,2,2,2,2,5,4,1,2,2,5,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1,2,0,2,1,3
33 - Φθιώτιδας,4 E.T. Δήμου Αμφίκλειας - Ελάτειας,440,285,3,0,3,282,144,15,15,15,108,9,87,38,9,12,9,3,2,24,31,8,6,4,5,13,17,18,0,4,5,1,3,3,11,5,3,3,1,1,3,7,1,0,4,2,0,1,0,0,1,1,1,0,0,5,0,5,0,1,0,0,0,0,0,0,1,1,0,1,0,14,2,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,5,3,1,0,0,0,0,0,0,0,2,2,0,0,2,2,1,1,0,0,0
33 - Φθιώτιδας,5 E.T. Δήμου Αμφίκλειας - Ελάτειας,439,282,0,0,0,282,162,4,22,12,127,2,100,45,8,6,4,6,13,38,21,4,3,3,5,8,7,10,0,1,4,4,1,0,12,7,1,0,0,1,6,2,1,0,1,1,0,1,1,1,2,1,1,0,0,2,0,2,0,0,0,0,2,1,2,2,2,0,0,0,0,10,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1,0,2
33 - Φθιώτιδας,6 E.T. Δήμου Αμφίκλειας - Ελάτειας,291,186,4,0,4,182,68,1,2,9,50,1,39,33,6,5,8,3,0,25,32,7,9,8,9,1,14,25,0,1,12,2,1,0,6,1,1,0,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,3,0,0,1,0,0,1
33 - Φθιώτιδας,7 E.T. Δήμου Αμφίκλειας - Ελάτειας,349,192,8,2,10,182,85,4,10,11,43,2,60,40,5,15,6,4,3,23,13,5,4,0,3,0,2,9,0,1,2,3,0,1,9,4,1,0,0,0,7,3,2,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,0,0,2,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,1,3,3,1,0,0
33 - Φθιώτιδας,8 E.T. Δήμου Αμφίκλειας - Ελάτειας,170,102,0,0,0,102,33,0,3,6,25,2,23,30,2,5,19,4,0,18,15,5,5,0,2,1,8,9,0,0,5,1,1,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0
33 - Φθιώτιδας,9 E.T. Δήμου Αμφίκλειας - Ελάτειας,292,177,4,0,4,173,88,2,12,6,53,1,55,38,3,5,15,5,3,25,16,4,1,1,9,1,3,17,0,3,4,1,0,2,3,2,3,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,4,1,1,2,1,0,1
33 - Φθιώτιδας,10 E.T. Δήμου Αμφίκλειας - Ελάτειας,112,71,2,0,2,69,32,0,3,2,28,2,21,9,1,2,3,1,1,3,13,4,3,0,9,1,5,6,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0
33 - Φθιώτιδας,11 E.T. Δήμου Αμφίκλειας - Ελάτειας,559,350,3,1,4,346,100,1,17,7,46,7,70,120,7,53,9,12,4,82,43,3,0,2,1,19,25,39,0,12,7,10,9,3,7,1,2,0,1,0,1,7,0,3,1,4,0,0,2,2,1,0,0,0,0,3,0,0,0,1,0,0,2,0,4,3,0,0,0,0,0,2,2,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,2,1,1,0,0,0,0,0,7,1,2,2,2,0,0
33 - Φθιώτιδας,12 E.T. Δήμου Αμφίκλειας - Ελάτειας,557,383,7,1,8,375,139,0,21,10,57,13,92,96,5,32,13,3,5,73,44,5,6,6,7,11,27,40,0,0,14,8,9,4,9,1,0,3,0,0,4,9,3,3,0,1,2,1,3,2,0,0,0,0,0,2,0,0,1,0,0,0,1,1,2,1,1,0,1,1,0,4,2,1,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,1,0,1,1,3,0,1,0,0,0,3,0,12,4,5,4,3,1,1
33 - Φθιώτιδας,13 E.T. Δήμου Αμφίκλειας - Ελάτειας,547,365,5,3,8,357,134,2,34,10,54,11,98,98,3,44,10,7,3,83,51,10,7,15,4,16,33,42,0,2,15,16,14,2,4,1,1,1,1,0,1,7,2,2,3,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,0,0,1,1,8,1,4,2,3,1,2
33 - Φθιώτιδας,14 E.T. Δήμου Αμφίκλειας - Ελάτειας,546,354,3,0,3,351,113,1,17,6,53,8,84,93,4,36,10,1,1,83,49,14,4,12,1,8,26,52,0,4,13,15,15,6,9,3,2,0,1,2,4,9,2,0,3,2,2,0,2,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,2,2,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,0,2,1,1,0,1,0,1,0,6,1,0,1,2,0,0
33 - Φθιώτιδας,15 E.T. Δήμου Αμφίκλειας - Ελάτειας,367,238,4,0,4,234,146,2,17,17,90,31,72,32,1,2,1,2,1,31,33,0,3,3,3,15,28,6,0,1,4,0,0,0,5,0,2,2,2,0,2,2,0,1,2,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,2,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0
33 - Φθιώτιδας,16 E.T. Δήμου Αμφίκλειας - Ελάτειας,347,212,3,0,3,209,136,2,9,22,92,26,71,33,1,7,1,4,0,28,21,2,2,0,0,8,16,0,0,0,0,0,0,0,5,1,1,1,0,0,1,1,1,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,2,1,0,0,0,0,0
33 - Φθιώτιδας,17 E.T. Δήμου Αμφίκλειας - Ελάτειας,212,117,0,0,0,117,52,16,12,2,20,6,46,18,0,6,2,2,0,17,17,2,1,6,1,6,11,2,0,0,1,0,1,0,7,2,0,1,1,0,0,4,0,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,2,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,1,1,1,1
33 - Φθιώτιδας,18 E.T. Δήμου Αμφίκλειας - Ελάτειας,249,162,0,0,0,162,88,1,17,6,52,2,49,25,4,8,3,3,0,18,17,1,0,5,2,2,8,11,0,3,1,2,2,1,6,1,2,1,0,0,0,2,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,3,2,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
