ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΓΙΑΤΣΙΟΣ ΙΩΑΝΝΗΣ του Νικολάου,ΚΟΓΙΟΥ ΛΑΜΠΡΙΝΗ του Δημητρίου,ΣΤΑΥΡΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Γεωργίου,ΣΥΡΙΖΑ,ΚΑΛΑΜΑΡΑΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΜΠΓΙΑΛΑΣ ΧΡΗΣΤΟΣ του Αθανασίου,ΤΖΟΥΒΑΡΑ ΦΩΤΕΙΝΗ του Δημητρίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΓΚΑΛΟΓΙΑΝΝΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΣΤΟΥΠΑΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΤΣΙΑΝΑ ΑΙΚΑΤΕΡΙΝΗ του Αργυρίου,Κ.Κ.Ε.,ΓΑΛΑΝΗΣ ΔΗΜΗΤΡΙΟΣ του Ευθυμίου,ΚΛΕΙΣΙΑΡΗΣ ΙΩΑΝΝΗΣ του Νικολάου,ΚΟΛΙΤΣΑ ΤΣΑΚΜΑΚΑ ΕΛΕΥΘΕΡΙΑ του Ιωάννη,Ελληνική Λύση - Κ. Βελόπουλος,ΑΒΔΕΛΑΣ ΑΠΟΣΤΟΛΟΣ του Κωνσταντίνου,ΑΘΑΝΑΣΟΠΟΥΛΟΣ ΑΝΤΩΝΙΟΣ του Δημητρίου,ΑΞΙΩΤΗ ΕΛΙΣΣΑΒΕΤ του Αχιλλέως,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΒΕΛΛΑ ΣΤΥΛΙΑΝΗ του Θεοδώρου,ΑΧΤΑΡΙΔΗΣ ΘΩΜΑΣ του Γεωργίου,ΚΩΣΤΟΥΛΑΣ ΣΤΕΡΓΙΟΣ του Δημητρίου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΟΝΤΑΡΓΥΡΗ ΑΡΓΥΡΩ του Αποστόλου,Κ.Κ.Ε. (μ-λ),ΠΑΠΑΔΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Χαραλάμπους,Ο.Κ.Δ.Ε.,ΚΑΛΑΜΠΑΚΑΣ ΑΡΓΥΡΙΟΣ του Πέτρου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΑΣΙΛΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Δημητρίου,Κίνημα 21,ΕΥΘΥΜΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Χαραλάμπου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΚΑΡΑΜΗΤΡΟΣ ΑΧΙΛΛΕΥΣ του Νικολάου,ΝΙΚΗ,ΝΙΚΟΛΑΟΥ ΓΕΩΡΓΙΟΣ του Αθανασίου,κοινωνία αξιών,ΚΑΡΕΤΣΟΣ ΕΥΘΥΜΙΟΣ (ΜΑΚΗΣ) του Στέργιου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΜΠΟΥΝΤΟΥΡΗΣ ΓΕΩΡΓΙΟΣ του Χρήστου,Μ-Λ Κ.Κ.Ε.,ΠΑΠΑΠΟΣΤΟΛΟΥ ΙΑΣΩΝ του Δημητρίου,Ελλήνων Συνέλευσις,ΚΡΑΓΙΑΣ ΧΡΗΣΤΟΣ του Γεωργίου,Ένωση Κεντρώων,ΒΛΑΧΟΣ ΝΙΚΟΛΑΟΣ του Αθανασίου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΚΑΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Νικολάου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΚΑΡΑΠΑΝΑΓΙΩΤΟΥ ΑΝΑΣΤΑΣΙΑ του Χρήστου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΝΙΑΝΙΟΣ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΛΑΧΑΝΙΔΗΣ ΕΥΣΤΑΘΙΟΣ του Μιχαήλ,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΠΑΠΑΓΕΡΟΥΔΗΣ ΑΓΓΕΛΟΣ του Νικολάου,Οικολόγοι Πράσινοι,ΣΟΥΚΟΥ ΚΑΛΛΙΟΠΗ του Σωκράτη,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΚΑΠΑΓΕΡΙΔΟΥ ΜΑΡΙΑ ΗΣΑΙΑ του Αθανασίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΣΟΥΛΗ ΑΓΓΕΛΙΚΗ του Αναστασίου
17 - Γρεβενών,1 E.T. Δήμου Γρεβενών,271,98,1,0,1,97,62,60,0,2,13,1,8,4,9,0,5,3,2,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,3,0
17 - Γρεβενών,2 E.T. Δήμου Γρεβενών,235,111,1,1,2,109,37,17,3,15,13,3,2,6,43,0,43,0,0,0,0,0,2,1,0,0,2,2,0,0,5,1,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0
17 - Γρεβενών,3 E.T. Δήμου Γρεβενών,91,16,0,0,0,16,10,6,1,1,1,0,0,1,3,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17 - Γρεβενών,4 E.T. Δήμου Γρεβενών,292,161,2,0,2,159,69,21,11,30,32,6,4,20,19,3,11,4,10,1,1,5,11,1,0,4,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,9,5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,0
17 - Γρεβενών,5 E.T. Δήμου Γρεβενών,119,52,0,0,0,52,22,9,5,5,10,4,0,6,5,0,5,0,4,1,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0
17 - Γρεβενών,6 E.T. Δήμου Γρεβενών,189,79,0,0,0,79,23,11,3,8,26,6,1,15,14,0,12,2,5,1,1,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
17 - Γρεβενών,7 E.T. Δήμου Γρεβενών,69,44,0,0,0,44,30,12,3,14,2,1,1,0,5,0,5,0,2,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1
17 - Γρεβενών,8 E.T. Δήμου Γρεβενών,155,58,1,0,1,57,31,12,2,16,9,3,0,6,6,0,5,1,5,0,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
17 - Γρεβενών,9 E.T. Δήμου Γρεβενών,391,192,6,0,6,186,90,22,6,59,38,17,11,8,16,1,13,2,3,1,1,1,9,3,1,3,0,0,0,0,2,2,0,0,0,0,1,1,2,2,7,7,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
17 - Γρεβενών,10 E.T. Δήμου Γρεβενών,403,164,4,0,4,160,83,40,10,31,21,8,3,9,29,0,26,2,2,0,0,2,7,5,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,3,2,5,4
17 - Γρεβενών,11 E.T. Δήμου Γρεβενών,232,123,0,1,1,122,59,18,10,26,10,1,1,6,14,1,9,0,15,1,3,6,4,2,1,1,2,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,1,1,0,0,1,1
17 - Γρεβενών,12 E.T. Δήμου Γρεβενών,77,28,0,0,0,28,6,3,0,3,3,3,0,0,12,0,12,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
17 - Γρεβενών,13 E.T. Δήμου Γρεβενών,507,282,3,1,4,278,155,55,12,85,45,11,13,21,52,3,36,9,13,0,5,3,5,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
17 - Γρεβενών,14 E.T. Δήμου Γρεβενών,228,124,2,0,2,122,62,11,0,51,18,8,4,4,28,1,23,2,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,0,0,0,0,0
17 - Γρεβενών,15 E.T. Δήμου Γρεβενών,127,56,3,0,3,53,25,11,2,10,9,4,0,5,7,0,7,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,2
