ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΑΒΡΑΜΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Λάμπρου,ΑΥΓΕΡΙΝΟΠΟΥΛΟΥ ΔΙΟΝΥΣΙΑ-ΘΕΟΔΩΡΑ του Ζήσιμου,ΒΑΡΟΥΞΗΣ ΕΛΕΥΘΕΡΙΟΣ του Λεωνίδα,ΒΛΑΓΚΟΥΛΗ ΑΝΝΑ-ΜΑΡΙΑ του Θεοδώρου,ΚΑΛΑΚΟΣ ΝΙΚΟΛΑΟΣ (ΝΙΚΟΣ) του Αναστασίου,ΝΙΚΟΛΑΚΟΠΟΥΛΟΣ ΑΝΔΡΕΑΣ του Θεοδώρου,ΣΤΑΘΟΠΟΥΛΟΥ ΙΩΑΝΝΑ-ΜΑΡΙΑ (ΜΑΡΙΑΝΝΑ) του Κωνσταντίνου,ΣΥΡΙΖΑ,ΑΝΑΣΤΑΣΟΠΟΥΛΟΥ ΖΩΗ του Νικολάου,ΒΑΣΙΛΟΠΟΥΛΟΥ ΒΙΚΤΩΡΙΑ (ΒΙΚΥ) του Λεωνίδα,ΚΑΛΑΜΑΤΙΑΝΟΣ ΔΙΟΝΥΣΙΟΣ - ΧΑΡΑΛΑΜΠΟΣ του Χρήστου,ΜΑΝΙΑΤΗ ΘΕΟΔΩΡΑ (ΔΩΡΑ) του Αριστείδη,ΜΠΑΛΑΟΥΡΑΣ ΓΕΡΑΣΙΜΟΣ (ΜΑΚΗΣ) του Δημητρίου,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΦΩΤΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Διονυσίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΜΠΟΥ - ΧΑΝΤΜΠΑ ΜΙΣΕΛ (ΜΑΙΚ) του Ανδρέα,ΖΑΦΕΙΡΟΠΟΥΛΟΥ ΔΗΜΗΤΡΑ του Γεωργίου,ΚΑΡΑΛΑΓΑ ΒΑΣΙΛΙΚΗ του Αντωνίου,ΚΑΤΡΙΝΗΣ ΜΙΧΑΗΛ του Ιωάννη,ΣΑΣΣΑΛΟΥ ΕΥΓΕΝΙΑ του Ανδρέα,ΤΣΕΡΙΩΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΧΡΟΝΗΣ ΑΡΙΣΤΟΜΕΝΗΣ (ΜΕΝΙΟΣ) του Παναγιώτη,Κ.Κ.Ε.,ΑΘΑΝΑΣΟΥΛΑΣ ΧΡΗΣΤΟΣ του Παναγιώτη,ΒΟΜΠΙΡΗΣ ΑΘΑΝΑΣΙΟΣ του Ιωάννη,ΓΙΑΝΝΑΡΟΣ ΧΡΗΣΤΟΣ του Παναγιώτη,ΞΕΝΟΣΤΑΘΗ ΑΘΑΝΑΣΙΑ (ΣΙΑ) του Ηλία,ΠΑΝΑΓΙΩΤΑΡΑ ΑΝΑΣΤΑΣΙΑ (ΝΑΤΑΣΑ) του Νικολάου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΤΣΑΣΗ ΖΩΙΤΣΑ (ΖΩΗ) του Νικολάου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΡΟΥΣΓΟΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΓΕΡΑΓΙΩΤΟΥ ΧΡΥΣΑΝΘΗ του Ευάγγελου,ΓΙΑΝΝΑΚΟΥΛΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Διονυσίου,ΓΚΟΓΚΟΣΗ ΒΑΣΙΛΕΙΑ του Γεωργίου,ΚΟΥΜΠΑΚΗ ΓΕΩΡΓΙΑ του Δημητρίου,ΛΑΜΠΕΤΗ ΜΑΡΙΑ του Αντωνίου,ΜΠΕΚΡΗΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΝΔΡΙΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Ιωάννη,ΜΑΡΚΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Παναγιώτη,ΣΚΟΥΛΑΡΙΚΗ ΙΩΑΝΝΑ του Δημητρίου,ΤΖΑΜΠΕΡ ΤΑΪΣΗΡ του Φαϊέζ,ΤΣΕΚΟΥ ΑΝΑΣΤΑΣΙΑ του Βασιλείου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΔΡΑΚΟΠΟΥΛΟΥ ΜΑΡΙΑ του Βασιλείου,ΚΑΡΑΘΑΝΑΣΗΣ ΠΑΥΛΟΣ του Χαράλαμπου,ΠΛΑΝΗΤΕΡΟΣ ΕΛΕΥΘΕΡΙΟΣ του Κωνσταντίνου,Κ.Κ.Ε. (μ-λ),ΑΝΔΡΙΚΟΓΙΑΝΝΟΠΟΥΛΟΥ ΑΘΑΝΑΣΙΑ του Γεωργίου,ΖΟΥΛΟΥΜΗ ΚΩΝΣΤΑΝΤΙΝΑ του Χαράλαμπου,ΚΟΥΦΟΠΑΝΤΕΛΗΣ ΜΑΡΙΝΟΣ του Παντελή,Ο.Κ.Δ.Ε.,ΚΟΥΡΙΛΑ ΑΝΑΣΤΑΣΙΑ του Κωνσταντίνου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΑΛΕΡΓΗΣ ΑΛΕΞΙΟΣ του Κωνσταντίνου,ΛΙΑΝΟΣ ΘΕΜΙΣΤΟΚΛΗΣ-ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΜΑΥΡΟΕΙΔΗ ΔΗΜΗΤΡΑ του Παναγιώτη,ΜΠΑΧΟΥΡΟΥ ΒΑΣΙΛΙΚΗ του Θεοδώρου,ΣΑΜΑΡΑΣ ΕΥΑΓΓΕΛΟΣ του Παναγιώτη,Κίνημα 21,ΓΙΑΝΝΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Άγγελου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΒΑΡΒΑΡΙΝΟΥ ΒΑΗ ΧΡΙΣΤΙΝΑ του Ιωάννη,ΕΛΛΗΝΑΣ ΙΩΑΝΝΗΣ του Αθανασίου,ΠΑΠΑΔΟΜΙΧΕΛΑΚΗΣ ΗΛΙΑΣ του Γεωργίου,ΣΑΝΤΟΥ ΜΑΛΑΜΑΤΕΝΙΑ του Μιχαήλ,ΤΣΑΤΣΑΡΗΣ ΒΑΣΙΛΕΙΟΣ του Παναγιώτη,ΝΙΚΗ,ΚΕΡΑΤΣΗ ΚΥΡΙΑΚΟΥΛΑ του Αθανασίου,ΚΟΝΤΑΞΗΣ ΘΕΟΦΑΝΗΣ του Βασιλείου,ΜΠΑΚΟΓΙΑΝΝΗΣ ΜΙΧΑΗΛ του Βασιλείου,ΠΑΠΑΓΕΩΡΓΙΟΥ ΙΩΑΝΝΗΣ του Παναγιώτη,ΣΑΜΠΑΖΙΩΤΗ ΙΩΑΝΝΑ του Κωνσταντίνου,κοινωνία αξιών,ΠΑΠΑΓΡΗΓΟΡΙΟΥ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΤΣΙΡΟΣ ΧΡΗΣΤΟΣ του Δημητρίου,ΤΣΟΜΠΑΝΟΓΛΟΥ ΜΑΡΙΑ του Ιωάννη,Ο.Α.Κ.Κ.Ε.,ΛΑΜΠΑΔΑ ΓΕΩΡΓΙΑ του Χρήστου,Μ-Λ Κ.Κ.Ε.,ΣΟΦΗ ΠΑΡΑΣΚΕΥΟΥΛΑ του Δημητρίου,Ελλήνων Συνέλευσις,ΑΡΒΑΝΙΤΗ ΕΛΕΝΗ του Παναγιώτη,ΠΑΥΛΟΠΟΥΛΟΣ ΑΝΔΡΕΑΣ του Ανδρέα,ΠΕΤΡΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Αποστόλου,Ένωση Κεντρώων,ΖΑΚΟ ΑΝΔΡΕΑ του Ιωσήφ,ΛΑΓΟΣ ΘΕΟΔΩΡΟΣ του Γεωργίου,ΠΑΝΑΓΟΠΟΥΛΟΥ - ΠΕΤΡΟΠΟΥΛΟΥ ΑΘΑΝΑΣΙΑ του Γεωργίου,ΤΣΙΓΚΟΥΝΗΣ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΦΡΑΓΚΑΚΗ ΑΙΚΑΤΕΡΙΝΗ του Ελευθερίου,ΧΑΜΖΑΙ ΟΛΤΙΟΝ (ΑΛΕΞΑΝΔΡΟΣ) του Αρτούρ,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΜΠΡΙΒΙΔΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ (ΝΤΙΝΟΣ) του Ιωάννη,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΓΙΑΝΝΙΚΟΠΟΥΛΟΥ ΦΩΤΕΙΝΗ του Νικολάου,ΔΕΛΓΑΣ ΧΑΡΑΛΑΜΠΟΣ του Ιωάννη,ΜΑΝΤΖΑΡΗ ΕΛΕΝΗ του Κωνσταντίνου,ΠΑΤΣΙΟΣ ΚΑΝΕΛΛΟΣ - ΙΩΑΝΝΗΣ του Ιωάννη,ΧΑΛΙΛΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΚΑΥΚΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Παναγιώτη,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΖΑΧΑΡΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΕΓΓΛΕΖΟΣ ΙΩΑΝΝΗΣ του Ιακώβου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΚΑΨΗΣ ΔΙΟΝΥΣΙΟΣ του Σταύρου,ΚΟΥΡΟΥΠΑ ΒΑΣΙΛΙΚΗ του Περικλή,ΣΤΑΘΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Διονυσίου,Οικολόγοι Πράσινοι,ΣΑΚΚΟΥΛΗΣ ΝΙΚΟΛΑΟΣ του Θεοδώρου,ΧΕΛΜΗ ΑΓΓΕΛΙΚΗ του Σπυρίδωνα-Διονυσίου,ΕΑΝ...,ΤΣΟΥΜΠΑΚΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Αριστείδη,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΚΟΥΛΑΛΟΓΛΟΥ ΠΟΛΥΞΕΝΗ του Νικολάου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΛΑΜΠΡΟΠΟΥΛΟΥ ΕΥΦΡΟΣΥΝΗ του Ιωάννη
32 - Ηλείας,1 E.T. Δήμου Ανδραβίδας - Κυλλήνης,499,301,9,2,11,290,139,56,34,12,11,39,64,5,47,25,1,12,3,21,13,3,44,11,1,16,23,1,6,11,8,0,0,1,1,1,2,1,13,3,0,10,0,0,1,1,7,3,1,2,0,1,5,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,1,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,12,6
32 - Ηλείας,2 E.T. Δήμου Ανδραβίδας - Κυλλήνης,498,280,8,1,9,271,91,32,19,14,15,27,28,2,56,31,3,29,1,8,10,7,58,8,3,34,28,0,1,9,13,1,0,2,2,3,0,4,16,2,1,9,1,1,2,1,3,1,0,2,1,2,5,0,0,5,1,1,0,0,0,0,1,0,0,1,1,0,2,2,1,0,1,0,0,0,5,1,0,5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,1,1,6,5
32 - Ηλείας,3 E.T. Δήμου Ανδραβίδας - Κυλλήνης,509,266,6,2,8,258,81,34,22,12,9,32,25,2,60,21,2,27,3,11,13,4,53,5,1,35,20,0,2,13,18,2,1,5,0,0,2,12,12,2,2,7,1,0,4,0,3,1,0,0,0,0,4,1,0,4,1,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,8,1,1,6,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,3,0,0,0,6,3
32 - Ηλείας,4 E.T. Δήμου Ανδραβίδας - Κυλλήνης,518,291,6,3,9,282,89,23,27,12,19,20,27,5,70,34,6,21,3,16,10,5,64,15,1,31,29,1,11,17,13,4,1,6,1,1,0,6,13,2,2,10,0,0,1,0,6,0,2,2,2,3,3,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3,3,2,1,1,0,1,0,7,0,1,5,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,5,3
32 - Ηλείας,5 E.T. Δήμου Ανδραβίδας - Κυλλήνης,509,285,2,1,3,282,110,44,36,14,17,34,37,2,41,14,0,12,2,11,11,5,61,6,0,31,29,2,9,18,18,3,2,3,3,4,5,4,15,1,2,7,1,1,2,3,4,0,0,0,1,1,3,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,1,5,0,1,0,5,1,0,3,1,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,1,1,0,1,1,1,1,2,1,1,1,6,2
32 - Ηλείας,6 E.T. Δήμου Ανδραβίδας - Κυλλήνης,530,347,7,1,8,339,122,49,28,21,9,35,48,2,61,20,0,29,1,17,19,1,87,11,1,54,40,2,8,18,17,1,2,3,3,3,0,9,10,0,0,6,0,1,2,0,5,0,0,1,0,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,4,0,0,2,0,0,3,1,2,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,14,11
32 - Ηλείας,7 E.T. Δήμου Ανδραβίδας - Κυλλήνης,85,57,1,2,3,54,25,9,10,1,1,11,12,0,12,6,1,1,3,2,4,1,12,4,1,1,6,0,6,1,2,0,0,2,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
32 - Ηλείας,8 E.T. Δήμου Ανδραβίδας - Κυλλήνης,229,148,2,2,4,144,55,7,17,2,7,7,41,0,42,18,2,27,1,6,1,6,23,1,1,17,9,0,2,1,14,3,1,1,0,3,4,8,1,1,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
32 - Ηλείας,9 E.T. Δήμου Ανδραβίδας - Κυλλήνης,368,226,1,0,1,225,103,29,35,13,7,18,48,0,30,8,1,18,0,4,0,0,56,25,1,7,35,5,9,11,1,0,0,0,0,0,0,0,21,2,1,10,4,0,2,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
32 - Ηλείας,10 E.T. Δήμου Ανδραβίδας - Κυλλήνης,339,199,4,1,5,194,71,15,21,14,19,27,26,3,51,11,7,32,0,11,10,2,39,1,2,6,30,1,7,9,3,0,0,0,1,0,2,2,7,1,3,1,1,1,1,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,1,1,0,5,1
32 - Ηλείας,11 E.T. Δήμου Ανδραβίδας - Κυλλήνης,532,338,3,2,5,333,163,42,39,24,19,52,68,8,58,24,9,28,1,16,8,4,53,5,3,18,45,0,8,5,11,4,1,4,1,2,0,6,17,5,6,4,3,3,3,0,1,1,1,0,0,0,4,2,1,3,1,0,0,0,0,0,1,1,1,0,0,0,3,3,0,0,0,0,0,0,4,0,2,4,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,1,0,1,1,2,2,2,1,1,0,0,8,5
32 - Ηλείας,12 E.T. Δήμου Ανδραβίδας - Κυλλήνης,537,363,3,1,4,359,125,34,33,13,17,39,73,4,70,25,6,27,2,14,16,4,96,11,11,25,86,1,12,7,9,1,0,4,2,0,1,0,12,6,3,2,2,2,3,2,9,2,1,2,4,3,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,4,2,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,2,3,3,1,1,13,8
32 - Ηλείας,13 E.T. Δήμου Ανδραβίδας - Κυλλήνης,513,315,2,5,7,308,119,33,36,10,14,29,67,3,74,37,10,32,5,7,19,4,69,8,9,21,56,0,6,1,11,3,0,3,0,5,1,3,11,6,1,2,1,2,2,2,3,0,0,0,2,1,5,2,3,2,0,0,0,0,0,0,1,1,0,1,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,5,5
32 - Ηλείας,14 E.T. Δήμου Ανδραβίδας - Κυλλήνης,550,341,12,1,13,328,143,39,43,16,13,37,73,4,80,26,10,39,7,8,25,5,68,9,6,15,61,2,5,2,9,3,0,1,0,1,4,2,6,1,0,2,0,0,1,1,6,2,2,0,0,0,6,1,2,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,1,1,0,1,0,0,0,0,0,0,0,2,1
32 - Ηλείας,15 E.T. Δήμου Ανδραβίδας - Κυλλήνης,565,336,2,1,3,333,124,33,35,18,12,31,53,4,67,29,9,31,3,17,9,8,82,3,7,32,65,2,14,2,22,10,1,3,3,1,1,4,9,2,1,2,1,1,1,1,4,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,1,2,0,1,1,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,4,5,5
32 - Ηλείας,16 E.T. Δήμου Ανδραβίδας - Κυλλήνης,382,223,0,0,0,223,83,24,28,4,10,23,38,1,52,17,5,25,5,9,20,0,56,11,9,11,51,1,2,1,9,6,1,2,2,0,5,2,4,0,2,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,4,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,2,6,4
32 - Ηλείας,17 E.T. Δήμου Ανδραβίδας - Κυλλήνης,383,258,5,0,5,253,87,21,28,8,11,22,39,2,65,18,2,32,1,28,11,1,63,23,3,5,43,2,1,1,10,0,0,0,1,0,1,2,11,0,0,4,0,1,3,0,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,1
32 - Ηλείας,18 E.T. Δήμου Ανδραβίδας - Κυλλήνης,195,125,2,0,2,123,46,16,9,7,3,14,31,3,27,6,2,7,0,12,3,0,41,9,3,4,34,0,5,4,1,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
32 - Ηλείας,19 E.T. Δήμου Ανδραβίδας - Κυλλήνης,431,319,5,2,7,312,98,12,33,14,12,25,57,3,55,34,3,15,0,24,2,0,126,2,8,23,123,0,4,18,5,2,1,1,0,1,0,3,8,1,1,2,1,1,1,0,5,1,0,2,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,5,4
