ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΑΜΥΡΑΣ ΓΕΩΡΓΙΟΣ του Στυλιανού,ΕΞΑΡΧΟΥ ΕΛΙΣΑΒΕΤ (ΕΛΣΑ) του Δημητρίου,ΚΕΦΑΛΑ ΜΑΡΙΑ-ΑΛΕΞΑΝΔΡΑ του Στεφάνου,ΚΟΡΤΖΗ ΑΝΤΩΝΙΑ του Δημητρίου,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΣ ΣΠΥΡΙΔΩΝ του Γεωργίου,ΣΕΪΤΑΡΙΔΗΣ ΓΕΩΡΓΙΟΣ (ΓΙΟΥΡΚΑΣ) του Δημητρίου,ΤΑΣΟΥΛΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αναστασίου,ΣΥΡΙΖΑ,ΑΛΜΠΑΝΗΣ ΤΡΙΑΝΤΑΦΥΛΛΟΣ του Αθανασίου,ΓΡΙΒΑΣ ΧΡΗΣΤΟΣ του Νικολάου,ΜΑΚΗ ΚΩΣΤΟΥΛΑ του Γεωργίου,ΟΙΚΟΝΟΜΟΥ ΑΘΑΝΑΣΙΟΣ του Σωκράτη,ΣΟΥΛΕΛΕ ΑΓΛΑΪΑ (ΛΙΛΑ) του Ανδρέα,ΣΤΕΦΟΣ ΙΩΑΝΝΗΣ του Θεοδώρου,ΤΖΟΥΦΗ ΜΕΡΟΠΗ του Στεφάνου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΓΑΤΣΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΔΗΜΗΤΡΙΟΥ ΔΗΜΗΤΡΙΟΣ του Χρήστου,ΛΙΑΓΚΟΥ ΑΝΘΗ του Πάντου,ΜΑΝΤΑΛΟΒΑΣ ΑΘΑΝΑΣΙΟΣ του Χρήστου,ΜΗΤΣΙΟΥ ΕΥΑΓΓΕΛΙΑ (ΒΑΛΙΑ) του Βασιλείου,ΜΠΑΚΟΛΑ ΝΤΙΝΑ του Μάρκου,ΤΣΙΜΑΡΗΣ ΙΩΑΝΝΗΣ του Παναγιώτη,Κ.Κ.Ε.,ΕΞΑΡΧΟΣ ΝΙΚΟΛΑΟΣ (ΠΑΚΟΣ) του Θεοφάνη,ΛΥΓΔΑ ΑΝΘΟΥΛΑ ΝΙΚΟΛΕΤΑ (ΑΝΘΗ) του Ελευθερίου,ΝΑΚΟΣ ΑΘΑΝΑΣΙΟΣ του Βασιλείου,ΠΑΠΑΓΕΩΡΓΙΟΥ ΒΑΣΙΛΕΙΟΣ του Γεωργίου,ΤΑΣΙΟΥΛΑΣ ΔΗΜΗΤΡΙΟΣ (ΤΑΚΗΣ) του Αναστασίου,ΤΟΥΛΚΙΑΡΙΔΟΥ ΧΡΙΣΤΙΝΑ του Σάββα,ΤΣΟΥΜΑΝΗ ΟΛΓΑ (ΟΛΥ) του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΓΙΓΟΥΡΤΑΚΗΣ ΜΙΧΑΗΛ του Χρήστου,ΛΑΜΠΡΟΥ ΒΑΓΙΑ του Αλεξίου,ΣΩΤΗΡΙΟΥ ΒΑΣΙΛΙΚΗ του Χρήστου,ΤΑΤΣΗ ΡΑΪΚΟΥ ΜΑΡΙΑ του Γεωργίου,ΤΣΟΥΡΗΣ ΧΑΡΑΛΑΜΠΟΣ του Βασιλείου,ΤΣΩΤΣΟΥ ΓΕΩΡΓΙΑ του Γρηγορίου,ΦΑΝΤΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Ευάγγελου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΒΕΝΕΤΗΣ ΕΥΑΓΓΕΛΟΣ του Χρήστου,ΓΟΔΕΒΕΝΟΣ ΠΕΤΡΟΣ του Γεωργίου,ΚΟΥΝΟΥΒΕΛΗΣ ΣΑΒΒΑΣ του Παύλου,ΜΠΟΥΚΗ ΕΛΕΝΗ του Φωτίου,ΝΤΑΛΑΓΙΑΝΝΗ ΑΙΚΑΤΕΡΙΝΗ (ΛΙΝΑ) του Γεωργίου,ΤΣΟΥΝΗΣ ΠΑΝΑΓΙΩΤΗΣ (ΒΟΣΤΙΝΙΩΤΗΣ) του Δημητρίου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΑΤΕΡΙΝΗΣ ΧΡΗΣΤΟΣ του Ιωάννη,ΜΥΤΑΡΗΣ ΑΝΤΩΝΗΣ του Ιωάννη,ΧΡΙΣΤΟΠΟΥΛΟΥ ΑΡΓΥΡΩ του Νικολάου,Κ.Κ.Ε. (μ-λ),ΚΑΝΔΡΕΛΗ ΠΑΡΑΣΚΕΥΗ του Σωτηρίου,ΜΙΧΟΥ ΦΩΤΕΙΝΗ του Δημητρίου,ΜΠΟΥΤΣΟΡΑΣ ΧΡΗΣΤΟΣ του Παύλου,ΠΑΠΑΝΔΡΕΟΥ ΠΕΤΡΟΣ του Κωνσταντίνου,ΣΤΡΑΤΟΣ ΕΥΣΤΡΑΤΙΟΣ του Δημητρίου,ΤΣΙΛΙΚΑΤΗΣ ΧΡΗΣΤΟΣ του Νικολάου,Ο.Κ.Δ.Ε.,ΚΟΥΤΡΗΣ ΓΕΩΡΓΙΟΣ του Αντωνίου,ΤΖΩΡΤΖΗ ΚΩΝΣΤΑΝΤΙΝΑ του Θεοφίλου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΡΓΥΡΟΣ ΔΗΜΗΤΡΙΟΣ του Θεοδώρου,ΒΛΑΧΑΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΓΚΙΚΑ ΛΟΥΪΖΑ του Δημητρίου,ΓΚΟΥΡΑ ΦΩΤΕΙΝΗ του Βασιλείου,ΖΗΚΟΣ ΝΙΚΟΛΑΟΣ του Αποστόλου,ΗΛΙΑΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,ΣΥΝΔΡΕΒΕΛΗ ΠΑΡΑΣΚΕΥΗ του Γεωργίου,Κίνημα 21,ΗΛΙΟΠΟΥΛΟΥ ΣΟΦΙΑ του Διονυσίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΖΟΥΚΗ ΣΤΑΥΡΟΥΛΑ του Ιωάννη,ΚΑΠΑΜΑΣ ΙΩΑΝΝΗΣ του Παναγιώτη,ΜΠΙΤΑΚΟΥ ΑΛΕΞΑΝΔΡΑ του Παναγιώτη,ΝΤΑΛΑΚΟΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,ΠΑΠΠΑΣ ΦΙΛΙΠΠΟΣ του Χριστοδούλου,ΣΥΝΟΔΙΝΟΣ ΠΑΝΑΓΙΩΤΗΣ του Σταύρου,ΝΙΚΗ,ΕΖΝΕΠΙΔΟΥ ΜΑΡΙΑ του Ραφαήλ,ΚΑΛΛΙΝΤΕΡΗΣ ΓΕΩΡΓΙΟΣ του Χρήστου,ΚΟΡΕΤΣΗ ΦΟΕΡΣΤΕΡ ΟΛΓΑ του Νικολάου,ΤΥΡΟΠΑΝΗΣ ΣΠΗΛΙΟΣ του Δημητρίου,ΦΑΣΟΥΛΗ-ΤΣΑΜΠΑΛΑ ΚΩΝΣΤΑΝΤΙΝΑ του Χαραλάμπους,κοινωνία αξιών,ΠΑΠΑΛΕΚΑΚΟΣ ΠΑΥΛΟΣ του Κωνσταντίνου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΚΥΡΙΑΚΟΥ ΝΙΚΟΛΑΟΣ του Βασιλείου,Ο.Α.Κ.Κ.Ε.,ΠΑΓΩΜΕΝΟΣ ΜΙΧΑΗΛ του Θεοδώρου,Μ-Λ Κ.Κ.Ε.,ΓΡΑΒΟΣ ΕΥΑΓΓΕΛΟΣ του Δημοσθένη,Ελλήνων Συνέλευσις,ΒΑΓΓΕΛΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΓΑΣΤΕΡΑΤΟΥ ΧΡΥΣΟΥΛΑ του Νικολάου,ΚΑΤΩΓΙΑΝΝΗΣ ΕΥΑΓΓΕΛΟΣ του Χρήστου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αντωνίου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΒΑΪΑ του Αθανασίου,Ένωση Κεντρώων,ΔΗΜΟΣ ΟΔΥΣΣΕΑΣ του Αντωνίου,ΔΟΣΗ ΒΑΣΙΛΙΚΗ του Μενελάου,ΜΑΛΑΜΟΥ ΡΩΞΑΝΗ του Ευαγγέλου,ΤΣΟΥΜΑΣ ΑΝΑΣΤΑΣΙΟΣ του Βασιλείου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΛΙΟΝΤΟΥ ΕΛΕΝΗ του Γεωργίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΛΕΚΚΑΣ ΓΕΩΡΓΙΟΣ του Θεόφιλου,ΝΙΚΑ ΦΩΤΕΙΝΗ του Ιωάννη,ΠΑΠΑΜΙΧΑΗΛ ΑΡΙΣΤΕΙΔΗΣ (ΑΡΗΣ) του Μιχαήλ,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΘΩΜΑΣ ΙΩΑΝΝΗΣ (ΓΙΓΑΣ) του Χρήστου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΒΟΒΟΛΗΣ ΦΑΙΔΩΝ του Ηλία,Κ.Ο.Τ.Ε.Σ.,ΝΤΟΥΤΣΟΥΛΗΣ ΠΑΝΑΓΙΩΤΗΣ του Δημητρίου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΝΙΚΑΡΗ ΚΑΛΛΙΟΠΗ του Κωνσταντίνου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΑΝΔΡΕΟΠΟΥΛΟΣ ΑΝΔΡΕΑΣ του Σπυρίδωνα,ΖΗΝΑΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΧΑΤΖΗΚΥΡΙΑΚΟΥ ΣΤΑΥΡΟΥΛΑ του Ηλία,Οικολόγοι Πράσινοι,ΜΟΡΕΛΛΑΣ ΣΤΕΦΑΝΟΣ ΚΥΡΙΑΚΟΣ του Βασιλείου,ΕΑΝ...,ΒΡΕΤΤΟΥ ΜΑΡΙΑ (ΜΑΝΙΑ) του Φραγκίσκου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΔΗΜΟΥ ΑΝΝΑ του Δημητρίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΛΑΜΠΡΟΣ ΧΡΗΣΤΟΣ του Νικολάου
18 - Ιωαννίνων,1 E.T. Δήμου Βορείων Τζουμέρκων,193,99,4,0,4,95,36,4,1,21,2,4,4,18,17,3,8,8,4,1,0,6,20,11,2,1,10,2,2,3,13,10,0,8,3,0,0,2,2,2,0,0,2,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18 - Ιωαννίνων,2 E.T. Δήμου Βορείων Τζουμέρκων,613,109,2,0,2,107,20,1,0,7,0,3,1,17,39,10,4,7,3,3,10,23,12,3,2,1,8,0,5,5,20,14,1,6,8,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1
18 - Ιωαννίνων,3 E.T. Δήμου Βορείων Τζουμέρκων,95,69,0,0,0,69,21,7,0,9,0,4,1,12,14,1,2,1,0,4,10,3,29,5,8,0,18,2,5,15,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18 - Ιωαννίνων,4 E.T. Δήμου Βορείων Τζουμέρκων,303,199,2,4,6,193,64,11,1,23,9,10,3,36,44,10,1,1,5,10,15,14,48,19,8,0,13,7,4,32,6,1,0,0,0,0,0,2,8,0,0,1,1,1,0,0,3,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,2,5,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
18 - Ιωαννίνων,5 E.T. Δήμου Βορείων Τζουμέρκων,167,116,2,2,4,112,27,3,3,15,5,10,0,13,23,4,8,2,5,6,9,9,46,14,17,2,15,8,2,16,3,3,0,0,1,0,0,1,3,0,2,0,0,1,1,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,1
18 - Ιωαννίνων,6 E.T. Δήμου Βορείων Τζουμέρκων,357,253,2,3,5,248,78,10,7,36,6,14,3,33,77,18,12,1,5,25,47,25,55,17,10,0,32,12,10,12,12,6,1,2,0,0,2,2,4,1,0,0,0,2,0,0,3,0,0,0,1,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,9,3
18 - Ιωαννίνων,7 E.T. Δήμου Βορείων Τζουμέρκων,328,201,4,0,4,197,52,7,4,32,4,10,2,21,51,13,10,2,6,5,18,20,53,26,12,4,25,14,5,8,7,1,0,0,3,1,0,1,7,1,4,0,3,1,1,0,1,0,0,0,0,0,0,9,0,7,9,1,0,0,0,0,0,0,0,0,0,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
18 - Ιωαννίνων,8 E.T. Δήμου Βορείων Τζουμέρκων,102,57,1,0,1,56,11,6,2,0,1,0,2,9,8,2,1,1,0,0,5,6,28,4,19,0,6,6,0,10,2,1,0,0,1,1,1,0,2,0,2,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18 - Ιωαννίνων,9 E.T. Δήμου Βορείων Τζουμέρκων,251,150,1,2,3,147,46,10,5,22,1,2,1,19,45,4,4,1,7,2,24,25,37,2,1,0,3,19,1,27,1,0,0,0,0,1,0,0,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,3,0,1,0,0,1,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0
18 - Ιωαννίνων,10 E.T. Δήμου Βορείων Τζουμέρκων,165,104,0,1,1,103,25,9,0,8,0,10,1,7,35,5,3,1,1,2,22,12,27,14,6,1,9,6,3,8,7,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18 - Ιωαννίνων,11 E.T. Δήμου Βορείων Τζουμέρκων,242,141,4,1,5,136,60,27,0,14,4,13,2,38,30,15,4,3,1,2,11,13,27,6,0,1,10,5,2,14,7,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
18 - Ιωαννίνων,12 E.T. Δήμου Βορείων Τζουμέρκων,498,290,2,1,3,287,46,7,0,17,1,19,1,27,121,34,14,5,10,14,86,48,51,4,3,1,15,5,0,49,37,16,1,3,7,6,6,2,10,1,0,1,0,2,1,1,3,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,1,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
18 - Ιωαννίνων,13 E.T. Δήμου Βορείων Τζουμέρκων,185,121,0,3,3,118,40,10,4,20,7,2,1,22,34,18,1,2,2,4,8,17,23,12,4,0,5,6,3,5,11,2,3,1,5,0,2,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,1,1,1,1,0,0,1,1
18 - Ιωαννίνων,14 E.T. Δήμου Βορείων Τζουμέρκων,457,206,2,2,4,202,53,13,3,17,2,4,3,30,60,16,12,3,12,10,19,11,35,7,1,2,12,4,0,18,21,6,1,1,5,1,0,4,6,1,0,1,0,1,0,0,3,1,1,0,1,1,0,7,0,1,6,4,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,2,2,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1
18 - Ιωαννίνων,15 E.T. Δήμου Βορείων Τζουμέρκων,170,77,0,0,0,77,14,1,3,3,0,2,3,6,21,4,7,2,2,0,4,10,6,2,2,0,4,0,2,0,32,19,3,16,6,2,2,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18 - Ιωαννίνων,16 E.T. Δήμου Βορείων Τζουμέρκων,407,219,2,0,2,217,84,43,3,31,3,14,3,50,61,16,12,5,6,8,27,27,32,6,2,1,18,2,2,11,17,13,2,2,4,3,4,2,3,0,3,0,0,0,0,0,7,2,3,1,2,1,2,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,2,2,0,0,0,0,1,1
18 - Ιωαννίνων,17 E.T. Δήμου Βορείων Τζουμέρκων,434,217,0,0,0,217,64,28,26,11,5,9,9,31,79,39,7,5,10,12,38,16,21,13,6,1,9,3,0,5,27,14,0,8,1,1,0,2,2,0,0,0,0,2,0,0,11,0,0,4,10,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
18 - Ιωαννίνων,18 E.T. Δήμου Βορείων Τζουμέρκων,389,201,3,1,4,197,75,30,6,24,4,12,6,45,66,13,11,1,11,5,36,23,27,11,4,0,21,4,3,5,14,6,0,5,0,1,2,3,0,0,0,0,0,0,0,0,3,1,0,0,1,0,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,5,4
