ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΒΡΑΝΑ ΕΙΡΗΝΗ του Βρανά,ΔΕΛΗΚΑΡΗ ΑΓΓΕΛΙΚΗ του Γεωργίου,ΛΑΖΑΡΙΔΗΣ ΜΑΚΑΡΙΟΣ του Βασιλείου,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΠΑΣΧΑΛΙΔΗΣ ΙΩΑΝΝΗΣ του Αδάμ,ΧΑΤΖΗΚΩΝΣΤΑΝΤΙΝΟΥ ΜΑΡΙΑ (ΜΑΙΡΗ) του Γεωργίου,ΣΥΡΙΖΑ,ΕΛΕΥΘΕΡΙΑΔΟΥ ΣΟΥΛΤΑΝΑ (ΤΑΝΙΑ) του Παύλου,ΕΜΜΑΝΟΥΗΛΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΚΑΡΑΣΑΒΒΟΓΛΟΥ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,ΜΙΡΛΗ ΑΝΑΣΤΑΣΙΑ του Δημητρίου,ΞΟΥΛΟΓΗΣ ΦΙΛΗΜΩΝ του Χρήστου,ΠΑΝΑΓΙΩΤΙΔΟΥ ΑΘΗΝΑ του Ιωάννη,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΚΑΪΝΤΑΤΖΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Χαράλαμπου,ΜΑΡΤΙΔΟΥ ΣΟΦΙΑ του Νικολάου,ΠΑΠΟΥΤΣΗΣ ΔΗΜΗΤΡΙΟΣ του Πασχάλη,ΠΑΠΠΑΣ ΛΕΩΝΙΔΑΣ του Γεωργίου,ΠΛΑΦΑΔΕΛΗΣ ΙΩΑΝΝΗΣ του Αγγέλου,ΧΡΙΣΤΟΔΟΥΛΟΥ ΕΥΣΤΡΑΤΙΑ συζ. Κρεμύδα Σμάραγδου,Κ.Κ.Ε.,ΓΙΑΓΚΙΔΗΣ ΙΩΑΝΝΗΣ του Μιχαήλ,ΔΙΑΜΑΝΤΟΠΟΥΛΟΣ ΜΙΧΑΗΛ του Βασιλείου,ΚΟΝΤΟΓΕΩΡΓΙΟΥ ΘΕΟΔΩΡΟΣ του Γεωργίου,ΜΠΡΑΤΣΟΥ ΒΑΣΙΛΙΚΗ του Στυλιανού,ΠΗΛΙΤΣΗ ΧΑΪΔΟΥΛΑ (ΧΑΡΙΣ) του Δημητρίου,ΤΣΩΜΟΥ - ΧΡΥΣΑΦΗ ΑΝΑΣΤΑΣΙΑ (ΤΑΣΙΑ) συζ. Νικολάου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΟΥΤΣΑΔΑΚΗΣ ΝΙΚΟΛΑΟΣ του Εμμανουήλ,ΚΑΪΚΟΥΝΙΔΗΣ ΜΙΧΑΗΛ του Χαράλαμπου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΣΩΤΗΡΙΑ του Αλεξίου,ΠΙΠΕΡΓΙΑΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΣΥΜΕΩΝΙΔΗΣ ΑΛΕΞΑΝΔΡΟΣ του Παύλου,ΤΣΑΧΑΛΙΔΟΥ ΟΛΓΑ του Κωνσταντίνου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΠΟΣΤΟΛΑΚΑΚΗ ΦΩΤΕΙΝΗ του Αποστόλου,ΔΑΜΙΑΝΙΔΟΥ ΔΕΣΠΟΙΝΑ του Ομήρου,ΙΩΑΝΝΙΔΗΣ ΓΕΩΡΓΙΟΣ του Λαζάρου,ΜΑΚΑΡΙΟΣ (ΜΑΚΑΡΙΟΥ) ΜΙΧΑΗΛ (ΜΙΧΑΛΗΣ) του Εμμανουήλ,ΝΑΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Στυλιανού,ΠΑΣΣΑΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΤΑΧΤΣΙΔΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΤΡΙΑΝΤΑΦΥΛΛΙΔΟΥ ΙΟΥΛΙΑ του Αντωνίου,ΧΟΡΟΖΙΔΗΣ ΣΩΤΗΡΙΟΣ του Ηρακλή,Κ.Κ.Ε. (μ-λ),ΒΡΑΧΝΑΚΗ ΑΝΤΙΓΟΝΗ του Μιχαήλ,ΜΑΤΣΟΥΚΑΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,Ο.Κ.Δ.Ε.,ΖΙΓΝΕΛΗΣ ΧΡΙΣΤΟΔΟΥΛΟΣ του Θεοδώρου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΠΙΤΤΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Μαξίμου,ΨΩΜΙΑΔΗ ΜΑΡΙΑ του Νικολάου,Κίνημα 21,ΚΑΡΥΠΙΔΟΥ ΣΥΜΕΛΑ του Θεοδώρου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΑΣΑΡΙΔΟΥ ΣΟΦΙΑ του Δημητρίου,ΚΑΡΑΛΑΖΟΣ ΑΝΑΣΤΑΣΙΟΣ του Ευθυμίου,ΜΥΛΩΝΑΣ ΧΡΗΣΤΟΣ του Δημητρίου,ΤΖΙΑΚΑ ΕΥΑΓΓΕΛΙΑ του Ευαγγέλου,ΝΙΚΗ,ΚΟΤΣΑΝΟΥ ΑΝΑΤΟΛΗ του Ευάγγελου,ΜΠΟΥΓΑΤΣΑ ΑΡΓΥΡΗ του Ιωάννη,ΤΑΚΗΣ ΑΝΤΩΝΙΟΣ του Ευσταθίου,ΤΣΕΛΕΠΟΝΗΣ ΔΗΜΗΤΡΙΟΣ του Αλεξάνδρου,κοινωνία αξιών,ΣΠΑΡΙΔΗΣ ΘΕΟΔΩΡΟΣ του Ευαγγέλου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΔΗΜΗΤΡΙΑΔΗΣ ΚΥΡΙΑΚΟΣ του Ευθυμίου,ΖΙΑΡΟΥ ΒΑΣΙΛΙΚΗ του Δημητρίου,Ο.Α.Κ.Κ.Ε.,ΜΑΝΙΑΔΗ ΜΑΡΙΑ του Μενελάου,Μ-Λ Κ.Κ.Ε.,ΠΑΣΑΧΙΔΗΣ ΧΡΗΣΤΟΣ του Ιωάννη,Ελλήνων Συνέλευσις,ΘΑΛΑΣΣΟΥΔΗ ΟΛΓΑ του Γεωργίου,ΚΑΡΑΚΟΖΙΔΗΣ ΗΛΙΑΣ του Χαράλαμπου,ΜΟΜΤΣΟΥ ΦΩΤΕΙΝΗ του Ιωάννη,ΜΠΕΝΗΣ ΓΕΩΡΓΙΟΣ του Πέτρου,ΤΣΑΓΚΑΡΑΤΟΣ ΧΡΙΣΤΟΦΟΡΟΣ του Θρασύβουλου,ΧΩΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χαράλαμπου,Ένωση Κεντρώων,ΒΑΣΙΛΟΠΟΥΛΟΥ ΙΩΑΝΝΑ του Κωνσταντίνου,ΠΑΛΑΝΤΖΙΔΟΥ ΜΑΡΓΑΡΙΤΑ του Μιχαήλ,ΣΑΛΜΑΝ ΧΡΗΣΤΟΣ - ΤΖΑΜΑΛ του Χουσσεΐν,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΚΟΛΥΒΑΣ ΑΘΑΝΑΣΙΟΣ του Γερασίμου,ΡΑΜΠΟΤΑ ΑΡΕΤΗ του Γεωργίου,ΣΟΦΙΑΝΟΠΟΥΛΟΥ ΜΑΡΙΛΕΝΑ του Γεωργίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΓΟΥΔΕΒΕΝΟΥ ΚΑΛΛΙΟΠΗ του Σπυρίδωνος,ΚΛΕΤΣΑ ΠΑΤΡΑ του Αχιλλέως,ΠΑΚΑΤΑΡΙΔΗΣ ΣΑΒΒΑΣ του Ευσταθίου,ΣΑΡΜΠΕΖΟΥΔΗΣ ΔΗΜΗΤΡΙΟΣ του Αλεξάνδρου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΚΡΟΤΟΠΟΥΛΟΥ-ΚΑΛΦΟΠΟΥΛΟΥ ΜΑΡΙΑ (ΜΑΡΙΝΑ) του Ιωσήφ,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΜΙΧΑΗΛΙΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Μιχαήλ,ΜΟΛΙΩΤΗ ΑΝΔΡΙΑΝΑ του Αλεξάνδρου,ΠΕΧΛΙΒΑΝΙΔΗΣ ΓΕΩΡΓΙΟΣ του Αναστασίου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΠΑΠΑΔΟΠΟΥΛΟΣ ΘΕΟΦΑΝΗΣ του Χρήστου,ΕΑΝ...,ΘΕΟΔΟΣΙΟΥ ΠΕΛΑΓΙΑ του Αθανασίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΚΑΡΥΩΤΗΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΤΣΟΠΑΝΟΓΛΟΥ ΠΟΛΥΞΕΝΗ του Ευθυμίου
5 - Καβάλας,1 E.T. Δήμου Θάσου,545,318,6,1,7,311,164,18,5,29,144,32,28,43,21,12,4,12,4,5,21,2,5,7,6,10,3,18,10,1,1,4,2,10,13,5,1,3,0,3,2,13,6,7,1,2,2,0,6,4,3,3,1,0,0,1,0,2,1,0,3,2,3,1,1,2,1,14,5,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,0,1,0,2,1,0,1,0,0,0,0,0,0,3,3
5 - Καβάλας,2 E.T. Δήμου Θάσου,542,338,4,1,5,333,189,19,4,31,159,29,20,28,13,5,1,2,3,5,27,1,5,8,7,11,2,24,10,1,7,0,1,13,10,2,2,1,1,1,2,5,1,1,0,0,0,0,6,4,1,3,0,0,0,0,0,1,0,0,1,0,6,2,2,2,1,14,2,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,1,4,1,2,1,1,1,0,3,2,0,0,4,3,1,1,1,0,5,3
5 - Καβάλας,3 E.T. Δήμου Θάσου,561,343,13,3,16,327,192,18,5,23,169,36,31,32,18,12,6,2,1,3,25,2,3,4,15,11,1,21,6,1,2,3,2,9,12,0,4,4,2,3,3,11,3,1,4,3,2,3,1,1,0,0,0,0,0,0,0,1,1,0,2,2,4,2,1,2,0,10,2,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,1,2,1,0,0,2,1,0,0,1,1,7,3
5 - Καβάλας,4 E.T. Δήμου Θάσου,560,336,1,0,1,335,162,27,5,17,139,38,23,43,21,23,6,10,3,4,36,1,6,7,19,19,1,25,7,5,3,2,5,12,12,6,0,2,3,1,5,12,3,7,0,0,1,2,2,0,1,1,1,0,0,0,0,3,2,1,0,0,1,1,1,0,0,20,3,2,14,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,1,0,3,3,1,0,1,1,1,0,0,0,0,1,0,0,0,3,3,0,0,0,0,4,3
5 - Καβάλας,5 E.T. Δήμου Θάσου,582,332,3,2,5,327,167,14,9,34,130,39,25,31,12,13,5,5,6,1,26,3,4,2,6,11,1,11,7,1,0,1,1,7,18,5,2,2,5,2,5,8,2,1,1,1,0,0,5,0,1,0,0,0,0,0,0,1,0,1,0,0,3,0,1,0,2,22,4,2,14,2,1,0,0,0,0,0,0,0,0,6,0,0,1,1,4,5,0,0,0,0,2,2,0,1,9,4,4,6,0,0,0,4,2,2,2,1,1,1,0,2,1,9,6
5 - Καβάλας,6 E.T. Δήμου Θάσου,491,223,4,0,4,219,92,16,2,11,77,31,18,48,27,12,13,9,2,6,21,1,1,8,8,6,5,17,2,1,0,2,0,12,7,1,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,18,1,1,18,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,0,0,2,0,0,1,0,0,0,2,1,1,1,0,0,6,3
5 - Καβάλας,7 E.T. Δήμου Θάσου,485,201,2,0,2,199,86,8,3,13,67,27,14,32,14,8,12,5,1,2,14,1,1,6,7,7,0,23,10,0,2,2,0,16,4,0,2,0,1,2,0,2,1,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,15,2,0,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,1,1,1,1,1,1,0,0,0,0,2,0,0,0,1,1,1,1,1,0,3,2
5 - Καβάλας,8 E.T. Δήμου Θάσου,502,220,4,1,5,215,88,6,6,12,65,29,16,40,17,7,20,8,3,4,21,2,0,11,11,5,2,25,14,1,1,2,1,25,9,2,1,3,2,1,4,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,15,1,1,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
5 - Καβάλας,9 E.T. Δήμου Θάσου,651,406,11,2,13,393,183,18,6,38,141,53,36,53,28,18,10,10,4,10,50,1,2,9,26,24,1,31,20,0,4,3,0,26,15,7,1,1,0,3,3,10,1,3,1,1,0,0,4,1,1,1,0,0,0,0,0,1,0,0,3,2,1,0,0,0,0,17,2,1,17,1,0,0,1,0,0,0,0,1,1,3,0,1,0,1,0,3,3,2,2,0,4,3,1,0,6,0,0,2,3,0,0,0,0,0,0,1,0,3,2,1,0,2,1
5 - Καβάλας,10 E.T. Δήμου Θάσου,376,220,8,0,8,212,97,32,2,27,62,18,5,26,12,7,5,12,3,2,11,1,0,5,3,4,2,45,24,3,5,2,3,37,9,3,3,0,2,0,2,3,2,0,1,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,5
5 - Καβάλας,11 E.T. Δήμου Θάσου,384,215,1,0,1,214,54,15,0,25,25,8,14,36,23,8,7,19,0,3,25,4,1,11,6,17,3,71,44,2,4,4,2,49,10,2,0,4,1,1,2,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,2,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
5 - Καβάλας,12 E.T. Δήμου Θάσου,385,226,7,0,7,219,60,11,2,25,37,15,18,33,10,14,5,17,0,9,12,2,0,6,3,4,0,62,34,4,1,2,0,45,9,1,1,2,1,3,0,10,3,3,3,5,1,3,0,0,0,0,3,1,1,1,0,0,0,0,3,3,3,0,0,0,0,8,0,3,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,2,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,2,2,0,0,1,1,7,5
5 - Καβάλας,13 E.T. Δήμου Θάσου,523,348,2,3,5,343,152,25,5,28,126,47,15,43,23,10,10,7,7,11,34,2,2,12,13,21,4,69,48,2,6,3,0,62,4,1,1,2,0,1,1,8,1,1,4,1,3,2,4,2,2,0,0,0,0,1,0,3,0,0,0,0,4,0,3,0,1,10,0,0,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,2,2,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,2,2,0,0,0,0,3,3
5 - Καβάλας,14 E.T. Δήμου Θάσου,550,334,5,1,6,328,152,12,5,50,132,32,32,39,21,10,6,6,2,12,20,2,1,7,5,7,3,80,46,1,8,2,3,71,8,1,2,1,1,6,0,5,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,2,0,2,2,8,5,1,4,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,3
5 - Καβάλας,15 E.T. Δήμου Θάσου,534,325,4,5,9,316,129,13,6,26,109,31,23,42,22,7,8,5,1,9,37,1,3,17,15,18,1,66,45,0,0,4,1,60,7,3,1,2,1,1,2,6,1,0,0,0,0,1,2,1,1,0,1,1,0,0,0,2,1,1,0,0,2,0,0,0,1,7,2,1,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,5,3
5 - Καβάλας,16 E.T. Δήμου Θάσου,513,307,2,1,3,304,136,13,4,31,109,33,36,38,26,13,5,7,5,17,17,1,1,5,5,8,2,76,60,1,5,2,1,65,7,3,2,1,1,2,1,6,3,1,3,0,0,1,3,2,0,1,0,0,0,0,0,2,0,2,2,0,1,0,0,0,0,3,0,2,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,3,2,1,1,2,0,1,1,1,0,0,0,0,0,0,2,2,0,0,1,1,2,1
5 - Καβάλας,17 E.T. Δήμου Θάσου,282,122,2,2,4,118,38,4,15,6,32,6,3,15,9,4,2,2,1,6,19,0,3,5,14,10,3,24,10,0,4,0,0,19,2,0,0,1,1,1,1,5,3,2,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,3
5 - Καβάλας,18 E.T. Δήμου Θάσου,433,283,6,0,6,277,119,11,28,25,102,16,18,37,27,15,5,8,0,11,27,2,2,18,11,11,3,58,32,0,5,2,5,47,7,2,0,3,1,2,2,6,3,1,2,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,2,0,1,0,1,1,2,1,2,0,0,0,0,0,0,0,5,4
5 - Καβάλας,19 E.T. Δήμου Θάσου,444,263,2,0,2,261,113,3,3,29,100,35,8,27,12,1,3,3,2,6,17,2,3,2,9,10,2,50,38,1,0,0,2,40,10,1,1,4,1,1,2,5,3,2,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,1,7,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,7,2,0,4,4,1,0,3,2,0,0,2,2,1,1,0,0,6,5
