ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΑΝΤΩΝΙΟΥ ΜΑΡΙΑ του Βασιλείου,ΚΑΝΔΥΛΗ-ΜΥΚΩΝΙΑΤΗ ΑΓΝΗ του Ανδρέα,ΤΖΗΚΑΛΑΓΙΑΣ ΖΗΣΗΣ του Γεωργίου,ΣΥΡΙΖΑ,ΓΙΑΓΚΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αθανασίου,ΣΙΣΙΟΥ ΙΩΑΝΝΗΣ του Δημητρίου,ΤΕΛΙΓΙΟΡΙΔΟΥ ΟΛΥΜΠΙΑ του Ιωάννη,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΒΑΡΣΑΜΗΣ ΚΟΣΜΑΣ του Μιχαήλ,ΝΤΙΝΑΣ ΑΝΑΣΤΑΣΙΟΣ του Ευάγγελου,ΤΣΑΛΟΥΚΙΔΟΥ ΑΘΗΝΑ του Αχιλλέα,Κ.Κ.Ε.,ΓΡΑΜΜΕΝΟΥ ΓΙΑΝΝΟΥΛΑ (ΑΝΝΕΤΑ) του Γεωργίου,ΣΑΛΒΑΡΙΝΑ ΑΝΤΩΝΙΑ (ΤΟΝΙΑ) του Δημητρίου,ΤΙΓΚΑΣ ΓΕΩΡΓΙΟΣ του Αλέξανδρου,Ελληνική Λύση - Κ. Βελόπουλος,ΠΑΥΛΟΥ ΧΡΗΣΤΟΣ του Παύλου,ΣΑΛΤΖΙΔΟΥ ΜΑΡΙΑ του Ελλάδιου,ΣΙΔΗΡΟΠΟΥΛΟΣ ΑΝΕΣΤΗΣ του Ιωάννη,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΚΑΡΟΥΛΗ ΦΙΛΙΑ του Δημητρίου,ΛΙΟΥΖΑΣ ΣΤΕΦΑΝΟΣ του Γεωργίου,ΜΟΣΧΟΣ ΧΡΙΣΤΟΣ του Δημητρίου,Κ.Κ.Ε. (μ-λ),ΜΙΧΑΗΛ ΧΡΗΣΤΟΣ του Κωνσταντίνου,Ο.Κ.Δ.Ε.,ΓΚΟΣΔΑ ΑΓΝΗ του Μιχαήλ,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΜΑΝΟΥΣΑΡΙΔΗΣ ΕΜΜΑΝΟΥΗΛ του Λαζάρου,Κίνημα 21,ΚΑΖΑΝΑ ΑΓΓΕΛΙΚΗ του Ιωάννη,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΓΟΥΔΗΣ ΝΑΟΥΜ του Βασιλείου,ΝΙΚΗ,ΖΗΣΗΣ ΣΤΕΛΙΟΣ του Βασιλείου,ΚΟΥΣΟΥΝΗΣ ΓΕΡΑΣΙΜΟΣ του Αλεξίου,ΣΑΡΗΓΙΑΝΝΙΔΟΥ ΣΟΦΙΑ του Κυριάκου,κοινωνία αξιών,ΚΥΡΙΑΚΟΣ ΕΥΑΓΓΕΛΟΣ του Χρήστου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΤΣΙΧΛΗΣ ΑΝΤΩΝΙΟΣ του Ευάγγελου,Μ-Λ Κ.Κ.Ε.,ΚΑΡΕΛΑ ΓΕΩΡΓΙΑ του Νικολάου,Ελλήνων Συνέλευσις,ΚΑΤΣΙΜΑΝΤΟΥ ΕΛΕΝΗ του Δημητρίου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΘΕΟΔΩΡΟΣ του Γεωργίου,ΣΤΟΥΜΠΟΣ ΔΗΜΗΤΡΙΟΣ του Αποστόλου,Ένωση Κεντρώων,ΜΑΝΟΥ ΕΜΜΑΝΟΥΗΛ του Δημητρίου,ΜΑΡΑΤΣΟΥ ΜΑΡΙΑ του Δημητρίου,ΠΡΟΚΟΠΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θεοδώρου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΑΠΟΣΤΟΛΟΥ ΜΑΡΙΑ του Ευριπίδη,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΠΑΠΑΣΤΕΡΓΙΟΥ ΑΛΚΙΒΙΑΔΗΣ του Γεωργίου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΖΑΦΕΙΡΙΑΔΟΥ ΜΑΡΙΑ του Ηλία,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΤΟΥΛΙΑΣ ΗΛΙΑΣ του Θωμά,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΑΣΛΑΝΙΔΗΣ ΙΠΠΟΚΡΑΤΗΣ του Αναστασίου,ΕΑΝ...,ΣΟΥΝΤΑΣ ΜΑΡΙΟΣ του Δημητρίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΟΥΣΤΑΜΠΑΣΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ του Μιλτιάδη
16 - Καστοριάς,1 E.T. Δήμου Άργους Ορεστικού,45,30,0,0,0,30,10,3,0,6,5,4,0,1,6,5,0,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
16 - Καστοριάς,2 E.T. Δήμου Άργους Ορεστικού,480,298,2,1,3,295,127,57,17,43,60,27,0,30,36,18,4,2,11,4,2,1,18,5,3,3,10,0,6,2,0,0,0,0,1,0,1,0,4,3,6,1,0,4,0,0,0,0,0,0,1,0,0,0,2,0,1,0,3,1,6,2,0,0,1,1,0,0,2,1,6,6
16 - Καστοριάς,3 E.T. Δήμου Άργους Ορεστικού,538,320,10,4,14,306,129,66,22,28,87,37,4,42,18,4,2,4,14,4,2,4,14,6,3,1,6,0,3,0,0,0,1,0,0,0,1,1,1,0,11,4,1,1,2,1,0,0,0,0,3,3,0,0,0,0,0,0,1,1,1,1,1,1,5,4,0,0,0,0,11,6
16 - Καστοριάς,4 E.T. Δήμου Άργους Ορεστικού,558,353,9,3,12,341,156,77,18,47,89,35,2,48,23,11,1,4,14,4,1,3,17,4,4,2,3,0,0,2,0,0,0,0,1,1,1,1,1,1,8,4,3,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,2,1,0,10,8,0,0,0,0,12,6
16 - Καστοριάς,5 E.T. Δήμου Άργους Ορεστικού,542,296,3,6,9,287,113,58,14,33,65,26,0,35,25,9,3,7,19,3,1,10,18,3,5,3,8,0,1,5,0,0,0,0,0,0,0,0,4,0,12,3,1,4,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,8,3,0,0,2,1,0,0,1,0,8,5
16 - Καστοριάς,6 E.T. Δήμου Άργους Ορεστικού,550,307,7,0,7,300,120,63,23,24,65,22,7,28,26,8,4,10,20,9,1,5,15,7,1,2,3,0,0,2,0,0,0,0,2,2,0,0,2,1,25,13,4,4,0,0,0,0,0,0,2,1,0,1,3,0,2,0,0,0,3,1,0,0,7,5,1,0,1,0,5,2
16 - Καστοριάς,7 E.T. Δήμου Άργους Ορεστικού,547,292,1,3,4,288,105,43,16,37,68,28,4,30,31,14,3,3,7,3,0,3,17,8,2,0,10,0,4,6,1,0,0,0,1,1,3,0,2,1,17,2,6,5,3,1,0,0,0,0,3,1,2,0,0,0,0,0,1,0,2,1,1,0,8,7,1,0,1,1,6,5
16 - Καστοριάς,8 E.T. Δήμου Άργους Ορεστικού,549,305,1,1,2,303,107,53,20,28,79,37,3,37,32,4,9,9,15,6,1,4,30,15,6,0,7,2,2,2,2,1,0,0,2,1,1,0,1,1,9,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,1,1,0,3,1,0,0,0,0,8,2
16 - Καστοριάς,9 E.T. Δήμου Άργους Ορεστικού,554,332,7,2,9,323,135,60,28,29,68,23,1,40,19,7,2,6,15,4,1,6,20,7,2,0,13,2,4,2,0,0,0,0,2,1,4,2,2,0,17,6,2,5,1,0,0,0,0,0,3,0,2,0,1,1,0,0,0,0,4,4,0,0,7,5,2,2,0,0,10,7
16 - Καστοριάς,10 E.T. Δήμου Άργους Ορεστικού,551,323,3,4,7,316,110,56,20,30,69,29,1,38,45,21,5,8,14,6,0,3,16,6,3,3,14,0,2,9,0,0,0,0,0,0,2,1,2,2,23,9,2,7,0,0,2,1,0,0,2,0,2,0,2,0,2,0,2,2,0,0,1,0,3,2,0,0,0,0,9,7
16 - Καστοριάς,11 E.T. Δήμου Άργους Ορεστικού,578,370,13,3,16,354,156,89,31,26,75,29,3,39,27,14,2,8,15,2,2,4,20,6,4,1,12,1,1,9,1,0,0,0,1,0,2,0,7,2,8,3,1,3,0,0,3,3,0,0,1,1,0,0,5,0,2,2,0,0,5,5,0,0,6,3,1,1,1,0,8,4
16 - Καστοριάς,12 E.T. Δήμου Άργους Ορεστικού,563,342,18,3,21,321,132,57,25,41,64,26,1,30,19,8,0,7,12,2,2,6,23,12,4,3,14,3,2,7,0,0,0,0,2,0,5,3,7,5,15,12,2,0,1,1,0,0,0,0,3,2,0,1,1,0,0,1,1,1,4,3,0,0,10,10,0,0,2,0,6,3
16 - Καστοριάς,13 E.T. Δήμου Άργους Ορεστικού,552,339,6,4,10,329,123,64,24,18,84,30,4,44,28,12,4,2,19,6,1,5,12,8,2,1,9,0,2,3,0,0,0,0,3,2,6,3,8,3,14,6,2,2,0,0,0,0,0,0,6,1,4,0,1,0,0,0,2,2,2,0,0,0,3,2,0,0,1,0,8,4
16 - Καστοριάς,14 E.T. Δήμου Άργους Ορεστικού,574,340,3,3,6,334,144,61,19,50,44,11,4,25,69,41,2,15,33,9,1,2,12,6,1,2,2,0,1,0,1,0,0,0,2,1,2,2,1,1,7,3,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,2,0,0,0,0,0,3,3,0,0,9,3
16 - Καστοριάς,15 E.T. Δήμου Άργους Ορεστικού,219,102,0,0,0,102,54,36,6,12,20,3,0,17,7,2,0,5,9,5,1,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
