ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΑΥΛΩΝΙΤΗ ΑΓΓΕΛΙΚΗ του Γεωργίου,ΓΚΙΚΑΣ ΣΤΕΦΑΝΟΣ του Σωτηρίου,ΚΑΡΥΔΗ ΕΥΑΓΓΕΛΙΑ (ΕΥΑ) του Σπυρίδωνος,ΚΡΟΚΙΔΗΣ ΣΠΥΡΙΔΩΝ του Αλεξάνδρου,ΣΠΥΡΟΥ ΑΓΓΕΛΟΣ του Σπυρίδωνος,ΣΥΡΙΖΑ,ΑΥΛΩΝΙΤΗΣ ΑΛΕΞΑΝΔΡΟΣ - ΧΡΗΣΤΟΣ του Νικολάου,ΓΟΝΙΔΗ-ΔΡΑΖΙΝΟΥ ΜΑΡΙΑ του Φραγκίσκου,ΚΑΛΟΥΔΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΠΑΓΚΡΑΤΗ ΕΛΕΝΗ - ΔΩΡΟΘΕΑ του Στεφάνου,ΠΑΝΔΗ ΝΙΚΟΛΕΤΤΑ του Κωνσταντίνου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΔΡΥ ΜΑΡΙΑ του Γεωργίου,ΚΛΗΜΗΣ ΝΙΚΗΦΟΡΟΣ του Κωνσταντίνου,ΚΟΥΛΟΥΡΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΜΠΙΑΓΚΗΣ ΔΗΜΗΤΡΙΟΣ του Σπυρίδωνος,ΠΕΤΣΙΟΥ ΒΑΣΙΛΙΚΗ (ΛΙΛΑ) του Ιωάννη,Κ.Κ.Ε.,ΚΕΛΑΝΔΡΙΑΣ ΠΑΝΑΓΙΩΤΗΣ του Ιωάννη,ΚΟΥΛΟΥΡΗΣ ΓΕΩΡΓΙΟΣ του Αλέξανδρου,ΜΠΑΛΟΥ ΑΛΕΞΑΝΔΡΑ του Αριστείδη,ΠΕΛΑΗΣ ΙΩΑΝΝΗΣ του Σπυρίδωνα,ΧΑΡΑΛΑΜΠΟΥΣ ΜΥΡΣΙΝΗ του Χαράλαμπου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΑΛΣΑΜΟΣ ΧΑΡΑΛΑΜΠΟΣ του Νικολάου,ΓΑΡΔΙΚΙΩΤΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΚΑΚΑΡΟΥΓΚΑ ΕΛΕΝΗ ΜΑΡΙΑ ΒΙΚΤΩΡΙΑ του Μεθοδίου Ιακώβου,ΜΠΑΛΩΜΕΝΟΣ ΓΑΣΠΑΡΗΣ του Γεωργίου,ΣΟΥΡΛΑ ΒΑΡΒΑΡΑ του Σταύρου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΛΕΞΑΚΗ ΕΥΑΓΓΕΛΙΑ (ΛΙΤΣΑ) του Νικολάου,ΑΡΜΕΝΙΑΚΟΣ ΣΠΥΡΙΔΩΝ (ΒΙΤΟΣ) του Γεωργίου,ΓΕΩΡΓΑΤΟΣ ΙΩΣΗΦ του Σπυρίδωνα,ΚΑΒΒΑΔΙΑΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΚΟΝΤΙΝΗ ΑΓΓΕΛΙΝΑ του Ευγένιου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΒΛΑΧΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΚΩΣΤΕΛΕΤΟΥ ΑΙΚΑΤΕΡΙΝΗ του Κωνσταντίνου,Κ.Κ.Ε. (μ-λ),ΚΟΤΡΩΝΟΥΛΑΣ ΓΡΗΓΟΡΙΟΣ του Δημητρίου,Ο.Κ.Δ.Ε.,ΓΚΟΥΡΔΟΥΚΗ ΜΑΡΙΑ του Σπυρίδωνος,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΡΑΣΑΚΗΣ ΝΙΚΟΛΑΟΣ του Δημητρίου,ΛΙΑΜΠΟΤΗ ΑΝΑΣΤΑΣΙΑ του Σωτηρίου,ΛΙΜΠΕΡΑΤΟΣ ΓΕΩΡΓΙΟΣ ΘΕΟΧΑΡΗΣ του Παναγή,ΝΙΚΟΛΙΤΣΑ ΒΑΣΙΛΙΚΗ του Κωνσταντίνου,ΤΣΑΜΗΣ ΧΡΗΣΤΟΣ του Σάββα,Κίνημα 21,ΛΟΥΚΑΣ ΓΕΩΡΓΙΟΣ του Σπυρίδων,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,ΘΕΟΛΟΓΗΣ ΑΘΑΝΑΣΙΟΣ του Χαράλαμπου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΚΑΡΑΟΥΖΑ ΒΑΣΙΛΙΚΗ του Σωτηρίου,ΡΩΣΣΗΣ ΣΠΥΡΟΣ ΓΕΡΑΣΙΜΟΣ του Κωνσταντίνου,ΤΖΗΜΕΡΟΥ ΕΡΜΙΟΝΗ του Ηλία,ΝΙΚΗ,ΚΑΡΑΒΙΔΑΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΡΙΚΟΥ ΕΛΕΝΗ- ΣΟΦΙΑ του Σπυρίδωνος,ΤΣΟΥΓΑΝΑΤΟΣ ΓΕΩΡΓΙΟΣ του Αθανασίου,κοινωνία αξιών,ΠΕΤΡΙΤΣΟΠΟΥΛΟΥ ΚΛΕΟΝΙΚΗ (ΝΙΚΗ) του Θεοδώρου - Κωνσταντίνου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΜΕΛΑΝΤΙΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αθανασίου,Ο.Α.Κ.Κ.Ε.,ΔΑΛΙΕΤΟΥ ΘΕΟΔΩΡΑ του Μιχαήλ,Μ-Λ Κ.Κ.Ε.,ΤΣΙΡΙΓΩΤΗΣ ΑΘΑΝΑΣΙΟΣ του Δημητρίου,Ελλήνων Συνέλευσις,ΒΑΣΙΛΑΚΗΣ ΣΤΥΛΙΑΝΟΣ του Νικολάου,ΒΕΡΓΗΣ ΑΛΕΞΑΝΔΡΟΣ του Σπυρίδων,ΔΑΣΚΑΛΙΕΡΟΣ ΕΥΓΕΝΙΟΣ του Λεωνίδα,ΛΑΔΟΒΡΕΧΗ ΑΙΚΑΤΕΡΙΝΗ του Σπυρίδων,ΠΑΛΑΙΟΧΩΡΙΤΗ ΕΥΣΤΑΘΙΑ του Δημοσθένη,Ένωση Κεντρώων,ΒΑΡΑΓΓΟΥΛΗ ΑΝΤΩΝΙΑ - ΕΛΕΝΗ του Δημητρίου,ΚΑΒΑΔΕΛΛΑΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΛΑΛΑΠΑΝΟΣ ΝΙΚΟΛΑΟΣ του Σπυρίδωνα,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΒΑΣΙΛΑΚΗΣ ΒΑΓΓΕΛΗΣ του Δημητρίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΒΛΑΧΟΣ ΕΥΑΓΓΕΛΟΣ του Νικολάου,ΚΕΦΑΛΛΩΝΙΤΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΛΙΝΑΡΔΟΥ ΚΛΕΙΩ του Κωνσταντίνου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΤΟΛΗΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου,Κ.Ο.Τ.Ε.Σ.,ΛΟΥΒΡΟΣ ΒΑΣΙΛΕΙΟΣ-ΡΩΜΑΝΟΣ του Νικολάου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΓΕΡΟΜΕΡΙΑΤΗ ΜΑΡΙΑ του Δημητρίου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΘΥΜΗΣ ΣΠΥΡΙΔΩΝ του Αλεξίου,ΠΙΚΟΥΛΑ ΧΡΙΣΤΙΝΑ του Δημητρίου,ΕΑΝ...,ΧΡΥΣΙΚΟΠΟΥΛΟΥ ΑΙΚΑΤΕΡΙΝΗ (ΧΑΪΔΩ) του Χριστοφόρου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΜΠΡΙΛΑΚΗ ΕΛΕΥΘΕΡΙΑ του Ευαγγέλου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΒΟΥΡΛΗ ΚΩΛΕΤΤΗ ΒΑΣΙΛΙΚΗ του Αναργύρου,ΓΕΩΡΓΟΠΟΥΛΟΣ ΑΝΤΩΝΙΟΣ - ΣΠΥΡΙΔΩΝ του Νικολάου,ΖΕΡΒΟΥ ΑΡΕΤΟΥΣΑ (ΑΡΕΤΗ) του Γεωργίου
26 - Κέρκυρας,1 E.T. Δήμου Βόρειας Κέρκυρας,479,273,4,3,7,266,103,10,40,0,21,25,54,34,10,3,1,1,30,6,2,3,11,4,39,1,2,20,4,7,5,2,1,0,0,1,10,1,0,1,1,5,5,2,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,10,2
26 - Κέρκυρας,2 E.T. Δήμου Βόρειας Κέρκυρας,234,148,4,1,5,143,52,3,31,0,2,9,22,12,2,5,0,2,13,0,1,1,10,0,32,1,1,24,1,2,4,2,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,2,3,2,0,0,0,0,0,0,0,0,0,3,0,0,1
26 - Κέρκυρας,3 E.T. Δήμου Βόρειας Κέρκυρας,136,91,1,1,2,89,43,3,21,0,4,11,8,7,0,1,0,0,13,5,2,0,5,0,2,1,0,0,0,1,4,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,7,1,3,1
26 - Κέρκυρας,4 E.T. Δήμου Βόρειας Κέρκυρας,224,123,2,1,3,120,61,7,16,1,15,16,19,17,1,1,0,0,11,4,0,0,6,0,5,0,0,1,1,2,4,0,0,1,0,0,5,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,3,2,0,0,0,0,0,0,4,0,4,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,0
26 - Κέρκυρας,5 E.T. Δήμου Βόρειας Κέρκυρας,284,179,5,1,6,173,93,7,41,1,20,18,22,15,1,2,0,2,15,4,4,1,4,1,5,0,0,4,0,0,5,0,0,1,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,1,10,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,10,0,6,1
26 - Κέρκυρας,6 E.T. Δήμου Βόρειας Κέρκυρας,281,171,7,0,7,164,49,3,10,1,25,9,40,34,4,0,0,0,26,6,5,1,10,2,17,1,0,7,2,4,4,0,0,2,0,0,5,1,0,1,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,3,3,1,1,0
26 - Κέρκυρας,7 E.T. Δήμου Βόρειας Κέρκυρας,234,129,5,0,5,124,28,3,13,0,2,3,31,19,3,2,1,2,20,0,2,0,15,1,13,0,1,4,0,2,4,0,0,2,0,1,2,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,15,1,11,0
26 - Κέρκυρας,8 E.T. Δήμου Βόρειας Κέρκυρας,355,199,26,3,29,170,67,4,37,1,11,12,24,6,4,8,1,3,37,4,2,2,27,0,8,0,0,2,4,1,5,1,1,0,1,1,6,2,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,1,1,2,1,0,0,1,0,0,0,0,0,0,10,1,7,1
26 - Κέρκυρας,9 E.T. Δήμου Βόρειας Κέρκυρας,426,221,4,1,5,216,92,12,47,2,11,16,30,15,5,5,2,1,31,3,2,1,19,2,15,1,0,8,1,4,7,4,1,1,0,1,7,3,0,1,0,1,11,7,4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,4,2,0,0,1,0,1,0,0,0,0,11,1,7,1
26 - Κέρκυρας,10 E.T. Δήμου Βόρειας Κέρκυρας,231,120,2,0,2,118,47,8,16,1,7,11,24,13,1,3,1,0,22,1,1,1,17,1,6,1,1,1,1,1,3,0,1,0,0,0,2,0,0,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,5,1,1,3
26 - Κέρκυρας,11 E.T. Δήμου Βόρειας Κέρκυρας,271,148,2,1,3,145,66,9,35,0,6,14,24,13,1,4,1,1,7,1,1,1,3,0,26,0,0,25,0,1,5,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,2,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,4,0,4,0
26 - Κέρκυρας,12 E.T. Δήμου Βόρειας Κέρκυρας,365,187,3,1,4,183,64,6,37,2,12,3,25,7,11,3,0,0,32,5,3,2,20,1,16,1,0,6,4,2,9,4,1,1,0,0,3,1,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,3,2,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,3,3,1,0,0,0,0,0,0,14,2,8,3
26 - Κέρκυρας,13 E.T. Δήμου Βόρειας Κέρκυρας,359,184,5,3,8,176,79,1,47,2,9,11,30,13,7,4,0,0,31,2,1,0,22,5,5,0,0,3,1,1,5,1,1,0,0,0,2,0,0,0,0,1,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,5,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,1,2,2,0,0,0,0,0,0,0,1,1,0,0,4,0,1,0
26 - Κέρκυρας,14 E.T. Δήμου Βόρειας Κέρκυρας,274,121,1,1,2,119,35,5,9,0,8,12,33,22,5,1,2,1,15,3,0,2,7,0,7,0,0,2,0,2,1,0,0,0,0,0,2,1,0,1,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,3,1,0,0,1,1,0,0,0,0,0,8,0,5,1
26 - Κέρκυρας,15 E.T. Δήμου Βόρειας Κέρκυρας,381,166,9,2,11,155,49,4,27,0,1,15,37,19,7,7,0,3,33,1,18,1,9,1,9,0,1,2,0,5,5,0,2,0,1,1,3,1,0,1,1,0,9,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
26 - Κέρκυρας,16 E.T. Δήμου Βόρειας Κέρκυρας,158,85,2,0,2,83,21,0,14,0,1,4,20,3,3,6,0,5,11,3,0,1,6,0,8,0,0,4,1,2,1,0,0,0,0,1,2,1,0,0,1,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,2,0,2,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1
26 - Κέρκυρας,17 E.T. Δήμου Βόρειας Κέρκυρας,481,226,4,0,4,222,82,5,51,2,4,14,26,4,0,6,0,10,48,3,0,0,40,0,28,1,2,19,2,3,13,3,1,2,0,1,12,1,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,5,0
26 - Κέρκυρας,18 E.T. Δήμου Βόρειας Κέρκυρας,310,180,10,0,10,170,49,4,12,3,2,23,42,19,5,6,2,1,28,4,1,0,18,2,21,0,0,7,2,5,6,0,5,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,6,0,3,0
