ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΓΕΩΡΓΑΝΤΑΣ ΓΕΩΡΓΙΟΣ του Παύλου,ΚΙΛΤΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Βασιλείου,ΠΑΚΑ-ΚΥΜΠΑΡΙΔΗ ΚΑΛΛΙΣΘΕΝΗ του Σταύρου,ΣΑΚΑΛΑΚΗ ΑΝΝΑ του Σοφοκλή,ΣΑΧΠΕΚΙΔΗΣ ΝΙΚΟΛΑΟΣ του Αναστασίου,ΣΥΡΙΖΑ,ΔΗΜΗΤΡΙΑΔΗΣ ΛΕΩΝΙΔΑΣ του Κωνσταντίνου,ΕΜΜΑΝΟΥΗΛΙΔΟΥ ΔΗΜΗΤΡΑ του Παναγιώτη,ΠΑΝΑΓΙΩΤΙΔΟΥ ΜΑΡΙΑ (ΜΑΝΙΑ) του Αντωνίου,ΠΑΠΠΑΣ ΠΕΤΡΟΣ του Μιχαήλ,ΤΟΝΙΚΙΔΗΣ ΠΑΥΛΟΣ του Σπυρίδωνα,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΠΑΡΑΣΤΑΤΙΔΗΣ ΣΤΕΦΑΝΟΣ του Θεοδώρου,ΤΟΜΠΟΥΛΙΔΟΥ ΚΥΡΙΑΚΗ του Γεωργίου,ΦΡΑΓΓΙΔΗΣ ΓΕΩΡΓΙΟΣ του Σταύρου,ΧΑΡΑΛΑΜΠΙΔΟΥ ΚΩΝΣΤΑΝΤΙΑ - ΑΥΡΑ (ΝΤΙΝΑ) του Γεωργίου,ΧΑΡΤΟΜΑΤΣΙΔΟΥ - ΝΤΑΣΗ ΑΝΑΣΤΑΣΙΑ του Σωτηρίου,Κ.Κ.Ε.,ΑΛΤΙΠΑΡΜΑΚΙΔΟΥ ΜΑΡΙΑ (ΡΙΑ) του Μιλτιάδη,ΝΙΚΟΛΑΪΔΟΥ ΣΤΑΥΡΟΥΛΑ του Κοσμά,ΣΜΥΔΑΚΗΣ ΧΑΜΟΥΡΟΥΔΗΣ ΗΛΙΑΣ του Παρασκευά,ΤΕΜΕΚΕΝΙΔΟΥ ΠΑΡΘΕΝΑ (ΜΕΜΑ) του Ιωάννη,ΤΣΑΟΥΣΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Λαζάρου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΑΓΓΕΛΑΣ ΓΕΩΡΓΙΟΣ του Μιχαήλ,ΓΕΩΡΓΙΑΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΜΠΑΣΛΗ ΜΑΡΙΑ του Αποστόλου,ΣΑΒΒΙΔΟΥ ΠΑΡΘΕΝΑ (ΝΟΥΛΑ) του Ιωάννη,ΤΣΑΝΤΗΛΟΓΙΑΝΝΗΣ ΝΙΚΟΛΑΟΣ του Αθανασίου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΚΟΥΛΙΝΑΣ ΑΝΑΣΤΑΣΙΟΣ του Δημητρίου,ΜΑΛΙΑΡΑ ΔΕΣΠΟΙΝΑ του Άγγελου,ΜΠΙΜΠΑΣΗΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΡΕΠΠΑΣ ΣΤΕΦΑΝΟΣ του Σταματίου,ΣΠΥΡΛΙΑΔΟΥ ΣΟΦΙΑ του Νικολάου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΜΑΥΡΑΓΑΝΗ ΜΑΡΙΑ ΔΗΜΗΤΡΑ του Ανδρέα,Κ.Κ.Ε. (μ-λ),ΒΑΡΝΑΒΑ ΚΩΝΣΤΑΝΤΙΝΑ του Στυλιανού,Ο.Κ.Δ.Ε.,ΚΑΖΑΝΤΖΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΝΔΡΕΑΔΟΥ ΗΛΕΚΤΡΑ του Ιωάννη,ΔΑΝΑΚΤΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Νικολάου,ΜΑΡΟΥΛΑΣΟΒ ΛΕΩΝΙΔΑΣ του Τσαμπούκα,Κίνημα 21,ΣΙΑΓΓΑΝΑΣ ΜΙΧΑΗΛ του Ιωάννη,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΚΑΠΑΜΑ ΣΠΥΡΟΥΛΑ του Ιωάννη,ΚΑΡΑΚΑΤΣΑΝΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΠΟΥΛΙΟΣ ΒΑΣΙΛΕΙΟΣ του Δημητρίου,ΡΑΓΤΖΗ ΝΙΚΗ του Ιωάννη,ΤΡΙΑΝΤΑΦΥΛΛΙΔΗΣ ΔΗΜΟΣΘΕΝΗΣ του Μιχαήλ,ΝΙΚΗ,ΘΕΟΧΑΡΑΚΗΣ ΗΛΙΑΣ του Αθανασίου,ΚΑΜΠΑΤΑΓΗ ΑΝΑΣΤΑΣΙΑ του Γεωργίου,ΚΕΜΕΝΤΣΕΤΣΙΔΗΣ ΙΩΑΝΝΗΣ του Θεοφίλου,κοινωνία αξιών,ΘΗΡΑΙΟΥ ΕΛΕΥΘΕΡΙΑ του Δημητρίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΔΗΜΗΤΡΙΑΔΟΥ ΑΝΝΑ του Κυριάκου,ΟΥΖΟΥΝΙΔΗΣ ΜΑΡΙΟΣ του Γρηγόριου,ΤΖΩΡΤΖΑΚΗΣ ΓΕΩΡΓΙΟΣ του Μιχαήλ,Μ-Λ Κ.Κ.Ε.,ΖΑΧΑΡΟΠΟΥΛΟΥ ΙΩΑΝΝΑ του Ευάγγελου,Ελλήνων Συνέλευσις,ΑΠΑΤΣΙΔΟΥ ΧΡΙΣΤΙΝΑ του Παναγιώτη,ΔΑΝΙΗΛΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ του Λαζάρου,ΜΙΧΑΗΛΙΔΗΣ ΠΑΥΛΟΣ του Αντωνίου,Ένωση Κεντρώων,ΚΑΡΑΚΩΣΤΗΣ ΔΗΜΗΤΡΙΟΣ του Στέργιου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΒΑΛΑΒΑΝΙΔΟΥ ΒΑΣΙΛΙΚΗ του Δημοσθένη,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΚΑΙΣΑΡΙΔΗΣ ΝΙΚΟΛΑΟΣ του Ηλία,ΚΑΡΑΜΙΧΑΛΗΣ ΠΑΝΑΓΙΩΤΗΣ του Ιωάννη,ΜΟΥΡΑΤΙΔΟΥ ΜΑΡΙΑ του Παναγιώτη,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΑΝΑΝΙΑΔΗΣ ΖΑΧΑΡΙΑΣ του Παναγιώτη,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΔΗΜΗΤΡΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Ηρακλή,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΧΑΝΤΑΒΑΡΙΔΟΥ ΜΑΡΙΑ του Νικολάου,ΕΑΝ...,ΠΑΠΑΛΕΞΟΠΟΥΛΟΣ ΑΓΓΕΛΟΣ του Γεωργίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΜΟΥΡΑΤΙΔΗΣ ΧΡΗΣΤΟΣ του Παύλου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΤΣΙΟΥΡΗ ΕΥΑΓΓΕΛΙΑ του Σωτηρίου
10 - Κιλκίς,1 E.T. Δήμου Κιλκίς,443,243,3,1,4,239,84,26,24,12,4,11,56,22,2,0,7,23,43,27,0,16,0,0,9,1,0,0,5,1,16,0,11,0,3,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,14,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,9
10 - Κιλκίς,2 E.T. Δήμου Κιλκίς,443,244,5,0,5,239,85,27,26,11,3,10,27,9,1,1,3,8,43,25,3,14,0,0,21,1,2,0,5,8,17,2,6,0,7,0,8,2,1,0,0,0,0,0,0,0,0,0,2,0,1,1,6,4,0,0,0,0,0,0,17,8,4,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,5,2
10 - Κιλκίς,3 E.T. Δήμου Κιλκίς,447,245,9,3,12,233,66,29,25,6,3,2,40,18,0,1,7,12,52,32,2,13,0,0,21,3,1,1,14,1,13,2,3,0,4,0,4,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,1,8,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,3,0,0,0,1,1,2,0,0,0,0,0,1,0,13,11
10 - Κιλκίς,4 E.T. Δήμου Κιλκίς,437,236,5,1,6,230,77,20,25,16,2,7,39,18,1,0,1,14,48,28,2,16,1,0,15,3,0,1,4,1,21,2,11,0,5,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,7,5
10 - Κιλκίς,5 E.T. Δήμου Κιλκίς,375,213,5,0,5,208,57,18,12,19,7,1,42,6,3,4,5,16,50,32,2,13,0,1,4,1,1,0,2,0,25,4,7,3,7,0,1,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,17,10,0,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2
10 - Κιλκίς,6 E.T. Δήμου Κιλκίς,388,235,4,1,5,230,79,22,12,25,10,3,33,12,2,3,5,6,48,18,2,24,0,1,4,2,1,0,0,0,26,1,7,3,11,0,4,0,1,1,0,1,1,0,2,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,21,6,1,13,1,1,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,4,4
10 - Κιλκίς,7 E.T. Δήμου Κιλκίς,374,212,3,0,3,209,74,28,15,21,2,2,11,3,0,1,4,3,42,23,1,15,0,1,12,2,2,0,3,1,31,7,6,1,11,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,21,4,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,1,1,2,2,6,4
10 - Κιλκίς,8 E.T. Δήμου Κιλκίς,633,423,4,6,10,413,130,48,36,7,14,7,63,8,3,6,26,12,82,65,3,9,2,0,16,3,2,0,3,1,48,2,4,0,34,0,12,2,2,0,0,1,1,1,1,0,0,0,1,1,0,0,2,1,1,0,0,1,0,0,30,15,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,1,0,1,1,1,1,2,0,0,0,3,1,14,7
10 - Κιλκίς,9 E.T. Δήμου Κιλκίς,525,331,3,1,4,327,128,54,32,17,7,8,45,5,6,4,21,4,39,16,0,21,0,0,29,4,3,0,16,2,31,4,7,0,11,2,7,3,1,0,0,2,3,3,5,5,1,1,2,0,0,2,3,3,0,0,0,0,0,0,9,5,2,1,0,0,0,0,0,0,0,0,2,1,1,0,4,4,1,1,5,2,0,3,1,1,1,1,2,2,2,2,2,2,5,5
10 - Κιλκίς,10 E.T. Δήμου Κιλκίς,562,361,8,4,12,349,104,32,28,21,5,4,62,10,3,2,23,16,25,12,1,10,0,0,22,5,2,0,8,1,59,5,17,6,19,3,9,1,2,3,0,2,0,0,0,0,0,0,2,1,0,0,1,0,4,0,1,2,0,0,20,10,0,7,2,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2,8,3,0,2,3,2,3,3,7,5,2,1,0,0,12,7
10 - Κιλκίς,11 E.T. Δήμου Κιλκίς,518,315,4,2,6,309,105,39,26,16,7,7,61,8,2,2,25,15,27,13,2,12,0,0,40,2,3,0,17,3,31,3,11,2,7,0,6,1,1,0,0,1,0,0,3,2,1,0,3,0,0,0,3,2,0,0,0,0,0,0,13,3,3,3,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,2,1,0,0,0,0,1,1,3,2,0,0,0,0,7,6
10 - Κιλκίς,12 E.T. Δήμου Κιλκίς,439,277,3,3,6,271,87,14,24,15,2,20,45,18,3,4,2,13,34,15,1,17,0,0,40,1,3,0,34,0,28,3,7,2,11,0,5,0,0,0,0,2,2,1,1,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,10,0,5,2,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,4,1,0,2,0,0,1,0,0,0,0,0,0,0,7,3
10 - Κιλκίς,13 E.T. Δήμου Κιλκίς,410,242,4,1,5,237,112,35,30,14,14,6,31,1,2,1,10,12,16,5,1,9,0,0,13,2,0,0,1,4,19,1,4,1,6,0,5,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,23,12,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,10,5
10 - Κιλκίς,14 E.T. Δήμου Κιλκίς,414,261,7,1,8,253,79,27,26,10,6,2,40,6,3,3,10,13,50,22,0,26,1,0,9,1,0,0,2,2,29,7,5,1,5,0,12,1,1,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,3,4,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,2,2,1,0,1,1,0,0,9,9
10 - Κιλκίς,15 E.T. Δήμου Κιλκίς,378,236,2,1,3,233,122,33,27,32,10,3,34,2,4,0,6,20,26,13,0,9,0,1,5,0,2,0,0,0,12,1,1,0,4,0,5,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,13,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,8,7
10 - Κιλκίς,16 E.T. Δήμου Κιλκίς,494,281,8,3,11,270,132,48,32,19,11,9,22,2,2,1,12,4,35,8,7,18,0,0,7,0,0,1,1,3,19,1,9,2,4,0,2,0,1,0,0,0,0,0,2,1,0,0,3,3,0,0,3,3,5,0,0,0,0,2,20,10,1,6,0,0,1,0,1,0,1,1,1,1,0,0,2,2,1,0,3,1,1,1,0,0,4,4,1,1,0,0,0,0,6,3
10 - Κιλκίς,17 E.T. Δήμου Κιλκίς,265,190,4,1,5,185,120,36,30,37,0,13,8,5,0,0,2,1,18,11,0,6,0,0,3,1,1,0,0,0,12,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,6,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0
10 - Κιλκίς,18 E.T. Δήμου Κιλκίς,459,295,5,2,7,288,122,78,22,6,5,8,72,24,2,2,12,31,41,22,1,17,0,0,13,2,3,2,4,0,15,0,2,3,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9,1,2,5,0,0,2,0,1,0,0,0,1,1,0,0,2,1,1,1,2,1,1,0,0,0,1,1,0,0,1,1,0,0,4,3
