ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΑΜΑΝΑΤΙΔΗΣ ΓΕΩΡΓΙΟΣ του Ισαάκ,ΒΡΥΖΙΔΟΥ ΠΑΡΑΣΚΕΥΗ του Παναγιώτη,ΔΑΚΗΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΕΥΣΤΑΘΙΟΣ του Κωνσταντίνου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΜΙΧΑΗΛ (ΜΙΧΑΛΗΣ) του Γεωργίου,ΠΡΩΪΟΥ-ΒΑΡΖΗ ΕΥΛΑΜΠΙΑ του Ευαγγέλου,ΣΥΡΙΖΑ,ΒΑΤΑΛΗΣ ΣΩΚΡΑΤΗΣ του Αργυρίου,ΒΕΤΤΑ ΚΑΛΛΙΟΠΗ του Δημητρίου,ΓΚΑΣΤΑΡΗ ΒΑΣΙΛΙΚΗ (ΒΑΣΩ) του Γεωργίου,ΚΑΡΥΠΙΔΗΣ ΘΕΟΔΩΡΟΣ του Ιωάννη,ΜΙΧΕΛΑΚΗ ΕΥΘΥΜΙΑ (ΕΦΗ) του Βασιλείου,ΠΑΣΣΑΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΖΑΡΟΓΙΑΝΝΗΣ ΛΟΥΚΑΣ του Ιωάννη,ΚΑΜΑΡΙΑΔΟΥ ΠΑΝΑΓΙΩΤΑ του Δημητρίου,ΚΟΥΚΟΥΛΟΠΟΥΛΟΣ ΠΑΡΑΣΚΕΥΑΣ (ΠΑΡΙΣ) του Δημητρίου,ΝΙΚΟΛΑΪΔΗΣ ΙΣΑΑΚ του Ανέστη,ΤΣΙΡΝΑΡΗ ΕΛΕΝΗ του Ιωάννη,ΦΤΑΚΑΣ ΓΕΩΡΓΙΟΣ του Χαρίσιου,Κ.Κ.Ε.,ΔΗΜΑΡΑΚΗ ΦΩΤΕΙΝΗ του Χρήστου,ΕΓΡΕΣ ΑΒΡΑΑΜ του Ιωάννη,ΘΕΟΔΩΡΙΔΗΣ ΕΜΜΑΝΟΥΗΛ του Αδάμ,ΚΟΥΖΙΑΚΗ ΘΕΟΔΩΡΑ ΜΑΤΙΝΑ (ΤΙΝΑ) του Παναγιώτη,ΜΩΥΣΙΑΔΗΣ ΣΤΑΥΡΟΣ του Θεοδώρου,ΤΡΙΑΝΤΑΦΥΛΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αθανασίου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΩΤΣΙΟΠΟΥΛΟΣ ΕΛΕΥΘΕΡΙΟΣ (ΛΕΥΤΕΡΗΣ) του Άγγελου,ΛΙΒΕΡΙΑΔΟΥ ΑΝΑΣΤΑΣΙΑ του Λιβερίου,ΞΑΝΘΟΠΟΥΛΟΣ ΠΕΤΡΟΣ του Κωνσταντίνου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΧΑΡΑΛΑΜΠΟΣ (ΜΠΑΜΠΗΣ) του Κωνσταντίνου,ΧΑΡΑΛΑΜΠΙΔΗΣ ΑΝΑΣΤΑΣΙΟΣ (ΤΑΣΟΣ) του Θεοδώρου,ΧΕΙΜΩΝΙΔΟΥ ΚΑΤΙΝΑ (ΚΑΤΕΡΙΝΑ) του Μιχαήλ,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΘΑΝΑΣΙΑΔΗΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,ΛΙΑΚΟΣ ΠΟΛΥΔΕΥΚΗΣ του Θωμά,ΛΟΤΣΙΟΣ ΒΑΣΙΛΕΙΟΣ του Δημητρίου,ΜΑΝΟΥ-ΓΙΟΛΔΑΣΗ ΑΓΓΕΛΙΚΗ (ΑΓΓΕΛΑ) του Ζήση,ΜΙΧΑΛΟΠΟΥΛΟΣ ΘΩΜΑΣ (ΜΑΚΗΣ) του Δημητρίου,ΜΠΕΓΛΕΡΙΔΟΥ ΣΤΑΥΡΟΥΛΑ του Αλέξανδρου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΑΠΟΣΤΟΛΙΔΗΣ ΛΑΥΡΕΝΤΙΟΣ του Θεοφύλακτου,ΜΠΕΜΠΗ ΒΑΣΙΛΙΚΗ του Παναγιώτη,ΤΣΙΡΑΝΙΔΟΥ ΘΕΟΔΩΡΑ του Αναστάσιου,Κ.Κ.Ε. (μ-λ),ΒΑΡΝΑΣΙΔΟΥ ΜΑΡΙΑ του Θεοδώρου,ΘΕΡΑΠΙΔΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΚΟΥΤΡΩΤΣΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,Ο.Κ.Δ.Ε.,ΚΑΡΥΔΗΣ ΜΑΡΚΟΣ του Παναγιώτη,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΣΠΡΑΓΚΑΘΟΣ ΑΠΟΣΤΟΛΟΣ του Κωνσταντίνου,ΓΑΡΟΥΦΑΛΛΙΔΟΥ ΓΙΑΝΟΥΛΛΑ του Νικολάου,ΓΕΩΡΓΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Γεωργίου,Κίνημα 21,ΧΑΡΑΛΑΜΠΙΔΗΣ ΧΑΡΑΛΑΜΠΟΣ του Ιωακείμ,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΔΙΟΝΥΣΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΣΤΥΛΙΔΟΥ ΟΛΓΑ του Ανέστη,ΤΑΜΙΩΛΑΚΗ ΕΙΡΗΝΗ του Ιωάννη,ΤΣΙΚΑΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΝΙΚΗ,ΑΛΑΤΖΗ ΕΙΡΗΝΗ του Χαραλάμπους,ΘΕΟΔΩΡΟΥ ΑΠΟΣΤΟΛΟΣ ΙΩΑΝΝΗΣ του Λάμπρου,ΜΠΑΛΙΑΚΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Νικολάου,ΣΙΣΜΑΝΙΔΟΥ ΠΟΛΥΞΕΝΗ του Γεωργίου,κοινωνία αξιών,ΓΟΥΣΙΟΥ ΑΙΚΑΤΕΡΙΝΗ του Δημητρίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΑΡΝΑΟΥΤΗ ΑΝΝΑ του Θεοδώρου,ΒΛΑΧΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Παναγιώτη,ΓΙΑΝΤΣΗΣ ΜΙΧΑΗΛ του Βασιλείου,Ο.Α.Κ.Κ.Ε.,ΚΑΒΒΑΔΑΣ ΣΠΥΡΙΔΩΝ του Αριστείδη,Μ-Λ Κ.Κ.Ε.,ΤΣΙΤΟΣ ΙΩΑΝΝΗΣ του Φώτιου,Ελλήνων Συνέλευσις,ΓΕΩΡΓΙΑΔΗΣ ΑΛΕΞΑΝΔΡΟΣ του Κωνσταντίνου,ΓΚΙΟΥΡΑ ΘΕΟΔΩΡΑ του Κωνσταντίνου,ΚΑΡΑΚΟΥΛΑ ΜΑΡΚΗΣΙΑ του Χαρίσιου,ΚΑΡΑΜΑΡΚΟΣ ΔΗΜΗΤΡΙΟΣ του Χρήστου,ΠΟΥΛΑΤΣΟΓΛΟΥ ΙΩΑΝΝΗΣ του Κυριάκου,Ένωση Κεντρώων,ΒΟΓΔΟΠΟΥΛΟΣ ΘΩΜΑΣ του Νικολάου,ΜΑΡΚΟΣ ΕΥΑΓΓΕΛΟΣ του Αθανασίου,ΡΟΥΚΑ ΘΕΟΠΟΥΛΑ του Αποστόλου,ΧΡΙΣΤΟΦΟΡΙΔΟΥ ΕΥΡΗΚΑ του Βίκτωρα,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΤΕΝΤΣΟΓΛΙΔΗΣ ΜΑΡΙΟΣ του Γεωργίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΚΟΥΡΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Ηρακλή,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΠΛΙΑΚΗΣ ΘΩΜΑΣ του Αθανασίου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΡΙΖΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΙΩΣΗΦΙΔΗΣ ΚΥΡΙΑΚΟΣ του Δαμιανού,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΚΟΛΙΑΚΗ ΚΩΝΣΤΑΝΤΙΝΑ του Σπυρίδωνα,ΦΟΥΤΣΟΓΛΟΥ ΚΥΡΙΑΚΗ του Κωνσταντίνου,ΧΑΝΤΑΒΑΡΙΔΗΣ ΓΕΩΡΓΙΟΣ του Παύλου,Οικολόγοι Πράσινοι,ΔΗΜΑΚΟΥ ΑΓΓΕΛΙΚΗ του Νικολάου,ΙΩΑΝΝΙΔΗΣ ΧΡΗΣΤΟΣ του Αβραάμ,ΕΑΝ...,ΓΙΑΝΝΙΤΣΑ ΑΙΚΑΤΕΡΙΝΗ του Γεωργίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΓΟΝΑΤΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Παναγιώτη,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΠΡΑΣΣΑΣ ΔΗΜΗΤΡΙΟΣ του Αντωνίου
15 - Κοζάνης,1 E.T. Δήμου Βελβεντού,542,273,5,0,5,268,96,56,22,21,26,20,1,76,14,22,15,60,6,4,41,33,6,16,1,2,1,9,1,1,2,4,3,3,10,3,1,2,1,1,4,10,5,2,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,7,4,2,4,2,0,0,0,0,0,0,0,0,1,0,3,1,0,0,2,2,1,0,0,0,1,0,0,3,3,0,0,0,0,1,0,2,0,1,1,1,1,1,0,0,0,0,5,3
15 - Κοζάνης,2 E.T. Δήμου Βελβεντού,558,339,6,1,7,332,140,79,25,12,55,39,3,63,5,26,11,54,2,6,48,41,7,6,2,4,1,26,10,3,5,10,2,6,7,3,2,0,0,3,1,7,2,3,2,0,0,3,2,2,0,0,0,0,0,0,0,0,2,0,0,1,3,1,1,1,1,0,0,14,6,5,9,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,0,3,3,1,1,1,2,0,3,1
15 - Κοζάνης,3 E.T. Δήμου Βελβεντού,542,289,6,3,9,280,87,50,8,10,24,27,3,103,13,45,19,78,14,1,18,8,4,6,1,2,1,11,3,0,5,5,0,1,11,4,2,0,2,4,3,7,1,1,1,0,0,2,0,0,0,0,0,0,0,0,2,2,4,1,2,1,1,0,1,1,1,0,0,9,1,5,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,2,1,1,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,12,10
15 - Κοζάνης,4 E.T. Δήμου Βελβεντού,515,277,2,3,5,272,96,62,17,13,37,12,2,92,14,42,17,64,13,5,28,24,2,6,0,6,5,7,3,0,0,2,0,1,11,4,1,1,1,4,2,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,1,2,0,1,16,8,4,9,5,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,5,5
15 - Κοζάνης,5 E.T. Δήμου Βελβεντού,551,303,6,1,7,296,106,69,28,15,27,12,4,70,6,24,18,46,8,1,34,32,1,14,1,1,2,29,5,2,8,13,0,3,11,3,5,2,1,2,3,9,0,8,4,0,0,1,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0,1,1,1,0,0,17,7,4,8,9,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,4,1,1,1,1,0,0,4,3
15 - Κοζάνης,6 E.T. Δήμου Βελβεντού,526,281,8,0,8,273,80,54,15,18,25,15,3,69,13,28,14,55,6,3,43,34,6,19,0,4,0,28,7,1,12,20,1,3,18,7,4,2,2,2,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,1,1,0,0,0,0,0,17,8,7,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,5,4,0,0,1,1,0,0,0,0,0,0,3,3,3,0,0,1,1,0,0
15 - Κοζάνης,7 E.T. Δήμου Βελβεντού,524,293,8,0,8,285,116,63,19,23,30,25,1,68,4,40,9,53,9,0,28,16,5,10,1,2,1,15,3,1,1,6,1,5,19,5,5,2,0,4,3,7,0,2,0,2,2,2,1,0,1,1,1,1,0,1,2,2,1,1,0,1,1,1,1,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,1,2,0,0,2,1,0,0,0,0,2,2,1,0,0,0,2,2,1,0,0,3,3,7,5
15 - Κοζάνης,8 E.T. Δήμου Βελβεντού,92,44,0,0,0,44,26,19,4,3,11,7,0,8,1,4,2,4,1,0,4,3,0,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
15 - Κοζάνης,9 E.T. Δήμου Βελβεντού,348,168,3,1,4,164,46,30,5,6,6,19,3,42,3,17,1,27,5,1,21,14,6,4,0,1,3,15,7,2,3,5,2,0,14,6,2,2,2,2,3,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,1,0,0,0,8,3,1,8,1,0,0,2,1,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,2,0,1,1
15 - Κοζάνης,10 E.T. Δήμου Βελβεντού,222,74,0,1,1,73,20,9,3,3,3,7,1,12,0,4,1,10,2,0,15,10,2,5,0,0,0,2,2,0,0,0,0,0,7,4,3,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7,3,1,4,2,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 - Κοζάνης,11 E.T. Δήμου Βελβεντού,31,14,0,0,0,14,7,5,1,3,2,0,0,2,0,1,1,2,0,0,3,3,1,1,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 - Κοζάνης,12 E.T. Δήμου Βοΐου,382,190,2,1,3,187,70,21,11,8,31,20,5,28,14,8,2,6,12,0,12,8,3,4,1,1,0,29,0,29,0,17,0,0,22,1,2,3,4,1,1,0,0,0,0,0,0,0,8,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,1,1,0,0,3,1
15 - Κοζάνης,13 E.T. Δήμου Βοΐου,368,172,3,1,4,168,56,19,4,8,38,17,5,40,8,11,8,16,14,3,17,9,4,10,0,0,0,22,0,21,0,7,0,0,13,4,5,2,5,4,3,0,0,0,0,0,0,0,11,2,11,0,0,0,0,0,1,1,0,0,0,0,2,0,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15 - Κοζάνης,14 E.T. Δήμου Βοΐου,542,307,14,2,16,291,121,46,35,21,24,35,23,61,22,31,13,14,26,3,44,23,10,19,4,11,0,25,5,13,2,14,1,2,7,2,3,0,0,1,2,4,1,0,0,0,0,1,4,2,3,0,0,0,0,0,0,0,2,1,1,0,3,2,0,0,0,0,0,7,2,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,1,0,2,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,1
15 - Κοζάνης,15 E.T. Δήμου Βοΐου,527,308,7,5,12,296,158,55,29,44,42,53,19,32,10,15,8,11,7,3,53,20,10,24,17,14,2,19,6,10,0,13,1,0,9,2,2,2,1,1,5,3,1,1,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,3,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,1,1,1,0,0,2,2,0,0,3,1
15 - Κοζάνης,16 E.T. Δήμου Βοΐου,513,293,8,0,8,285,104,53,20,28,31,33,9,54,13,17,13,19,14,7,57,29,19,26,2,8,2,18,2,11,3,10,1,3,9,3,3,1,2,2,3,3,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,1,13,3,0,9,3,0,0,1,0,1,0,0,0,1,0,2,1,1,0,0,2,1,0,0,0,0,0,0,2,2,3,2,3,1,3,2,0,0,0,0,1,1,0,0,0,2,1,3,3
15 - Κοζάνης,17 E.T. Δήμου Βοΐου,539,263,8,0,8,255,131,53,22,38,31,44,14,39,7,21,7,9,14,1,34,16,5,13,5,6,2,9,4,5,0,3,0,0,9,0,1,3,0,1,5,3,0,0,0,0,0,1,2,2,2,0,2,2,2,0,0,0,1,0,1,0,2,0,3,2,1,0,0,9,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,4,2
15 - Κοζάνης,18 E.T. Δήμου Βοΐου,515,262,2,2,4,258,148,33,19,21,30,94,21,38,19,14,3,10,5,3,21,2,3,13,2,3,1,10,1,0,3,1,0,2,9,2,1,2,1,2,0,5,1,1,1,0,0,2,5,1,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,11,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,2,0,0,0,0,1,1,1,0,0,0,0,2,0
15 - Κοζάνης,19 E.T. Δήμου Βοΐου,523,221,0,0,0,221,94,30,17,15,24,54,3,44,15,17,16,10,13,2,32,7,6,15,1,5,0,8,4,2,3,4,1,0,11,5,2,0,0,1,3,8,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,3,1,1,0,2,0,0,0,0,0,0,10,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,2,1
