ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΑΝΤΩΝΙΟΥ-ΧΟΥΒΑΡΔΑ ΕΥΤΥΧΙΑ (ΕΦΗ) του Βασιλείου,ΚΑΘΗΝΙΩΤΗ ΟΥΡΑΝΙΑ του Λουκά,ΛΙΟΥΠΗΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,ΜΑΚΡΗ ΖΩΗ (ΖΕΤΤΑ) του Μιχαήλ,ΜΑΡΑΒΕΓΙΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αριστοτέλη,ΜΠΟΥΚΩΡΟΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΤΡΙΑΝΤΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΣΥΡΙΖΑ,ΑΡΑΜΠΑΤΖΗΣ ΧΑΡΑΛΑΜΠΟΣ (ΜΠΑΜΠΗΣ) του Αλέξανδρου,ΔΡΑΜΗΤΙΝΟΣ ΜΑΤΘΑΙΟΣ (ΜΑΝΘΟΣ) του Γεωργίου,ΜΕΪΚΟΠΟΥΛΟΣ ΑΛΕΞΑΝΔΡΟΣ του Μιχαήλ,ΠΑΠΑΝΑΤΣΙΟΥ ΑΙΚΑΤΕΡΙΝΗ του Στεργίου,ΣΤΑΧΤΟΥ ΕΥΘΑΛΙΑ (ΘΑΛΕΙΑ) του Παναγιώτη,ΦΑΔΑΚΗΣ ΑΘΑΝΑΣΙΟΣ του Δημητρίου,ΧΡΥΣΟΒΕΛΩΝΗ ΜΑΡΙΝΑ του Γεωργίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΓΟΣΠΟΔΙΝΗ (ΑΣΠΑ) ΑΝΑΣΤΑΣΙΑ - ΑΣΠΑΣΙΑ του Δημητρίου,ΚΑΝΑΒΟΣ ΑΠΟΣΤΟΛΟΣ του Λάμπρου,ΟΥΤΑ ΜΑΡΙΑ του Σωτηρίου,ΣΚΡΙΜΠΑΣ ΑΘΑΝΑΣΙΟΣ (ΣΑΚΗΣ) του Κωνσταντίνου,ΤΖΟΥΜΑΣ ΝΙΚΟΛΑΟΣ του Βασιλείου,ΤΣΕΚΟΥΡΑ ΠΑΡΑΣΚΕΥΗ (ΒΙΚΥ) του Κωνσταντίνου,ΤΣΙΜΠΑΝΑΚΟΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,Κ.Κ.Ε.,ΓΕΩΡΓΑΔΑΚΗΣ ΘΕΟΔΩΡΟΣ του Στυλιανού,ΜΕΤΑΞΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ ΒΑΣΙΛΕΙΟΣ του Δημητρίου,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΙΩΑΝΝΑ του Χριστόφιλου,ΡΙΖΟΠΟΥΛΟΣ ΑΠΟΣΤΟΛΟΣ του Δημητρίου,ΤΑΛΑΔΙΑΝΟΥ ΕΥΛΑΛΙΑ (ΕΥΗ) του Νικολάου,ΤΑΣΟΛΑΜΠΡΟΥ ΧΡΥΣΟΥΛΑ του Θεοδώρου,ΤΖΙΟΥΜΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Σωτηρίου,Ελληνική Λύση - Κ. Βελόπουλος,ΑΓΡΑΦΙΩΤΗΣ ΑΓΓΕΛΟΣ του Παναγιώτη,ΑΛΕΞΙΟΥ ΕΙΡΗΝΗ ΑΙΚΑΤΕΡΙΝΗ του Ελευθερίου,ΑΡΜΕΝΤΖΙΟΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΒΑΪΡΑΜΗΣ ΕΥΑΓΓΕΛΟΣ του Γεωργίου,ΜΑΡΙΤΣΟΥΔΗ ΑΘΑΝΑΣΙΑ του Δημητρίου,ΜΑΡΚΑΚΗΣ ΠΑΥΛΟΣ του Γεωργίου,ΠΑΡΑΠΑΡΕΚΗ ΜΑΓΔΑΛΗΝΗ του Νικολάου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΒΑΛΑΜΟΥΤΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΚΑΝΕΛΛΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΚΑΡΑΜΑΝΛΗ ΑΓΑΠΗ του Γεωργίου,ΜΠΑΛΛΑ ΑΙΚΑΤΕΡΙΝΗ του Ιωάννη,ΜΠΕΦΑΝΗΣ ΧΑΡΑΛΑΜΠΟΣ του Γεωργίου,ΤΖΑΝΕΤΟΥΛΑΚΟΥ ΕΥΤΥΧΙΑ (ΦΑΙΗ) του Σπυρίδωνα,ΨΑΘΑΣ ΒΑΣΙΛΕΙΟΣ-ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΜΑΣΤΟΡΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,Κ.Κ.Ε. (μ-λ),ΑΝΔΡΕΑΤΟΣ ΓΡΗΓΟΡΙΟΣ του Γερασίμου,ΒΛΑΧΟΣΤΑΜΑΤΗΣ ΕΜΜΑΝΟΥΗΛ του Παντελή,ΚΟΥΤΣΙΜΠΟΥ ΕΛΕΝΗ του Στυλιανού,Ο.Κ.Δ.Ε.,ΠΡΙΓΚΟΥ ΜΑΡΙΑ του Ιωάννη,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΓΕΡΟΓΙΑΚΟΜΟΥ ΑΡΓΥΡΩ (ΡΟΥΛΑ) του Ανδρέα,ΕΥΑΓΓΕΛΑΚΟΣ ΕΥΑΓΓΕΛΟΣ του Κωνσταντίνου,ΚΑΤΣΙΑΜΠΟΥΡΑ ΑΣΠΑΣΙΑ του Νικολάου,ΡΕΚΟΥΝΑΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,ΣΤΕΦΑΝΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Βασιλείου,ΤΣΙΟΥΝΗΣ ΑΝΑΣΤΑΣΙΟΣ του Κωνσταντίνου,ΧΑΤΖΗΝΙΚΟΛΑΟΥ ΜΑΡΙΑ του Νικολάου,Κίνημα 21,ΓΕΡΟΔΗΜΟΥ ΑΓΓΕΛΑ του Απόστολου,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,ΜΩΡΑΪΤΗΣ ΕΥΑΓΓΕΛΟΣ του Γεωργίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΚΑΣΑΜΠΑΛΗΣ ΔΗΜΗΤΡΙΟΣ του Αντωνίου,ΛΙΒΙΤΣΑΝΟΥ ΕΙΡΗΝΗ του Λάμπρου,ΝΙΚΗ,ΓΕΩΡΓΑΔΑΚΗΣ ΓΕΩΡΓΙΟΣ του Στεφάνου,ΓΙΩΤΑΚΟΣ ΑΠΟΣΤΟΛΟΣ του Δημοσθένη,ΜΠΑΓΛΑΤΖΗ ΞΕΝΙΑ- ΣΟΦΙΑ του Γεωργίου,ΣΕΚΕΡΤΖΗΣ ΑΝΤΩΝΙΟΣ του Δημητρίου,ΣΚΟΥΡΓΙΑ ΕΛΕΝΗ του Νικολάου,κοινωνία αξιών,ΡΟΔΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Θεοδώρου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΒΑΛΟΥΞΗ (ΜΠΑΛΟΥΞΗ) ΓΕΩΡΓΙΑ του Δημητρίου,ΚΑΡΑΔΗΜΟΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΧΑΣΙΩΤΗΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,Ο.Α.Κ.Κ.Ε.,ΧΡΗΣΤΟΥ ΓΡΗΓΟΡΙΟΣ του Παναγιώτη,Μ-Λ Κ.Κ.Ε.,ΜΑΡΓΑΡΙΤΗΣ ΓΑΒΡΙΗΛ του Σταύρου,Ελλήνων Συνέλευσις,ΡΟΪΔΗ ΙΩΑΝΝΑ ΜΑΡΙΑ του Βασιλείου,Ένωση Κεντρώων,ΖΑΦΕΙΡΗΣ ΔΗΜΗΤΡΙΟΣ του Τρύφωνα,ΚΑΒΑΔΕΛΛΑ ΑΘΗΝΑ - ΕΛΕΥΘΕΡΙΑ του Κωνσταντίνου,ΚΑΡΒΕΛΗ ΙΩΑΝΝΑ του Γεωργίου,ΚΟΥΤΣΟΡΙΖΟΣ ΑΓΓΕΛΟΣ - ΝΙΚΟΛΑΟΣ του Τιμολέωντα,ΦΟΥΡΝΑΡΗΣ ΑΠΟΣΤΟΛΟΣ - ΓΕΩΡΓΙΟΣ του Ιωάννη,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΒΕΡΓΑ ΑΙΚΑΤΕΡΙΝΗ του Κωνσταντίνου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΓΚΑΓΙΑΝΝΗΣ ΧΡΗΣΤΟΣ του Ευσταθίου,ΜΑΥΡΟΜΜΑΤΗ ΚΑΙΡΟΥ (ΚΕΡΗ) του Παναγιώτη,ΠΑΠΑΔΟΥΛΗ ΧΑΡΙΚΛΕΙΑ του Νικολάου,ΤΖΙΒΙΝΙΚΟΣ ΘΕΟΔΩΡΟΣ του Αθανασίου,ΦΥΚΑΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΝΕΑ ΔΟΜΗ,ΠΟΛΥΖΟΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΚΡΟΤΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΓΡΗΓΟΡΙΟΥ ΙΩΑΝΝΗΣ του Δημητρίου,ΚΑΤΣΟΥΡΑ ΕΥΑΓΓΕΛΙΑ του Τριαντάφυλλου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θεοδώρου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΒΟΥΛΓΑΡΗ ΕΙΡΗΝΗ - ΧΡΥΣΟΒΑΛΑΝΤΟΥ του Εμμανουήλ,ΚΑΡΒΕΛΗ ΙΩΑΝΝΑ του Δημητρίου,ΛΕΒΕΝΤΗΣ ΣΤΕΦΑΝΟΣ του Θεμιστοκλή,ΜΑΚΡΟΓΙΑΝΝΗΣ ΔΗΜΗΤΡΙΟΣ του Ηλία,ΜΠΑΖΑΝΟΣ ΑΛΕΞΑΝΔΡΟΣ - ΣΤΕΦΑΝΟΣ του Νικολάου,ΦΥΣΕΚΗ ΣΟΦΙΑ του Νικολάου,Οικολόγοι Πράσινοι,ΠΟΛΙΤΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Φωκίωνα,ΕΑΝ...,ΧΡΙΣΤΟΔΟΥΛΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Παναγιώτη,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΦΥΣΕΝΤΖΙΔΗΣ ΚΩΣΤΑΣ του Πέτρου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΑΪΡΑΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΚΟΝΤΟΓΙΑΝΝΗ ΑΝΝΑ του Λαυρεντίου,ΚΟΥΚΟΥΒΙΝΟΥ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΜΑΓΚΟΥΡΙΤΣΑΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΠΑΤΣΙΑΝΤΑΣ ΜΑΡΓΑΡΙΤΗΣ του Ρήγα,ΠΟΛΥΖΟΥ ΙΩΑΝΝΑ του Αθανασίου,ΦΡΑΓΚΟΥΔΑΚΗ ΕΥΓΕΝΙΑ του Ελευθερίου
23 - Μαγνησίας,1 E.T. Δήμου Αλμυρού,552,359,6,4,10,349,188,13,1,24,56,11,90,93,46,7,2,14,26,4,4,2,30,2,3,20,4,0,4,9,27,14,14,3,1,3,3,2,5,1,0,1,1,0,1,0,9,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,1,1,3,3,2,16,2,1,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,3,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,11,1,4,2,0,2,5,0
23 - Μαγνησίας,2 E.T. Δήμου Αλμυρού,547,368,4,1,5,363,180,2,5,30,44,20,82,93,74,7,9,18,49,6,2,12,29,1,8,23,3,1,6,1,19,11,13,1,2,0,3,1,9,5,2,2,0,1,0,1,11,1,0,1,3,0,2,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,3,0,0,15,7,2,10,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2,2,0,5,0,0,0,0,0,3,2,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,1,0,1,0
23 - Μαγνησίας,3 E.T. Δήμου Αλμυρού,546,402,3,1,4,398,190,5,2,22,57,23,82,108,65,12,8,16,39,2,1,13,39,3,12,28,1,3,0,5,30,12,10,4,6,5,4,4,13,7,3,4,1,0,3,2,19,9,2,0,2,1,4,1,1,1,3,1,2,2,0,0,2,1,0,0,0,0,0,0,2,1,0,0,5,3,3,9,2,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,5,0,0,0,1,1,2,2,2,2,2,3,0,0,1,1,0,2,2,1,0,0,0,0,4,0,2,0,1,0,2,0
23 - Μαγνησίας,4 E.T. Δήμου Αλμυρού,560,360,7,2,9,351,187,12,1,27,38,18,90,114,54,4,10,13,26,6,2,11,31,2,3,21,1,0,10,3,17,8,7,2,2,2,1,1,14,5,2,2,2,0,2,0,8,4,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,5,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,2,6,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4,3,0,0,14,2,4,0,1,0,3,3
23 - Μαγνησίας,5 E.T. Δήμου Αλμυρού,565,393,9,3,12,381,218,8,1,46,46,20,101,122,51,1,4,22,33,0,1,15,32,0,2,20,0,3,8,4,27,9,5,0,6,0,1,1,11,3,2,3,1,1,2,1,5,3,1,0,1,1,1,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,2,3,2,1,11,2,1,10,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,3,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,7,0,1,0,1,2,0,0
23 - Μαγνησίας,6 E.T. Δήμου Αλμυρού,547,382,1,9,10,372,187,3,2,29,43,15,89,98,59,10,6,11,31,3,2,12,45,1,10,33,1,3,9,6,10,5,3,0,2,1,0,0,9,4,2,0,2,2,2,1,12,3,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,14,3,2,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,8,1,5,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,17,2,7,1,0,2,4,1
23 - Μαγνησίας,7 E.T. Δήμου Αλμυρού,553,385,5,1,6,379,178,4,1,35,55,24,89,88,63,4,7,12,39,4,2,13,46,2,9,27,2,0,13,7,22,13,11,2,3,3,2,1,11,4,3,2,1,2,0,1,7,3,1,0,1,0,0,1,2,1,0,0,0,0,0,0,3,1,0,1,1,1,0,0,6,3,1,1,2,1,2,8,1,0,6,0,2,0,0,2,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,1,4,1,5,0,0,0,0,0,1,1,0,2,0,3,1,1,0,1,0,1,5,2,0,0,0,0,8,1,4,1,0,0,4,2
23 - Μαγνησίας,8 E.T. Δήμου Αλμυρού,553,369,13,3,16,353,207,14,0,34,44,12,106,109,41,5,4,9,26,1,3,7,29,2,6,21,1,0,3,4,18,8,12,1,2,2,4,3,9,4,2,0,1,1,1,3,5,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,1,1,3,0,0,10,3,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,1,1,0,4,0,0,0,1,0,1,1,1,2,1,0,0,0,0,0,0,0,2,1,1,1,1,1,13,3,4,3,1,1,2,0
23 - Μαγνησίας,9 E.T. Δήμου Αλμυρού,564,358,5,0,5,353,194,5,4,35,66,17,109,76,53,3,1,21,46,3,3,8,41,2,8,34,2,3,5,6,11,1,2,2,1,2,1,0,14,11,1,1,1,0,2,0,1,0,0,0,1,0,1,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,11,3,1,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,2,0,8,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,0,1,1,0,1,0,0
23 - Μαγνησίας,10 E.T. Δήμου Αλμυρού,559,362,9,2,11,351,205,11,4,40,54,19,99,110,41,4,1,13,28,3,4,6,31,2,5,19,1,4,4,8,22,6,7,2,3,5,4,3,12,8,2,0,4,2,1,1,4,2,0,1,2,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,4,2,2,9,2,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,10,3,3,3,3,1,1,0
23 - Μαγνησίας,11 E.T. Δήμου Αλμυρού,545,366,5,1,6,360,202,1,3,23,54,23,99,91,52,1,5,12,34,3,2,12,23,2,1,18,1,5,2,2,16,5,4,3,2,2,1,4,13,4,3,1,3,1,0,0,3,2,0,0,1,0,0,0,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,5,1,1,17,2,1,14,3,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,2,2,2,2,0,0,5,0,1,0,0,1,1,0
23 - Μαγνησίας,12 E.T. Δήμου Αλμυρού,555,385,15,1,16,369,217,5,0,39,71,31,90,112,35,4,3,9,26,1,2,7,31,5,3,26,3,4,4,3,19,6,5,2,2,6,3,1,15,12,6,2,0,0,2,0,10,3,3,0,3,1,2,2,2,2,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15,5,4,7,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,4,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,1,1,0,1,0,7,0,3,2,1,0,3,1
23 - Μαγνησίας,13 E.T. Δήμου Αλμυρού,497,328,10,1,11,317,159,10,3,27,50,29,52,74,44,3,7,19,26,8,2,6,37,6,4,27,1,0,5,8,16,4,5,2,2,2,4,3,25,11,2,0,4,3,5,4,5,3,2,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,5,1,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,3,1,2,0,2,0,0,0,0,0,1,1,1,1,0,3,2,0,1,0,0,2,0,0,1,0,0,0,9,2,1,2,2,1,2,1
23 - Μαγνησίας,14 E.T. Δήμου Αλμυρού,183,156,1,0,1,155,124,1,0,50,13,7,63,77,8,1,0,1,7,2,0,1,9,0,3,3,0,0,3,4,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
23 - Μαγνησίας,15 E.T. Δήμου Αλμυρού,122,47,0,1,1,46,20,1,0,4,1,0,7,14,9,1,0,2,7,1,0,0,11,0,1,8,0,0,1,3,5,3,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23 - Μαγνησίας,16 E.T. Δήμου Αλμυρού,153,76,0,0,0,76,41,1,1,3,17,2,21,20,18,9,0,3,9,2,2,3,9,4,5,5,0,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0
23 - Μαγνησίας,17 E.T. Δήμου Αλμυρού,313,232,0,1,1,231,126,12,0,6,25,15,25,102,21,1,1,12,15,1,0,1,33,0,11,29,2,1,1,5,10,8,6,1,1,0,1,0,9,2,1,1,0,2,0,0,3,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,8,0,4,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,0,1,0,0,1
23 - Μαγνησίας,18 E.T. Δήμου Αλμυρού,491,353,3,1,4,349,203,4,0,33,63,23,91,109,58,10,2,16,42,1,2,12,27,2,7,19,0,0,5,4,16,6,6,1,2,0,3,1,12,6,4,2,2,1,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,14,5,1,8,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,4,1,0,0,1,0,0,0
23 - Μαγνησίας,19 E.T. Δήμου Αλμυρού,501,337,6,3,9,328,203,3,0,22,67,19,98,107,29,0,3,7,21,1,0,4,39,4,18,20,3,2,4,8,6,4,3,1,0,0,1,1,8,4,4,1,1,1,1,0,5,1,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,2,2,1,15,8,1,7,3,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,2,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,3,1,1,0,0,1,3,0
23 - Μαγνησίας,20 E.T. Δήμου Αλμυρού,497,341,1,1,2,339,209,2,0,36,61,21,94,132,30,1,4,8,20,0,0,7,38,9,8,27,3,2,5,6,19,9,13,1,5,3,0,0,3,1,0,1,0,0,1,0,6,3,1,2,2,0,1,2,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,2,2,3,2,4,3,3,11,3,2,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,2,0,0,0,0,0,3,1,2,0,0,1,0,1
