ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΣΑΜΑΡΑΣ ΑΝΤΩΝΙΟΣ του Κωνσταντίνου,ΓΥΦΤΕΑ ΜΑΡΙΑ-ΕΛΕΝΗ του Δημητρίου,ΚΟΥΜΑΝΤΟΥ ΠΑΝΑΓΙΩΤΑ (ΠΙΠΙΝΑ) του Παναγή,ΛΑΜΠΡΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΜΑΝΤΑΣ ΠΕΡΙΚΛΗΣ του Παντελή,ΝΙΚΑ ΠΑΝΑΓΙΩΤΑ του Ευαγγέλου,ΧΡΥΣΟΜΑΛΛΗΣ ΜΙΛΤΙΑΔΗΣ (ΜΙΛΤΟΣ) του Παναγιώτη,ΣΥΡΙΖΑ,ΒΕΡΓΙΝΑΔΗ ΜΑΡΙΑ του Νικήτα,ΖΑΧΑΡΟΠΟΥΛΟΥ ΓΕΩΡΓΙΑ (ΓΙΟΥΛΑ) του Αντωνίου,ΚΙΟΥΡΗ ΧΑΡΙΚΛΕΙΑ (ΧΑΡΑ) του Δημητρίου,ΚΩΝΣΤΑΝΤΙΝΕΑΣ ΠΕΤΡΟΣ του Νικολάου,ΜΑΚΑΡΗΣ ΕΜΜΑΝΟΥΗΛ ΛΕΟΝΑΡΔΟΣ (ΜΑΝΩΛΗΣ) του Ιωάννη,ΣΤΕΦΑΝΟΣ ΠΑΝΑΓΙΩΤΗΣ του Λάμπρου,ΧΑΡΙΤΣΗΣ ΑΛΕΞΑΝΔΡΟΣ (ΑΛΕΞΗΣ) του Βύρωνα,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΔΑΜΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Δημητρίου,ΓΕΡΟΝΙΚΟΛΟΣ ΜΕΝΕΛΑΟΣ του Κωνσταντίνου,ΚΑΖΑΚΟΥ ΑΡΙΣΤΕΑ του Παναγιώτη,ΛΥΜΠΕΡΟΠΟΥΛΟΥ ΔΗΜΗΤΡΑ του Αντωνίου,ΞΗΡΟΓΙΑΝΝΗΣ ΠΕΡΙΚΛΗΣ του Αλεξάνδρου,ΠΙΕΡΡΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Παναγιώτη,ΠΩΡΟΣ ΣΠΥΡΟΣ (ΣΠΥΡΙΔΩΝ) του Γεωργίου,Κ.Κ.Ε.,ΚΑΝΤΖΙΛΙΕΡΗ ΧΡΙΣΤΙΝΑ ΕΛΕΥΘΕΡΙΑ του Παναγιώτη,ΚΟΜΠΟΤΗΣ ΑΡΙΣΤΕΙΔΗΣ (ΑΡΗΣ) του Γεωργίου,ΚΟΥΚΟΥΜΗ ΕΙΡΗΝΗ του Σαράντου,ΚΟΥΤΟΥΜΑΝΟΣ ΝΙΚΟΛΑΟΣ του Σαράντου,ΝΙΚΟΛΟΠΟΥΛΟΣ ΣΠΥΡΙΔΩΝ του Γεωργίου,ΣΜΥΡΝΗΣ ΑΡΓΥΡΙΟΣ του Αντωνίου,ΧΡΗΣΤΕΑ ΣΤΕΛΛΑ του Νικολάου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΕΡΝΑΔΑΚΗΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΝΕΓΡΕΠΟΝΤΗ ΑΝΝΑ του Αντωνίου,ΝΙΚΟΛΑΟΥ ΓΕΩΡΓΙΑ του Θεοδώρου,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΑΣΠΑΣΙΑ του Αλεξάνδρου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΕΥΣΤΑΘΙΟΣ του Βασιλείου,ΠΕΤΡΟΜΙΧΕΛΗ ΠΑΥΛΙΝΑ- ΒΑΣΙΛΙΚΗ του Βασιλείου,ΣΑΚΕΛΛΑΡΙΑΔΗΣ ΗΛΙΑΣ του Παντελή,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΔΟΥΛΑΜΗ ΠΕΤΡΟΥΛΑ του Χαραλάμπους,ΘΕΟΔΩΡΟΠΟΥΛΟΥ ΘΕΟΔΩΡΑ (ΔΩΡΑ) του Μιχαήλ,ΚΑΝΕΛΗΣ ΓΕΩΡΓΙΟΣ του Χρήστου,ΚΥΒΕΛΟΣ ΒΑΣΙΛΕΙΟΣ του Δημητρίου,ΜΗΤΣΗ ΜΑΡΙΑ του Δημητρίου,ΜΠΑΚΑΣ ΙΑΣΩΝ του Δημητρίου,ΧΡΙΣΤΟΠΟΥΛΟΥ ΠΑΝΑΓΙΩΤΑ (ΓΙΩΤΑ) του Θεοδώρου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΓΙΑΝΝΕΛΟΥ ΣΟΦΙΑ του Παναγιώτη,ΛΟΥΚΑΚΟΣ ΜΙΛΤΙΑΔΗΣ του Κωνσταντίνου,ΣΟΦΤΣΗΣ ΑΘΑΝΑΣΙΟΣ του Παναγιώτη,Κ.Κ.Ε. (μ-λ),ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΣ ΕΥΓΕΝΙΟΣ του Ευστάθιου,ΦΩΤΟΠΟΥΛΟΥ ΒΑΣΙΛΙΚΗ του Γεωργίου,Ο.Κ.Δ.Ε.,ΣΠΙΝΟΣ ΝΙΚΟΛΑΟΣ του Ευστρατίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΓΕΩΡΓΙΤΣΟΠΟΥΛΟΥ ΕΥΣΤΑΘΙΑ του Ηλία,ΚΑΠΕΤΑΝΑΚΗ ΧΑΡΙΚΛΕΙΑ του Ιωάννου,ΚΑΤΣΑΡΗΣ ΠΑΝΑΓΙΩΤΗΣ του Δημητρίου,ΚΟΣΜΑΣ ΑΠΟΣΤΟΛΟΣ του Χρήστου,ΜΑΡΑΝΤΟΣ ΧΡΗΣΤΟΣ του Βασιλείου,ΝΙΚΟΥ ΔΟΝΑΤΟΣ του Γεωργίου,ΦΕΣΣΑ ΧΡΥΣΟΥΛΑ (ΣΥΛΒΙΑ) του Δημητρίου,Κίνημα 21,ΖΟΡΜΠΑΣ ΒΑΣΙΛΕΙΟΣ του Παύλου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΜΠΑΡΔΑΚΗ ΑΝΝΑ του Σπυρίδωνος,ΠΑΝΤΑΖΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΤΣΑΝΤΟΥΛΗ ΗΛΕΚΤΡΑ του Γεωργίου,ΤΣΙΚΝΑΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΧΑΡΜΠΙΛΑΣ ΒΑΣΙΛΕΙΟΣ του Περικλή,ΝΙΚΗ,ΑΔΑΜΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Χαρίλαου,ΠΑΠΑΝΤΩΝΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΠΕΤΡΑΚΟΠΟΥΛΟΣ ΦΩΤΙΟΣ του Παναγιώτη,ΠΕΤΡΟΠΟΥΛΟΥ ΧΡΙΣΤΙΝΑ του Νικολάου,ΤΣΙΧΛΑΚΗ ΔΗΜΗΤΡΑ του Σταύρου,κοινωνία αξιών,ΣΙΑΒΕΛΗΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΑΝΔΡΕΑΔΟΥ ΝΑΤΑΛΙΑ του Γεωργίου,ΖΕΠΠΟΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΜΑΥΡΟΜΜΑΤΗ ΖΕΠΠΟΥ ΑΡΓΥΡΩ του Νικολάου,ΠΟΛΥΧΡΟΝΗΣ ΔΗΜΗΤΡΙΟΣ του Σίμου,ΦΩΤΕΙΝΟΣ ΚΩΝΑΣΤΑΝΤΙΝΟΣ του Ιωάννη,Ο.Α.Κ.Κ.Ε.,ΘΕΟΔΩΡΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Διονυσίου,Μ-Λ Κ.Κ.Ε.,ΚΑΤΣΑΦΑΔΟΣ ΣΠΥΡΙΔΩΝ του Γεωργίου,Ελλήνων Συνέλευσις,ΑΡΒΑΝΙΤΗ ΑΓΓΕΛΙΚΗ του Παναγιώτη,ΓΕΩΡΓΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Βασιλείου,ΚΑΝΔΥΛΑΣ ΣΩΤΗΡΙΟΣ του Δημητρίου,ΠΑΥΛΟΠΟΥΛΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Ανδρέα,ΠΕΤΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Μιχαήλ,ΣΑΜΨΩΝΑ ΑΘΗΝΑ του Σπυρίδων,ΤΣΕΡΠΕΣ ΧΡΟΝΗΣ του Ευσταθίου,Ένωση Κεντρώων,ΓΑΛΛΟΥ ΠΑΝΑΓΙΩΤΑ του Αδάμ,ΔΙΟΝΥΣΟΠΟΥΛΟΥ ΔΗΜΗΤΡΑ του Σωτηρίου,ΚΑΖΑΝΗΣ ΔΗΜΟΣΘΕΝΗΣ του Κωνσταντίνου,ΜΠΕΤΣΙΟΣ ΣΠΥΡΙΔΩΝ του Κωνσταντίνου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΨΑΡΡΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Κωνσταντίνου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΓΚΙΖΑ ΚΑΛΛΙΡΟΗ του Κωνσταντίνου,ΚΑΡΑΜΠΑΤΣΟΣ ΑΘΑΝΑΣΙΟΣ του Βασιλείου,ΠΑΠΑΓΕΩΡΓΑΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Βασιλείου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΛΑΖΑΝΗΣ ΧΑΡΑΛΑΜΠΟΣ του Νικολάου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΜΙΧΑΛΑΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Παναγιώτη,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΟΥΒΕΛΑΣ ΒΑΣΙΛΕΙΟΣ του Αλεξίου,ΣΑΡΕΛΛΑ ΧΡΙΣΤΙΝΑ του Φωτίου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΓΚΟΡΓΚΟΛΙΑ ΕΙΡΗΝΗ του Σταύρου,ΓΡΑΜΜΑΤΙΚΑΚΗΣ ΠΑΝΑΓΙΩΤΗΣ του Χριστόδουλου,ΚΟΥΒΑΤΣΟΥ ΦΩΤΕΙΝΗ του Κωνσταντίνου,ΜΠΕΝΕΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ (ΓΑΒΡΙΗΛ) του Δημητρίου,ΝΤΡΟΥΛΙΑΣ (ΔΡΟΥΛΙΑΣ) ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΕΑΝ...,ΧΑΡΑΛΑΜΠΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Χαραλάμπους,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΛΑΜΠΡΑΚΟΣ ΛΑΜΠΡΟΣ του Γεωργίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΤΑΣΙΟΥΛΑ ΛΑΜΠΡΙΝΗ του Αλεξάνδρου
46 - Μεσσηνίας,1 E.T. Δήμου Δυτικής Μάνης,636,397,8,2,10,387,186,186,38,24,49,37,59,78,73,38,3,6,11,12,8,43,26,17,9,5,2,2,3,1,36,0,28,3,7,0,2,10,22,9,4,4,8,5,1,4,6,1,1,2,0,1,1,1,3,1,2,2,1,1,1,0,0,4,1,0,1,0,0,0,1,3,2,0,0,0,0,0,0,8,2,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,1,1,2,2,4,3,1,2,1,1,0,0,0,0,0,2,1,1,1,0,0,2,2,1,0,3,2
46 - Μεσσηνίας,2 E.T. Δήμου Δυτικής Μάνης,449,311,4,3,7,304,148,148,35,12,38,33,22,89,58,29,4,7,8,14,5,32,27,7,8,6,4,5,1,8,18,6,8,1,4,1,0,4,10,1,4,3,3,3,0,2,13,1,3,3,2,5,2,3,5,3,4,0,1,1,0,0,0,4,0,0,0,0,1,2,0,1,1,1,1,0,0,0,1,5,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,2,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,5,4
46 - Μεσσηνίας,3 E.T. Δήμου Δυτικής Μάνης,94,68,1,1,2,66,37,37,4,3,9,12,13,9,7,3,1,0,0,4,0,3,2,0,0,1,0,0,1,0,4,2,2,0,1,1,0,1,3,1,2,3,0,0,0,0,2,0,0,1,0,1,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46 - Μεσσηνίας,4 E.T. Δήμου Δυτικής Μάνης,438,266,4,4,8,258,126,126,15,21,49,37,19,44,46,16,1,10,10,14,0,25,28,8,14,6,2,4,1,0,19,5,16,0,0,0,1,9,12,4,4,1,0,1,3,2,6,2,1,0,2,0,0,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3
46 - Μεσσηνίας,5 E.T. Δήμου Δυτικής Μάνης,253,157,4,2,6,151,89,89,3,5,15,11,70,29,18,3,0,1,5,8,5,9,14,6,7,3,1,4,0,2,7,0,6,1,0,1,1,4,2,0,0,0,0,0,0,0,4,0,1,1,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,3,3,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
46 - Μεσσηνίας,6 E.T. Δήμου Δυτικής Μάνης,190,94,2,0,2,92,50,50,7,7,29,4,8,23,15,4,0,3,0,8,0,7,1,1,0,0,0,1,0,0,7,0,6,3,0,0,0,1,7,0,1,3,1,2,0,1,4,0,0,0,0,0,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2
46 - Μεσσηνίας,7 E.T. Δήμου Δυτικής Μάνης,503,349,7,0,7,342,158,158,45,19,63,20,41,54,43,8,1,8,4,19,2,10,22,4,13,2,2,6,4,0,72,5,70,1,7,0,0,15,17,2,2,0,3,7,1,3,3,0,0,0,0,0,1,0,5,3,4,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,2,0,1,0,0,1,5,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
46 - Μεσσηνίας,8 E.T. Δήμου Δυτικής Μάνης,294,171,0,1,1,170,73,73,14,5,32,17,15,19,37,7,1,4,9,17,7,14,23,15,2,0,1,6,2,1,14,5,10,0,3,1,0,6,9,5,2,2,2,0,3,1,2,0,0,0,0,0,0,0,7,5,4,3,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
46 - Μεσσηνίας,9 E.T. Δήμου Δυτικής Μάνης,538,289,10,3,13,276,118,118,10,25,49,31,24,38,44,16,3,5,7,5,9,29,32,9,20,6,4,6,4,3,42,7,26,1,3,1,0,28,7,0,0,1,1,1,2,2,5,1,1,0,2,3,0,0,1,0,1,1,0,0,0,0,0,7,2,2,0,0,1,1,0,0,0,1,1,1,0,0,0,8,2,1,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,6,3
46 - Μεσσηνίας,10 E.T. Δήμου Δυτικής Μάνης,545,280,6,0,6,274,135,135,16,17,25,49,19,67,44,10,3,9,10,7,6,26,25,9,7,5,3,8,7,0,17,1,7,0,1,0,0,16,14,3,3,3,1,4,2,4,4,0,1,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,3,2,1,3,0,0,0,0,1,1,0,7,6,1,6,0,0,6,5,1,1,7,5
46 - Μεσσηνίας,11 E.T. Δήμου Δυτικής Μάνης,138,66,0,1,1,65,36,36,14,4,5,4,19,13,5,1,0,0,2,1,2,1,4,3,0,1,0,2,0,0,5,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3
46 - Μεσσηνίας,12 E.T. Δήμου Δυτικής Μάνης,486,197,8,3,11,186,69,69,12,7,12,9,12,44,40,8,5,2,12,8,4,18,9,2,6,3,1,1,1,1,44,9,30,2,5,1,1,24,2,1,0,0,0,0,0,0,6,1,0,0,1,1,0,2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,9,5
46 - Μεσσηνίας,13 E.T. Δήμου Δυτικής Μάνης,226,97,1,1,2,95,36,36,9,5,5,4,12,19,26,10,3,6,3,2,0,14,9,3,0,2,2,0,2,2,5,0,4,0,0,0,0,2,5,2,0,0,1,1,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
46 - Μεσσηνίας,14 E.T. Δήμου Δυτικής Μάνης,357,143,0,1,1,142,96,96,20,16,30,27,9,38,14,2,2,0,2,0,2,7,12,2,7,4,0,1,1,1,3,1,0,0,1,0,0,2,4,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
46 - Μεσσηνίας,15 E.T. Δήμου Δυτικής Μάνης,117,45,1,0,1,44,26,26,3,10,3,6,1,12,1,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,5,2,0,1,2,2,1,1,5,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46 - Μεσσηνίας,16 E.T. Δήμου Δυτικής Μάνης,235,90,1,0,1,89,37,37,3,6,9,7,5,20,25,5,1,6,12,2,5,14,9,3,3,1,0,2,4,1,4,0,3,0,0,0,0,3,2,1,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
46 - Μεσσηνίας,17 E.T. Δήμου Δυτικής Μάνης,414,109,2,1,3,106,51,51,2,12,13,7,12,21,21,1,1,1,10,7,3,9,9,3,5,2,0,1,0,1,3,0,0,0,0,0,0,3,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,5,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5,4
46 - Μεσσηνίας,18 E.T. Δήμου Δυτικής Μάνης,539,257,6,0,6,251,103,103,23,14,29,33,17,35,48,11,8,6,12,5,7,22,32,14,8,1,2,18,3,3,24,3,11,3,1,0,0,11,11,5,3,2,2,2,0,3,8,2,0,1,3,0,1,4,2,2,2,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,0,1,0,1,1,1,1,0,3,1,0,0,0,0,0,0,1,0,4,3
46 - Μεσσηνίας,19 E.T. Δήμου Δυτικής Μάνης,475,278,16,2,18,260,102,102,25,3,32,29,17,37,46,18,6,6,10,3,7,23,27,5,5,10,2,10,3,2,23,10,4,1,1,2,0,11,12,5,3,0,1,3,1,5,13,3,2,0,7,2,0,3,4,3,4,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,4,1,0,1,0,0,4,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,2,1,0,0,0,4,4,1,1,1,0,0,0,0,0,0,1,0,0,0,11,9
