ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΚΕΦΑΛΟΓΙΑΝΝΗΣ ΙΩΑΝΝΗΣ του Αχιλλέα,ΝΙΚΗΦΟΡΟΥ ΑΡΤΕΜΙΣ του Γεωργίου,ΠΑΠΑΔΑΚΗ ΔΕΣΠΟΙΝΑ του Εμμανουήλ,ΤΣΟΥΝΤΑΝΗΣ ΓΑΒΡΙΗΛ του Ιωάννη,ΣΥΡΙΖΑ,ΔΟΥΛΟΥΜΠΕΚΗΣ ΘΕΟΔΩΡΟΣ του Ευάγγελου,ΚΙΑΓΙΑ ΣΤΥΛΙΑΝΗ ΒΑΡΒΑΡΑ του Θωμά,ΜΑΝΟΥΣΑΚΗ ΧΡΥΣΟΥΛΑ του Νικολάου,ΞΑΝΘΟΣ ΑΝΔΡΕΑΣ του Γεωργίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΚΟΤΖΑΝΑΚΗ ΚΑΣΑΝΔΡΑ του Γεωργίου,ΜΙΧΑΛΑ ΕΛΕΥΘΕΡΙΑ του Ελευθερίου,ΣΚΟΥΝΤΗΣ ΒΑΣΙΛΕΙΟΣ του Δημητρίου,ΧΝΑΡΗΣ ΕΜΜΑΝΟΥΗΛ του Ιωάννη,Κ.Κ.Ε.,ΔΑΚΑΝΑΛΗ ΙΩΑΝΝΑ του Χαράλαμπου,ΚΑΛΘΙ ΣΙΝΤΟΡΕΛΑ του Ντεντ,ΜΑΝΙΑΒΟΣ ΕΥΣΤΡΑΤΙΟΣ του Σωτηρίου,ΜΑΝΟΥΣΟΓΙΑΝΝΗΣ ΜΑΝΟΥΣΟΣ του Ιωσήφ,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΜΖΕΛΗΣ ΘΩΜΑΣ του Ανδρέα,ΜΩΡΑΪΤΗΣ ΠΑΝΑΓΙΩΤΗΣ του Σταύρου,ΤΣΟΡΑΚΙΔΟΥ ΕΙΡΗΝΗ του Γεωργίου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΝΤΩΝΟΠΟΥΛΟΣ ΑΝΤΩΝΙΟΣ του Αναστασίου,ΤΣΑΚΑΝΑΚΗ ΑΙΚΑΤΕΡΙΝΗ-ΚΑΝΕΛΛΑ του Γεωργίου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΟΚΟΓΙΑΝΝΑΚΗ ΑΝΑΣΤΑΣΙΑ του Ιωάννη,Κ.Κ.Ε. (μ-λ),ΔΕΛΗΓΙΩΡΓΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ (ΑΝΤΡΕΑΣ) του Μιχαήλ,ΠΑΠΠΑ ΧΡΙΣΤΙΝΑ του Κωνσταντίνου,Ο.Κ.Δ.Ε.,ΣΗΦΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αντωνίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΘΕΟΔΩΡΑΚΗΣ  ΜΙΧΑΗΛ του Αναστασίου,ΣΑΒΒΑΚΗ ΕΥΓΕΝΙΑ του Κωνσταντίνου,Κίνημα 21,ΒΑΜΒΟΥΚΑ ΜΑΡΙΝΑ του Γεωργίου,ΝΙΚΟΛΑΚΑΚΗΣ ΜΑΡΚΟΣ του Πέτρου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΤΖΙΝΑΣ ΑΠΟΣΤΟΛΟΣ του Νικηφόρου,ΤΡΟΥΛΑΚΗ ΑΙΚΑΤΕΡΙΝΗ του Μιχαήλ,ΝΙΚΗ,ΡΗΓΙΝΙΩΤΗΣ ΘΕΟΔΩΡΟΣ του Ιωάννου,ΣΤΡΑΤΗΓΑΚΗ ΕΙΡΗΝΗ του Γεωργίου,κοινωνία αξιών,ΔΑΒΑΡΗ ΕΛΕΝΗ (ΕΛΕΝΑ) του Δημητρίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΠΕΤΟΥΣΗΣ ΤΗΛΕΜΑΧΟΣ του Νικολάου,Μ-Λ Κ.Κ.Ε.,ΜΠΑΓΙΑΡΤΑΚΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,Ελλήνων Συνέλευσις,ΒΙΒΙΛΑΚΗΣ ΙΩΑΝΝΗΣ του Ιωάννη,ΚΑΠΝΙΣΤΟΥ ΕΛΕΝΗ του Κωνσταντίνου,ΚΥΜΙΩΝΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΣΤΑΚΚΟΥ ΚΟΝΤΕΣΣΑ του Σπύρου,Ένωση Κεντρώων,ΑΡΑΠΑΚΗΣ ΑΘΑΝΑΣΙΟΣ του Νικολάου,ΝΟΥΦΡΑΚΗ ΑΘΑΝΑΣΙΑ του Σπυρίδωνα,ΧΑΒΑΡΑΝΗΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΠΑΓΩΝΗΣ ΓΙΑΝΝΗΣ του Δημητρίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΓΙΑΝΝΙΚΑΚΗ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΜΑΡΚΙΔΗΣ ΕΜΜΑΝΟΥΗΛ του Τίτου,ΠΑΓΟΥΡΑΚΗΣ ΣΤΥΛΙΑΝΟΣ του Στυλιανού,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΒΟΓΙΑΤΖΑΚΗ ΕΛΕΝΗ του Εμμανουήλ,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΒΑΓΚΟΤΗ ΕΛΕΝΗ του Ευαγγέλου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΡΟΚΟΥ ΑΙΚΑΤΕΡΙΝΗ του Γεωργίου,Οικολόγοι Πράσινοι,ΚΑΒΑΚΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Πανταζή,ΕΑΝ...,ΠΑΠΑΔΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Στεφάνου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΚΥΡΙΑΚΟΠΟΥΛΟΥ ΜΑΡΙΝΑ του Νικολάου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΒΡΑΝΑΚΗΣ ΓΕΩΡΓΙΟΣ του Εμμανουήλ
54 - Ρεθύμνης,1 E.T. Δήμου Αγίου Βασιλείου,369,228,4,6,10,218,60,41,5,6,5,47,27,1,3,16,47,19,8,5,14,20,9,2,2,3,5,1,0,2,8,0,4,1,1,1,1,0,0,0,1,0,1,2,2,0,0,0,0,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,3,3,0,0,1,1,1,0,1,1,7,7
54 - Ρεθύμνης,2 E.T. Δήμου Αγίου Βασιλείου,384,238,4,2,6,232,95,67,3,6,8,33,7,1,0,23,47,14,13,6,10,11,1,2,0,3,10,4,2,2,10,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,1,0,0,3,2,1,0,6,6,0,0,0,0,3,2
54 - Ρεθύμνης,3 E.T. Δήμου Αγίου Βασιλείου,302,211,5,2,7,204,65,53,8,2,0,26,12,1,3,5,74,70,1,0,2,6,1,1,0,2,6,4,0,1,4,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,12,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0,4,1
54 - Ρεθύμνης,4 E.T. Δήμου Αγίου Βασιλείου,287,204,1,0,1,203,71,58,3,1,4,28,8,0,1,13,67,65,0,1,1,15,1,1,1,8,2,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,5,3,0,0,0,0,3,2
54 - Ρεθύμνης,5 E.T. Δήμου Αγίου Βασιλείου,385,248,1,2,3,245,76,48,7,4,9,74,47,0,0,23,55,22,3,8,18,7,0,0,0,5,2,0,1,0,3,1,1,0,0,0,0,0,0,0,2,1,1,2,1,1,5,1,1,1,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,1,0,2,1,1,1,2,0,1,1,4,0
54 - Ρεθύμνης,6 E.T. Δήμου Αγίου Βασιλείου,367,200,1,2,3,197,67,46,4,1,6,46,28,0,6,9,54,7,1,6,39,10,2,0,0,6,2,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,8,6,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
54 - Ρεθύμνης,7 E.T. Δήμου Αγίου Βασιλείου,254,156,3,2,5,151,64,41,6,6,6,27,5,0,2,16,31,11,2,8,8,1,1,0,0,0,6,1,2,1,4,1,1,0,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,2,2
54 - Ρεθύμνης,8 E.T. Δήμου Αγίου Βασιλείου,75,43,0,0,0,43,10,7,0,1,0,11,2,0,0,9,8,0,6,0,2,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54 - Ρεθύμνης,9 E.T. Δήμου Αγίου Βασιλείου,304,222,0,0,0,222,69,52,1,2,10,52,24,0,1,24,82,6,8,9,56,6,2,0,0,3,1,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
54 - Ρεθύμνης,10 E.T. Δήμου Αγίου Βασιλείου,236,133,1,1,2,131,35,20,3,6,4,25,12,0,0,9,37,7,4,7,14,6,3,0,0,2,6,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,4,2,2,0,1,0,0,0,0,0,2,0,1,0,0,0,5,2
54 - Ρεθύμνης,11 E.T. Δήμου Αγίου Βασιλείου,281,187,1,0,1,186,84,64,3,14,1,36,5,3,3,25,36,10,6,5,15,6,2,0,0,1,4,2,0,1,4,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,6,5
54 - Ρεθύμνης,12 E.T. Δήμου Αγίου Βασιλείου,220,141,2,1,3,138,49,30,3,3,2,25,11,0,1,10,27,10,4,4,6,2,0,0,0,0,5,0,3,1,4,0,1,3,3,0,0,0,0,0,1,0,0,3,1,2,1,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,6,0,0,1,0,0,0,1,1,1,0,0,0,3,2
54 - Ρεθύμνης,13 E.T. Δήμου Αγίου Βασιλείου,214,155,1,1,2,153,55,38,2,5,8,37,4,0,24,7,33,7,5,5,14,5,2,1,0,1,7,3,3,0,1,0,1,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,1,1,1,0,0,1,0,0,0,0,0,3,3
54 - Ρεθύμνης,14 E.T. Δήμου Αγίου Βασιλείου,243,163,2,1,3,160,46,32,2,1,6,33,17,0,1,15,43,8,2,10,23,7,4,0,0,2,5,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2,2,2,0,0,0,0,1,0,1,0,0,0,0,0,9,7
54 - Ρεθύμνης,15 E.T. Δήμου Αγίου Βασιλείου,403,234,4,2,6,228,93,58,10,7,10,30,6,0,12,11,46,18,0,4,22,25,4,0,0,15,2,1,1,0,4,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,11,8,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,1,5,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,3,1
54 - Ρεθύμνης,16 E.T. Δήμου Αγίου Βασιλείου,397,220,3,0,3,217,54,38,3,4,3,51,5,3,5,33,39,12,2,4,20,39,10,0,0,19,5,0,3,2,4,1,2,0,0,1,0,1,0,0,0,0,0,2,2,0,1,0,0,7,6,1,0,0,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,3,1,1,1,0,0,2,0,1,1,1,1,0,0,0,0,2,1
