ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΓΙΟΓΙΑΚΑΣ ΒΑΣΙΛΕΙΟΣ του Νικολάου,ΝΤΟΥΜΑ ΕΡΙΚΑ του Βασιλείου,ΠΑΠΑΓΙΑΝΝΗΣ ΙΩΑΝΝΗΣ του Λαμπρινού,ΣΥΡΙΖΑ,ΓΟΓΟΛΟΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΚΑΤΣΗΣ ΜΑΡΙΟΣ του Σπυρίδωνα,ΣΤΕΡΓΙΟΥ ΑΝΝΑ του Ιωάννη,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΚΑΤΣΙΟΣ ΧΡΗΣΤΟΣ του Μιχαήλ,ΜΕΜΜΟΥ ΑΓΓΕΛΙΚΗ του Θεολόγου,ΤΑΤΣΗ ΜΑΓΔΑΛΗΝΗ (ΜΑΓΔΑ) του Αναστασίου,Κ.Κ.Ε.,ΓΕΩΡΓΙΟΥ ΧΡΥΣΗΙΔΑ του Κωνσταντίνου,ΔΗΜΑ ΑΙΚΑΤΕΡΙΝΗ του Θεοδώρου,ΠΑΠΑΓΙΑΝΝΗΣ ΘΕΟΔΩΡΟΣ του Ιωάννη,Ελληνική Λύση - Κ. Βελόπουλος,ΑΡΒΑΝΙΤΗ ΔΗΜΗΤΡΑ του Αδάμ - Χρήστου,ΜΠΙΛΛΑΣ ΔΗΜΗΤΡΙΟΣ του Θεοδώρου,ΠΑΝΑΓΙΩΤΟΥ ΔΗΜΗΤΡΙΟΣ του Κωνσταντίνου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΠΑΠΑΖΟΓΛΟΥ ΓΕΩΡΓΙΑ του Κωνσταντίνου,ΠΑΠΠΑΣ ΝΙΚΟΛΑΟΣ του Λαζάρου,ΤΣΑΚΙΡΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΠΕΤΡΙΤΗ ΚΥΡΙΑΚΗ του Παναγιώτη,Κ.Κ.Ε. (μ-λ),ΑΝΑΣΤΑΣΙΟΥ ΧΡΙΣΤΙΝΑ του Θωμά,ΜΟΥΣΕΛΙΜΗΣ ΛΑΜΠΡΟΣ του Παναγιώτη,ΝΕΙΛΑΣ ΓΕΩΡΓΙΟΣ του Νικολάου,Ο.Κ.Δ.Ε.,ΑΝΔΡΙΩΤΗΣ ΚΥΡΙΑΚΟΣ του Νικολάου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΟΥΡΤΗ ΙΟΥΛΙΑ του Επαμεινώνδα,ΛΙΑΜΠΟΤΗΣ ΣΩΤΗΡΙΟΣ του Ευαγγέλου,ΣΟΥΡΛΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,Κίνημα 21,ΡΕΣΒΑΝΗΣ ΗΛΙΑΣ του Νικολάου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΜΠΙΚΑΣ ΒΑΣΙΛΕΙΟΣ του Γεωργίου,ΝΙΚΗ,ΠΑΠΑΒΑΣΙΛΕΙΟΥ ΑΡΕΤΗ του Βασιλείου,κοινωνία αξιών,ΡΕΓΚΟΣ ΚΥΡΙΑΚΟΣ του Αντωνίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΣΙΔΗΡΟΠΟΥΛΟΣ ΙΑΚΩΒΟΣ του Ιωάννη,Ο.Α.Κ.Κ.Ε.,ΠΑΠΑΓΕΩΡΓΙΟΥ ΦΩΤΙΟΣ του Θεολόγου,Μ-Λ Κ.Κ.Ε.,ΧΟΒΟΛΟΣ ΘΕΟΔΩΡΟΣ του Ιωάννη,Ελλήνων Συνέλευσις,ΔΗΜΗΤΡΙΟΥ ΑΙΚΑΤΕΡΙΝΗ του Νικολάου,ΤΣΙΡΩΝΗΣ ΣΥΜΕΩΝ του Ιωάννη,Ένωση Κεντρώων,ΜΠΕΡΑΤΗΣ ΠΕΤΡΟΣ - ΕΥΣΤΑΘΙΟΣ του Ανδρέα,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΚΟΥΡΚΟΥΛΗ ΚΕΛΛΥ του Γεωργίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΔΗΜΗΤΡΙΟΥ ΒΑΣΙΛΕΙΟΣ του Νικολάου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΠΑΥΛΙΔΟΥ-ΘΩΜΑ ΑΛΕΞΑΝΔΡΑ (ΒΑΒΩ) του Βασιλείου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΣΓΟΥΡΙΔΗΣ ΧΡΗΣΤΟΣ του Σεραφείμ,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΒΑΣΙΛΕΙΟΥ ΘΩΜΑΣ του Χρήστου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΓΙΑΝΝΑΚΟΠΟΥΛΟΣ ΜΙΧΑΗΛ ΙΩΑΝΝΗΣ ΘΕΟΧΑΡΗΣ του Νικολάου
20 - Θεσπρωτίας,1 E.T. Δήμου Ηγουμενίτσας,272,169,0,1,1,168,59,49,1,1,52,28,18,3,18,5,3,10,6,0,4,0,2,2,0,0,2,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,4,1,2,1,3,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,10,5,0,0,1,0,1,1,3,1
20 - Θεσπρωτίας,2 E.T. Δήμου Ηγουμενίτσας,341,241,3,1,4,237,91,74,4,7,66,33,21,2,37,17,1,18,7,1,2,1,2,1,1,0,3,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,2,2,13,10,0,0,0,0,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,2,2,0,0,7,3
20 - Θεσπρωτίας,3 E.T. Δήμου Ηγουμενίτσας,563,254,11,0,11,243,68,54,1,7,88,1,85,1,34,13,1,15,16,0,6,4,5,1,0,1,2,0,2,0,1,1,2,0,0,1,0,0,4,0,3,1,5,4,1,1,7,7,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,3,3
20 - Θεσπρωτίας,4 E.T. Δήμου Ηγουμενίτσας,395,242,10,3,13,229,96,72,9,3,66,10,44,2,32,7,3,22,10,1,5,2,4,1,0,0,4,2,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,2,1,4,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3,2
20 - Θεσπρωτίας,5 E.T. Δήμου Ηγουμενίτσας,387,238,4,3,7,231,98,85,5,5,59,7,34,10,33,2,1,27,4,0,1,1,6,4,0,1,14,4,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2
20 - Θεσπρωτίας,6 E.T. Δήμου Ηγουμενίτσας,393,235,2,1,3,232,90,75,8,3,66,11,42,3,43,4,3,32,6,1,1,3,3,1,0,1,4,3,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,2,2,7,7,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,4,3
20 - Θεσπρωτίας,7 E.T. Δήμου Ηγουμενίτσας,534,378,7,3,10,368,144,102,9,19,88,12,56,3,56,11,9,32,12,2,3,3,9,1,0,2,6,4,0,1,1,1,2,0,0,2,0,0,1,0,1,0,4,3,10,6,12,10,1,0,1,0,0,0,3,2,1,1,0,2,0,0,0,7,5,0,0,1,1,0,0,7,7
20 - Θεσπρωτίας,8 E.T. Δήμου Ηγουμενίτσας,532,287,23,2,25,262,113,98,8,2,67,8,39,8,24,3,0,19,14,1,7,4,7,1,1,2,9,5,1,0,3,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,3,2,0,0,0,0,1,1,6,2
20 - Θεσπρωτίας,9 E.T. Δήμου Ηγουμενίτσας,532,321,13,1,14,307,152,129,9,5,71,7,50,4,29,6,3,18,11,0,2,2,3,0,0,1,4,2,0,1,1,1,2,0,1,1,0,0,6,1,2,2,3,1,6,4,9,5,0,0,0,0,0,0,2,0,1,1,0,2,2,0,0,2,1,0,0,0,0,0,0,3,2
20 - Θεσπρωτίας,10 E.T. Δήμου Ηγουμενίτσας,538,296,2,0,2,294,111,89,3,7,72,5,48,5,41,14,0,23,15,1,6,3,5,1,0,1,11,7,1,0,0,0,0,0,0,0,0,0,2,0,1,1,5,3,5,3,6,3,0,0,0,0,1,1,0,0,1,1,0,2,1,0,0,4,0,1,0,0,0,1,0,11,3
20 - Θεσπρωτίας,11 E.T. Δήμου Ηγουμενίτσας,535,274,10,5,15,259,110,81,10,10,64,4,43,8,42,7,5,28,7,0,4,2,4,1,0,3,8,2,0,1,1,0,0,0,0,0,2,1,3,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,5,4,0,0,2,2,1,0,3,0
20 - Θεσπρωτίας,12 E.T. Δήμου Ηγουμενίτσας,542,301,2,1,3,298,137,113,8,7,70,12,46,5,32,7,4,15,17,3,6,1,8,3,1,3,9,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,3,2,0,0,0,0,3,2,0,0,1,1,0,0,0,0,0,5,5,0,0,1,1,4,3,4,2
20 - Θεσπρωτίας,13 E.T. Δήμου Ηγουμενίτσας,539,295,7,1,8,287,135,93,7,15,53,9,31,4,34,2,2,29,23,3,9,4,5,3,0,1,6,2,0,1,0,0,1,0,0,1,2,2,4,1,1,0,1,1,2,0,4,4,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,4,2,1,0,0,0,0,0,7,2
20 - Θεσπρωτίας,14 E.T. Δήμου Ηγουμενίτσας,539,325,5,0,5,320,118,87,7,9,71,13,49,2,63,12,1,41,12,1,4,3,12,4,2,1,8,3,0,0,0,0,2,0,0,1,0,0,1,0,0,0,2,1,3,2,9,4,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,6,5,0,0,0,0,1,1,8,4
20 - Θεσπρωτίας,15 E.T. Δήμου Ηγουμενίτσας,546,264,3,0,3,261,99,77,6,6,58,7,39,3,36,6,6,23,20,2,5,10,8,2,1,0,7,0,1,2,2,1,1,0,0,0,1,1,5,0,4,0,2,2,2,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,8,4
