ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΒΛΑΧΟΓΙΑΝΝΗΣ ΗΛΙΑΣ του Γεωργίου,ΛΙΟΥΤΑΣ ΑΘΑΝΑΣΙΟΣ του Αχιλλέα,ΞΑΝΘΗ ΧΑΡΙΚΛΕΙΑ του Ματθαίου,ΠΑΠΑΚΩΣΤΑ-ΠΑΛΙΟΥΡΑ ΑΙΚΑΤΕΡΙΝΗ (ΚΑΤΕΡΙΝΑ) του Δημητρίου,ΣΚΡΕΚΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θεοδώρου,ΧΑΤΖΗΓΑΚΗΣ ΜΙΧΑΗΛ (ΜΙΚΕΛΗΣ) του Σωτηρίου,ΣΥΡΙΖΑ,ΔΡΙΤΣΕΛΗ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΚΟΝΤΟΤΟΛΗ ΜΑΡΙΝΑ του Γεωργίου,ΣΙΜΟΡΕΛΗΣ ΧΡΗΣΤΟΣ του Βασιλείου,ΤΣΙΚΡΙΚΑΣ ΕΛΕΥΘΕΡΙΟΣ του Βασιλείου,ΧΑΪΔΟΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΧΑΡΤΟΠΟΥΛΟΥ ΠΕΡΙΣΤΕΡΑ (ΠΕΡΥ) του Μενελάου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΖΟΛΩΤΑ ΣΤΥΛΙΑΝΗ (ΛΙΑΝΑ) του Γεωργίου,ΗΛΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Προκοπίου,ΚΑΡΡΑ - ΖΟΥΖΟΥΛΑ ΙΩΑΝΝΑ του Βάιου,ΚΩΣΤΟΥΛΗΣ ΧΡΗΣΤΟΣ του Ζήση,ΜΠΛΕΤΣΑΣ ΣΩΤΗΡΙΟΣ του Σεραφείμ,ΟΙΚΟΝΟΜΟΥ ΓΕΩΡΓΙΟΣ του Χρήστου,Κ.Κ.Ε.,ΚΑΪΚΗΣ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,ΚΑΝΤΑΡΤΖΗΣ ΑΧΙΛΛΕΑΣ του Κλεομένη,ΚΑΠΕΤΗ ΓΕΩΡΓΙΑ του Παντελή,ΛΙΑΤΙΦΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΝΤΟΥΡΛΙΟΣ ΛΑΜΠΡΟΣ του Νικολάου,ΣΤΑΜΟΥ ΕΥΘΥΜΙΑ του Ελευθερίου,Ελληνική Λύση - Κ. Βελόπουλος,ΑΡΓΥΡΟΠΟΥΛΟΥ ΧΑΡΑΛΑΜΠΙΑ του Κωνσταντίνου,ΚΑΛΑΜΠΟΥΚΑΣ ΝΙΚΟΛΑΟΣ του Ματθαίου,ΚΑΤΣΙΛΟΓΙΑΝΝΗ ΕΛΕΝΗ του Αθανασίου,ΜΠΑΚΑΛΗΣ ΑΝΤΩΝΙΟΣ του Ελευθερίου,ΠΑΠΟΥΛΙΔΗΣ ΘΕΟΔΩΡΟΣ του Γεωργίου,ΤΣΙΟΥΜΑΣ ΛΕΩΝΙΔΑΣ του Γεωργίου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΓΚΟΤΑΣ ΕΥΘΥΜΙΟΣ του Ιωάννη,ΚΟΚΟΡΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΜΑΝΙΚΑΣ ΔΗΜΗΤΡΙΟΣ του Βάιου,ΜΑΡΑΓΚΟΥ ΙΟΒΗ του Γεωργίου,ΜΠΕΓΛΕΡΙΔΟΥ ΕΛΕΝΗ του Αλέξανδρου,ΠΑΠΑΘΑΝΑΣΙΟΥ ΔΗΜΗΤΡΙΟΣ του Μιχαήλ,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΓΙΑΝΝΕΤΟΒΑ ΛΕΝΚΑ του Αιμήλ,ΝΙΖΑΜΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΣΑΜΟΥΤΗΣ ΘΩΜΑΣ του Δημητρίου,Κ.Κ.Ε. (μ-λ),ΓΚΟΥΝΤΟΥΡΑ ΕΥΑΓΓΕΛΗ του Ιωάννη,ΖΟΛΩΤΑ ΕΥΑΓΓΕΛΗ (ΕΛΙΖΑ) του Γεωργίου,ΜΠΑΛΑΦΑΣ ΓΡΗΓΟΡΙΟΣ του Νικολάου,ΣΑΠΟΥΝΑ ΕΥΑΓΓΕΛΙΑ του Ιωάννη,ΤΟΥΦΕΞΙΔΗΣ ΑΘΑΝΑΣΙΟΣ του Δημητρίου,Ο.Κ.Δ.Ε.,ΑΝΔΡΙΩΤΗΣ ΧΡΗΣΤΟΣ του Νικολάου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΝΤΑΡΑΣ ΛΑΜΠΡΟΣ του Χρήστου,ΜΗΤΡΟΠΑΝΟΥ ΜΥΡΣΙΝΗ του Δημητρίου,ΠΡΕΚΑΤΕΣ ΧΡΗΣΤΟΣ του Αντωνίου,ΤΑΧΟΥ ΕΥΑΓΓΕΛΙΑ (ΕΥΗ) του Δημητρίου,Κίνημα 21,ΜΠΙΤΟΣ ΗΛΙΑΣ του Γεωργίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΚΡΙΝΗΣ ΑΝΤΩΝΙΟΣ του Ελευθερίου,ΠΡΙΝΙΩΤΑΚΗ ΑΙΜΙΛΙΑ του Ιωάννη,ΣΕΠΥΡΓΙΩΤΗ ΑΓΓΕΛΙΚΗ του Ευσταθίου,ΤΣΙΑΣΙΩΤΗΣ ΒΑΣΙΛΕΙΟΣ του Ηλία,ΝΙΚΗ,ΑΥΤΖΟΓΛΟΥ ΑΙΚΑΤΕΡΙΝΗ του Ιωάννη,ΓΕΩΡΓΑΔΑΚΗ ΙΦΙΓΕΝΕΙΑ του Γεωργίου,ΚΑΛΑΜΠΑΚΑΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΠΑΛΛΑΣ ΦΩΤΙΟΣ του Γεωργίου,κοινωνία αξιών,ΤΥΜΠΑΣ ΓΡΗΓΟΡΙΟΣ του Ηλία,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΑΖΑΣ ΧΡΗΣΤΟΣ του Γεωργίου,Ο.Α.Κ.Κ.Ε.,ΒΑΣΚΟΣ ΣΩΤΗΡΙΟΣ του Αθανασίου,Μ-Λ Κ.Κ.Ε.,ΣΤΑΥΡΙΔΟΥ ΑΝΝΑ του Πολυχρόνη,Ελλήνων Συνέλευσις,ΒΑΣΙΛΕΙΟΥ ΣΤΕΦΑΝΟΣ του Βασίλειου,ΛΙΑΠΗ ΕΙΡΗΝΗ ΚΩΝΣΤΑΝΤΙΝΑ του Δημητρίου,Ένωση Κεντρώων,ΓΟΥΡΓΙΩΤΗ ΣΤΑΜΑΤΙΑ του Κωνσταντίνου,ΜΗΤΡΟΠΟΥΛΟΥ ΑΓΑΘΗ του Διονύσιου,ΣΚΛΗΒΑΓΚΟΣ ΣΤΑΥΡΟΣ του Βασιλείου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΚΑΛΟΓΗΡΟΣ ΠΑΝΑΓΙΩΤΗΣ του Χρήστου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΓΚΟΛΙΑ ΓΙΑΝΝΟΥΛΑ του Φωτίου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΜΠΑΛΑΝΗΣ ΑΓΓΕΛΟΣ του Γρηγορίου,Κ.Ο.Τ.Ε.Σ.,ΜΠΑΤΑΛΑΣ ΠΑΥΛΟΣ του Στεφάνου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΠΑΠΠΑΣ ΙΩΑΝΝΗΣ του Θεοδώρου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΑΝΤΑΡΗΣ ΧΡΗΣΤΟΣ του Ιωάννη,ΓΕΡΟΚΩΣΤΑ ΠΑΡΑΣΚΕΥΗ του Σωτηρίου,ΔΕΛΙΤΖΙΑΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΛΑΛΑ ΒΑΓΓΙΕΛ του Παντελή,ΜΠΟΖΟΒΙΤΗ ΙΩΑΝΝΑ του Κωνσταντίνου,ΜΠΟΥΛΟΓΕΩΡΓΟΣ ΑΘΑΝΑΣΙΟΣ του Αριστείδη,Οικολόγοι Πράσινοι,ΤΖΑΝΑ ΑΙΚΑΤΕΡΙΝΗ του Γεωργίου,ΕΑΝ...,ΚΟΤΟΠΟΥΛΗΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΚΑΝΕΛΑΣ ΠΑΝΑΓΙΩΤΗΣ του Βασιλείου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΖΩΓΑΝΑΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου
24 - Τρικάλων,1 E.T. Δήμου Μετεώρων,184,104,0,0,0,104,53,7,42,1,2,12,4,19,3,5,7,4,11,1,7,0,2,2,0,0,4,10,4,4,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
24 - Τρικάλων,2 E.T. Δήμου Μετεώρων,581,371,3,2,5,366,247,63,50,24,40,104,110,49,19,14,12,8,15,5,19,2,4,8,6,0,13,23,9,14,0,2,2,2,4,3,0,1,2,0,1,5,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2,0,0,1,1,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,2,2,1,1,1,1,2,1
24 - Τρικάλων,3 E.T. Δήμου Μετεώρων,436,301,3,0,3,298,168,22,74,4,45,75,32,46,12,14,14,4,15,1,27,4,7,1,7,5,12,10,2,4,1,1,3,2,7,0,2,1,3,0,0,8,1,3,0,3,3,4,4,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,2,2,1,1,0,8,2,1,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,1,0,0,1,2,2,0,0,0,0,6,5
24 - Τρικάλων,4 E.T. Δήμου Μετεώρων,432,224,1,0,1,223,115,8,51,10,31,71,15,31,8,8,11,4,8,4,22,0,4,2,4,1,16,10,3,5,1,1,1,3,11,4,5,1,3,1,1,9,0,0,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,1,0,1,0,4,2,2,1,1,6,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,2,2
24 - Τρικάλων,5 E.T. Δήμου Μετεώρων,408,231,0,0,0,231,115,14,54,6,29,58,35,42,6,23,15,6,22,2,52,7,26,5,6,1,27,4,3,2,1,0,0,0,6,0,2,3,1,0,2,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
24 - Τρικάλων,6 E.T. Δήμου Μετεώρων,499,284,6,0,6,278,97,24,25,5,21,43,25,74,11,50,6,6,14,6,30,2,8,3,7,1,15,19,7,11,1,0,2,6,10,7,0,4,1,1,1,4,1,0,2,0,1,0,4,0,1,3,0,0,0,0,0,0,0,0,4,0,0,0,0,4,2,4,2,2,1,0,14,2,2,9,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,7,4
24 - Τρικάλων,7 E.T. Δήμου Μετεώρων,508,280,4,2,6,274,101,12,32,2,28,47,28,81,17,48,10,4,23,11,41,2,3,3,14,2,28,16,5,12,3,0,1,8,8,3,2,1,1,1,0,2,1,0,0,1,1,0,2,0,0,2,5,0,1,0,1,1,0,0,1,0,1,0,0,1,0,5,0,0,0,4,7,1,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0
24 - Τρικάλων,8 E.T. Δήμου Μετεώρων,496,249,8,1,9,240,109,28,21,3,28,56,19,51,7,36,4,1,9,10,21,2,2,3,5,2,15,21,6,5,1,1,6,5,7,3,0,1,2,0,0,2,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,3,0,1,0,3,0,0,3,1,1,0,0,13,3,1,7,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1
24 - Τρικάλων,9 E.T. Δήμου Μετεώρων,483,253,2,0,2,251,102,14,23,5,22,72,25,61,15,30,12,3,14,12,38,3,9,7,14,2,27,17,6,8,0,2,1,3,4,1,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,2,8,2,0,6,7,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,2,0,1,0,0,1,1,2,2,1,0,0,0,5,4
24 - Τρικάλων,10 E.T. Δήμου Μετεώρων,348,208,9,1,10,198,58,9,13,4,23,37,9,38,15,12,8,1,13,4,25,2,8,1,13,1,8,5,3,3,0,0,0,1,8,2,1,0,0,0,0,6,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,0,0,0,0,35,0,1,31,21,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,2,1,2,0,0,0,3,0,1,3,0,0,0,2,1,0,0,0,0,7,4
24 - Τρικάλων,11 E.T. Δήμου Μετεώρων,349,223,4,1,5,218,79,9,19,5,27,45,23,51,12,19,13,0,16,15,28,3,4,4,7,1,10,22,17,15,1,1,0,5,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,1,1,14,0,0,13,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,4,2
24 - Τρικάλων,12 E.T. Δήμου Μετεώρων,224,144,3,0,3,141,88,13,20,1,28,61,22,12,5,7,2,1,5,1,13,0,5,0,3,0,10,5,0,1,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,1,2,2,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1
24 - Τρικάλων,13 E.T. Δήμου Μετεώρων,545,348,9,2,11,337,142,24,27,8,39,76,39,63,28,30,11,3,9,18,29,2,3,6,17,2,9,37,26,27,1,0,1,1,5,2,1,2,0,0,2,8,1,1,0,1,4,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,3,2,0,0,0,0,0,27,0,1,16,26,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,0,0,2,1,1,0,1,0,0,0,0,1,0,3,3,2,2,1,1,8,6
24 - Τρικάλων,14 E.T. Δήμου Μετεώρων,549,359,6,1,7,352,157,22,46,12,57,79,48,62,20,19,11,2,11,22,38,2,9,5,21,0,14,17,6,7,2,1,2,4,7,3,0,2,0,0,3,10,3,1,2,4,2,2,5,0,0,5,3,2,0,1,0,0,0,0,1,0,0,0,0,2,1,4,2,1,0,0,20,0,1,5,19,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,6,3,1,0,1,1,3,2,4,0,0,2,0,2,0,1,1,1,1,0,0,7,7
24 - Τρικάλων,15 E.T. Δήμου Μετεώρων,553,363,5,1,6,357,130,19,21,9,36,80,32,74,27,25,19,6,13,23,34,1,5,9,13,2,12,19,9,9,2,1,0,6,5,2,0,1,0,1,1,11,2,1,1,1,2,0,5,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,4,3,0,0,2,43,0,0,19,36,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,1,5,4,4,4,2,0,0,1,0,2,1,0,0,4,4,0,0,10,3
24 - Τρικάλων,16 E.T. Δήμου Μετεώρων,558,360,6,1,7,353,138,23,19,10,53,78,39,64,32,29,7,2,8,20,54,4,13,5,30,2,17,27,13,14,5,1,2,5,7,2,1,0,0,0,2,10,2,2,0,1,1,2,3,0,1,3,1,0,0,0,1,1,0,0,2,0,2,2,0,5,3,3,2,1,0,3,18,1,0,9,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,2,1,1,4,0,1,3,0,1,0,4,2,4,4,1,1,2,2
24 - Τρικάλων,17 E.T. Δήμου Μετεώρων,546,367,5,3,8,359,149,27,19,9,35,97,50,77,25,28,13,5,15,29,43,3,4,5,29,2,18,13,5,3,3,0,1,1,3,1,1,1,1,0,1,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,1,6,0,0,0,2,31,2,1,9,20,0,0,1,1,0,0,0,0,1,1,0,2,0,0,1,1,1,2,0,2,0,2,0,4,4,5,0,1,1,1,2,0,2,1,2,2,0,0,1,1
24 - Τρικάλων,18 E.T. Δήμου Μετεώρων,551,355,2,2,4,351,148,27,24,8,45,86,35,55,18,20,4,2,11,19,35,1,10,3,20,1,9,21,5,3,1,0,2,7,9,4,1,3,3,0,1,11,0,2,2,4,4,4,2,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,5,1,1,0,1,33,1,0,11,30,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,10,7,0,0,3,0,1,1,0,0,0,0,0,0,0,4,2,1,1,0,0,6,4
