ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΓΙΩΡΓΟΣ ΙΩΑΝΝΗΣ του Αγγελή,ΚΑΡΑΝΑΣΙΟΣ ΕΥΘΥΜΙΟΣ του Βασιλείου,ΛΑΘΟΥΡΗ-ΠΑΡΓΑ ΜΑΡΙΑ του Σπυρίδωνος,ΜΥΛΩΝΑ ΖΑΦΕΙΡΟΥΛΑ του Δημητρίου,ΤΑΣΙΟΣ ΓΡΗΓΟΡΙΟΣ του Γεωργίου,ΣΥΡΙΖΑ,ΖΑΧΟΥ ΕΛΕΝΗ του Βασιλείου,ΙΓΓΛΕΖΗ ΑΙΚΑΤΕΡΙΝΗ του Θεοδώρου,ΜΑΛΑΜΑ ΚΥΡΙΑΚΗ του Ιωάννη,ΜΟΥΛΑΓΙΑΝΝΙΟΣ ΛΕΩΝΙΔΑΣ του Κωνσταντίνου,ΦΩΤΑΚΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΚΑΝΕΛΗΣ ΑΝΑΣΤΑΣΙΟΣ (ΤΑΣΟΣ) του Αριστείδη,ΚΑΤΣΑΡΟΥ ΑΝΝΑ του Χρήστου,ΜΑΝΤΣΙΟΣ ΑΘΑΝΑΣΙΟΣ του Χρήστου,ΠΑΝΑΣ ΑΠΟΣΤΟΛΟΣ του Νικολάου,ΤΑΡΚΑΣΗ ΒΑΡΒΑΡΑ του Αθανασίου,Κ.Κ.Ε.,ΑΔΑΜΙΔΟΥ ΜΑΡΙΑ του Ευαγγέλου,ΛΥΡΤΖΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΜΑΝΩΛΗΣ ΕΜΜΑΝΟΥΗΛ του Ελευθερίου,ΠΑΝΤΕΛΗΣ ΛΑΖΑΡΟΣ του Αστέριου,ΧΡΙΣΤΙΑΝΟΥ ΑΓΓΕΛΙΚΗ του Νικολάου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΩΝΣΤΑΝΤΙΝΟΥΔΗΣ ΝΙΚΟΛΑΟΣ του Κλεάνθη,ΛΑΜΠΑΔΑΚΗ ΕΥΑΓΓΕΛΙΑ του Γεωργίου,ΤΣΑΛΑΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΦΑΦΟΥΤΗΣ ΛΑΜΠΡΟΣ του Ηλία,ΧΑΤΖΗΓΙΑΝΝΙΔΟΥ ΠΑΝΑΓΙΩΤΑ του Χρήστου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΓΕΡΑΚΗΣ ΓΕΩΡΓΙΟΣ του Χριστόδουλου,ΓΡΑΣΣΟΥ ΚΑΛΛΙΡΡΟΗ (ΗΡΩ) του Γεωργίου,ΣΟΦΤΣΗ ΜΑΡΙΑ του Βασιλείου,ΤΡΙΑΝΤΑΦΥΛΛΟΥ ΜΙΛΤΙΑΔΗΣ (ΜΙΛΤΟΣ) του Μιχαήλ,ΧΟΥΧΟΥΤΑΣ ΝΙΚΗΤΑΣ του Αθανασίου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΡΑΣΤΑΝΑΣ ΑΘΑΝΑΣΙΟΣ του Γεωργίου,ΠΑΠΑΪΩΑΝΝΟΥ ΠΑΡΑΣΚΕΥΗ του Χρήστου,Κ.Κ.Ε. (μ-λ),ΓΕΩΡΓΟΥΔΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,Ο.Κ.Δ.Ε.,ΑΝΤΩΝΙΟΥ ΣΤΕΡΓΙΑΝΗ του Μιχαήλ,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΛΑΧΟΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΣΟΥΝΔΟΥΛΟΥΝΑΚΗ ΙΩΑΝΝΑ του Νικολάου,ΤΑΤΑΛΑΣ ΠΕΤΡΟΣ του Κωνσταντίνου,Κίνημα 21,ΜΟΥΣΤΑΚΑ ΣΟΦΙΑ του Ιερόθεου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΒΑΓΓΛΗΣ ΑΣΤΕΡΙΟΣ (ΣΤΕΡΓΙΟΣ) του Αγγέλου,ΜΙΓΚΟΥ ΠΑΝΑΓΙΩΤΑ ΛΗΤΩ του Θωμά,ΠΑΠΑΠΑΝΑΓΙΩΤΟΥ ΝΙΚΟΛΑΟΣ του Σαραφιανού,ΝΙΚΗ,ΓΙΑΝΝΑΚΟΠΟΥΛΟΥ ΝΙΚΟΛΙΤΣΑ του Σπυρίδωνα,ΖΑΡΤΑΛΟΥΔΗΣ ΖΩΗΣ του Δημητρίου,ΣΤΑΜΑΤΟΠΟΥΛΟΥ ΕΥΓΕΝΙΑ του Μιχαήλ,ΕΛΛΗΝΙΚΟ ΟΡΑΜΑ,ΚΟΥΚΑ ΑΝΝΑ του Βασιλείου,κοινωνία αξιών,ΓΟΥΣΙΟΣ ΓΡΗΓΟΡΙΟΣ του Μιλτιάδου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΑΓΚΟΡΤΖΟΣ ΝΙΚΟΛΑΟΣ του Γεώργιου,ΚΑΡΑΝΤΩΝΗ ΑΝΑΣΤΑΣΙΑ του Κωνσταντίνου,ΡΕΒΕΝΙΚΙΩΤΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,Ο.Α.Κ.Κ.Ε.,ΖΑΦΕΙΡΟΠΟΥΛΟΣ ΗΛΙΑΣ του Γεωργίου,Μ-Λ Κ.Κ.Ε.,ΡΑΠΤΗΣ ΓΕΩΡΓΙΟΣ του Χρήστου,Ελλήνων Συνέλευσις,ΑΛΕΥΡΑΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΜΟΥΣΤΑΚΑ ΜΑΡΙΑ του Παναγιώτη,ΣΑΡΗΓΙΑΝΝΙΔΗΣ ΑΛΚΗΣ του Χρήστου,Ένωση Κεντρώων,ΗΛΙΑΔΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΔΗΜΗΤΡΑ του Νικολάου,ΤΣΙΦΤΣΗΣ ΧΡΗΣΤΟΣ του Μιχαήλ,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΛΙΜΕΝΟΠΟΥΛΟΣ ΣΤΑΥΡΟΣ ΙΟΡΔΑΝΗΣ του Βασιλείου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΑΡΧΟΝΤΟΠΟΥΛΟΥ ΑΙΚΑΤΕΡΙΝΗ του Αντωνίου,ΚΑΡΑΜΙΧΑΛΗΣ ΙΩΑΝΝΗΣ - ΔΗΜΗΤΡΙΟΣ του Παναγιώτη,ΛΟΓΓΙΝΙΔΗΣ ΙΩΑΝΝΗΣ του Λογγίνου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΚΑΡΑΝΤΩΝΑΣ ΑΣΤΕΡΙΟΣ του Δημητρίου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΓΚΕΤΣΟΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΜΠΑΚΡΑΤΣΑΣ ΜΕΝΕΛΑΟΣ του Στάμου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΧΑΤΖΗΙΩΑΝΝΟΥ ΕΥΦΡΟΣΥΝΗ του Γεωργίου,Οικολόγοι Πράσινοι,ΦΑΦΟΥΤΑΚΗ ΟΛΓΑ ΔΙΑΜΑΝΤΩ του Παύλου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΠΑΠΑΔΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Παύλου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΤΡΕΝΤΟΣ ΓΕΩΡΓΙΟΣ του Πέτρου
9 - Χαλκιδικής,1 E.T. Δήμου Αριστοτέλη,482,329,7,3,10,319,139,35,20,4,32,34,22,6,3,4,0,2,46,1,10,4,19,3,22,0,4,3,1,2,21,4,3,3,1,2,6,1,0,3,0,0,2,0,2,0,0,0,0,4,2,0,0,1,0,7,2,0,1,20,5,7,2,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,1,2,2,0,0,1,0,0,0,17,11
9 - Χαλκιδικής,2 E.T. Δήμου Αριστοτέλη,486,335,4,1,5,330,182,39,32,7,30,53,30,0,8,9,1,1,29,1,9,0,10,5,20,3,6,4,0,2,17,3,1,4,0,1,2,0,1,0,0,0,5,0,5,1,0,0,0,0,0,0,0,2,0,3,0,1,1,24,6,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,4,2,5,3
9 - Χαλκιδικής,3 E.T. Δήμου Αριστοτέλη,485,294,14,1,15,279,132,32,23,6,28,27,26,3,6,9,0,3,40,3,7,1,15,6,17,1,3,4,0,1,14,4,1,2,1,1,8,1,1,0,1,2,3,2,0,0,0,0,0,0,0,0,0,5,2,2,1,0,1,17,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,1,0,3,3,0,0,1,1,2,1,5,1
9 - Χαλκιδικής,4 E.T. Δήμου Αριστοτέλη,498,337,6,1,7,330,168,43,20,3,33,51,47,6,1,17,1,7,32,1,11,2,9,0,16,1,1,3,1,2,13,5,1,2,0,1,8,3,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,2,1,0,0,0,0,16,3,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,1,1,1,1,1,3,2,0,0,1,0,2,1,11,3
9 - Χαλκιδικής,5 E.T. Δήμου Αριστοτέλη,476,303,3,2,5,298,134,29,21,3,21,43,31,4,3,13,2,3,27,2,3,1,9,3,16,2,2,3,0,4,21,7,4,3,1,0,5,1,0,0,0,0,9,0,7,0,0,0,0,2,1,1,0,1,1,2,0,0,1,28,2,8,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,4,0,1,0,0,0,1,0,0,0,0,0,2,1,4,4,2,0,3,1,0,0,4,0
9 - Χαλκιδικής,6 E.T. Δήμου Αριστοτέλη,401,256,2,2,4,252,95,29,6,1,32,19,24,2,2,11,1,2,81,1,62,0,14,1,12,3,0,0,1,2,8,2,0,2,0,1,4,0,0,0,0,0,7,0,6,0,0,1,0,0,0,0,0,0,0,2,1,0,0,12,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1
9 - Χαλκιδικής,7 E.T. Δήμου Αριστοτέλη,382,284,2,5,7,277,140,25,22,7,33,39,19,2,2,9,1,1,59,0,53,0,1,0,9,3,1,1,0,1,10,5,0,4,0,1,3,1,1,1,0,0,6,1,5,0,0,1,0,2,0,1,0,0,0,0,0,0,0,14,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,3,1,4,1,1,0,3,1
9 - Χαλκιδικής,8 E.T. Δήμου Αριστοτέλη,493,313,13,2,15,298,151,42,37,7,15,42,40,3,2,23,0,5,31,3,9,0,17,0,21,3,2,7,0,1,8,0,0,1,1,1,7,1,2,0,1,0,2,1,0,0,0,0,0,1,0,0,0,4,2,3,3,0,0,7,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,5,2,2,1,0,0,6,5,4,1,0,0,0,0,0,0,5,2
9 - Χαλκιδικής,9 E.T. Δήμου Αριστοτέλη,498,315,9,3,12,303,131,31,26,7,13,38,45,3,9,27,0,0,52,2,14,1,31,0,10,2,0,5,0,2,14,4,3,1,0,0,5,0,2,2,0,0,3,1,0,2,0,0,0,1,0,1,0,4,1,2,0,1,0,6,2,2,0,0,0,1,1,0,0,0,0,0,0,1,0,3,0,0,3,3,0,0,1,1,1,5,2,0,2,0,0,0,0,1,1,2,1,0,0,3,1,8,4
9 - Χαλκιδικής,10 E.T. Δήμου Αριστοτέλη,412,254,4,4,8,246,107,27,38,8,11,15,28,5,6,11,0,1,28,2,5,0,16,1,16,4,2,4,2,1,16,4,1,4,0,2,6,0,0,0,0,0,2,0,1,0,0,0,0,6,6,0,0,2,2,2,0,1,1,17,2,5,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,2,2,1,0,6,2
9 - Χαλκιδικής,11 E.T. Δήμου Αριστοτέλη,416,263,7,1,8,255,107,30,29,6,9,20,23,1,5,11,1,2,35,2,8,2,18,0,19,4,0,6,0,1,16,2,1,6,1,3,8,4,2,0,0,0,2,0,1,1,1,0,0,7,7,0,0,3,3,1,0,1,0,14,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,2,1,1,0,2,1,1,1,4,4,4,2
9 - Χαλκιδικής,12 E.T. Δήμου Αριστοτέλη,429,285,3,4,7,278,122,39,26,2,22,21,28,2,4,13,1,2,38,1,11,0,15,0,17,2,1,6,1,1,22,8,1,5,0,2,9,1,0,2,2,0,1,0,1,0,0,1,1,5,4,0,0,3,3,5,0,2,1,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,1,0,0,2,1,1,1,0,0,2,1,2,1,7,4
9 - Χαλκιδικής,13 E.T. Δήμου Αριστοτέλη,412,281,5,2,7,274,120,44,24,1,17,19,22,1,3,11,0,2,27,2,6,1,16,0,15,1,2,5,0,2,19,7,2,3,1,0,4,2,0,1,0,0,3,0,3,0,0,0,0,3,2,0,0,3,3,0,0,0,0,24,7,5,5,0,0,1,1,2,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,3,0,0,0,0,7,5,2,2,3,2,0,0,2,1,11,6
9 - Χαλκιδικής,14 E.T. Δήμου Αριστοτέλη,475,370,6,1,7,363,157,72,33,4,10,32,25,0,6,14,1,2,23,1,6,0,10,3,18,0,2,12,1,2,25,5,5,3,1,2,7,0,0,3,1,1,13,1,12,0,0,0,0,3,1,0,0,1,1,0,0,0,0,62,14,34,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,7,1,1,1,1,1,0,13,6
9 - Χαλκιδικής,15 E.T. Δήμου Αριστοτέλη,487,365,8,4,12,353,129,59,17,1,19,25,33,2,7,19,0,0,43,4,11,0,22,4,18,4,0,1,1,1,22,4,4,3,0,3,6,0,0,2,1,0,6,0,6,0,0,0,0,2,0,1,0,5,5,2,0,0,1,55,13,27,9,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,1,1,0,0,1,1,3,2,5,4,0,0,1,1,1,1,12,4
9 - Χαλκιδικής,16 E.T. Δήμου Αριστοτέλη,346,227,4,0,4,223,60,24,9,2,11,7,54,3,11,31,0,4,38,2,5,1,23,3,16,4,1,5,0,1,7,3,2,0,0,0,9,1,2,1,1,0,6,1,4,1,1,0,0,1,0,1,0,4,4,3,1,2,0,10,1,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,6,4
9 - Χαλκιδικής,17 E.T. Δήμου Αριστοτέλη,349,223,3,1,4,219,81,25,17,3,11,8,48,4,8,27,0,2,29,0,3,6,15,4,5,0,0,2,1,0,10,3,0,2,1,1,5,3,0,0,0,1,6,2,3,1,0,0,0,1,1,0,0,1,1,1,0,0,0,11,2,1,4,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,10,4
