ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΓΙΑΝΝΟΥΛΟΥ ΚΑΛΛΙΟΠΗ του Ιωάννη,ΜΗΤΑΡΑΚΗΣ ΠΑΝΑΓΙΩΤΗΣ (ΝΟΤΗΣ) του Αντωνίου,ΤΡΟΜΠΟΥΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,ΤΣΑΠΗ ΜΑΡΚΕΛΛΑ του Κωνσταντίνου,ΣΥΡΙΖΑ,ΒΛΑΤΤΑ ΑΓΓΕΛΙΚΗ του Αργυρίου,ΜΙΧΑΗΛΙΔΗΣ ΑΝΔΡΕΑΣ του Φραγκούλη,ΝΕΑΜΟΝΙΤΑΚΗΣ ΜΑΡΙΟΣ του Στεργίου,ΠΕΙΡΑΝΤΑΚΟΥ ΣΕΒΑΣΤΗ του Ιωάννη,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΚΡΙΜΙΖΗΣ ΧΡΙΣΤΟΦΟΡΟΣ του Νικολάου,ΛΕΩΝΗ - ΚΩΣΤΑΝΤΟΥΛΑΚΗ ΜΑΡΙΑ του Στυλιανού,ΛΥΚΟΥ ΑΠΟΣΤΟΛΙΑ (ΛΙΤΣΑ) του Παντελή,ΜΙΧΑΗΛΙΔΗΣ ΣΤΑΥΡΟΣ του Γεωργίου,Κ.Κ.Ε.,ΑΜΠΑΖΗΣ ΓΕΩΡΓΙΟΣ του Ηλία,ΒΕΡΝΙΩΤΟΥ ΑΝΝΑ του Γεωργίου,ΚΥΡΙΤΣΗ ΑΓΛΑΪΑ του Λαζάρου,ΜΙΧΑΛΑΚΗΣ ΑΡΙΣΤΕΙΔΗΣ (ΑΡΗΣ) του Νικολάου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΟΥΤΑ ΣΟΥΛΤΑΝΑ του Κωνσταντίνου,ΜΙΧΑΛΑΣ ΑΛΕΞΑΝΔΡΟΣ του Παναγιώτη,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΒΟΡΡΙΑΣ ΑΛΕΞΑΝΔΡΟΣ του Μιχαήλ,ΓΟΥΤΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΞΕΝΙΑΔΗ ΕΜΜΑΝΟΥΕΛΛΑ του Θεοδώρου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΓΟΥΡΝΗ ΧΡΥΣΟΥΛΑ του Παντελή,Κ.Κ.Ε. (μ-λ),ΠΑΠΑΚΩΝΣΤΑΝΤΙΝΟΥ ΧΡΗΣΤΟΣ του Σπυρίδωνα,Ο.Κ.Δ.Ε.,ΚΑΛΑΝΤΖΗ ΕΒΙΝΑ του Νικολάου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΠΟΣΤΟΛΙΔΗΣ ΖΑΝΝΗΣ του Μικέ,Κίνημα 21,ΠΙΤΣΙΟΥ ΒΑΣΙΛΙΚΗ του Αθανασίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΔΗΜΑ ΚΑΛΛΙΟΠΗ του Κωνσταντίνου,ΣΚΑΠΙΝΑΚΗΣ ΘΕΟΔΩΡΟΣ ΟΡΕΣΤΗΣ του Γεωργίου,ΝΙΚΗ,ΣΠΑΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,ΣΤΕΦΑΝΟΥ ΕΙΡΗΝΗ του Αθανασίου,κοινωνία αξιών,ΠΑΧΝΟΣ ΓΕΩΡΓΙΟΣ του Όθωνος,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΚΟΥΡΛΗ ΕΛΕΥΘΕΡΙΑ του Θεοδώρου,ΤΣΙΡΟΣ ΝΙΚΟΛΑΟΣ του Χρήστου,Μ-Λ Κ.Κ.Ε.,ΣΤΑΥΡΙΔΟΥ ΧΡΥΣΟΥΛΑ του Ιωσήφ,Ελλήνων Συνέλευσις,ΑΠΟΣΤΟΛΑΚΗΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΚΕΦΑΛΑ ΜΑΡΙΑ του Κωνσταντίνου,ΠΑΠΑΔΗΜΗΤΡΗΣ ΙΩΑΝΝΗΣ του Μιχαήλ,Ένωση Κεντρώων,ΚΑΒΑΔΕΛΛΑΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΝΙΚΑΣ ΗΛΙΑΣ του Δημητρίου,ΦΩΚΑ ΠΑΝΑΓΙΩΤΑ του Αναστάσιου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΝΤΑΜΑΤΙΔΟΥ ΕΙΡΗΝΗ του Σταύρου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΑΝΑΣΤΑΣΟΠΟΥΛΟΥ ΒΑΣΙΛΙΚΗ του Κωνσταντίνου,ΚΑΣΤΕΡΗΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΖΑΦΕΙΡΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΤΑΟΥΣΑΝΗΣ ΓΕΩΡΓΙΟΣ του Κυριακου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΑΡΑΓΙΑΝΝΙΔΟΥ ΑΝΤΩΝΙΑ του Νικολάου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΜΕΡΙΚΑΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΝΑΤΣΗ ΣΟΦΙΑ του Ευάγγελου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΚΑΡΑΓΙΑΝΝΗΣ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΔΡΑΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ (ΓΙΑΓΚΟΣ) του Δημητρίου
49 - Χίου,1 E.T. Δήμου Ηρωικής Νήσου Ψαρών,576,299,3,0,3,296,148,4,66,8,64,51,4,42,2,0,31,10,0,11,9,7,4,0,1,0,14,7,5,5,1,1,2,1,1,0,0,0,0,0,0,0,0,2,1,1,7,1,5,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,22,19
49 - Χίου,2 E.T. Δήμου Οινουσσών,454,200,7,3,10,190,109,5,67,23,5,22,3,14,1,0,18,8,2,4,3,13,6,1,1,1,10,7,3,3,1,1,1,2,2,0,0,0,0,0,0,1,0,3,2,1,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,1,1,0,0,0
49 - Χίου,3 E.T. Δήμου Οινουσσών,474,156,3,0,3,153,93,4,62,20,3,21,3,13,2,1,12,4,0,4,3,11,7,0,1,1,7,1,6,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2
49 - Χίου,4 E.T. Δήμου Οινουσσών,494,135,0,0,0,135,81,11,45,16,3,9,1,5,0,1,10,2,0,3,3,7,4,1,1,0,3,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,7,1,2,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,3,2
49 - Χίου,5 E.T. Δήμου Χίου,460,327,10,2,12,315,105,10,54,27,4,32,3,16,4,4,134,16,0,18,97,18,8,3,3,0,7,5,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,5,2
49 - Χίου,6 E.T. Δήμου Χίου,465,323,10,5,15,308,103,12,68,17,1,39,8,16,4,4,109,20,0,21,65,20,5,1,8,1,4,1,2,8,1,2,4,6,5,1,0,0,0,0,0,0,0,2,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,4,3,6,5
49 - Χίου,7 E.T. Δήμου Χίου,478,329,14,2,16,313,98,10,65,13,0,32,1,17,4,5,115,9,2,10,90,24,8,8,2,1,11,0,9,4,1,1,1,1,0,0,0,3,1,3,2,4,2,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,1,1,0,0,1,0,0,1,1,8,4
49 - Χίου,8 E.T. Δήμου Χίου,473,298,15,3,18,280,89,11,58,17,2,38,2,22,6,4,106,10,3,12,78,13,8,2,1,1,2,1,0,8,1,2,4,4,4,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,5,2,2,0,0,0,0,1,1,0,0,0,3,1,5,4
49 - Χίου,9 E.T. Δήμου Χίου,448,292,0,2,2,290,119,14,70,20,5,28,1,13,4,6,96,10,1,9,75,14,4,1,3,1,7,3,4,4,0,0,2,1,1,1,0,0,0,2,1,1,1,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1,1,1,1,0,0,3,2,1,0,0,1,0,2,1
49 - Χίου,10 E.T. Δήμου Χίου,394,229,1,6,7,222,100,19,61,15,0,23,1,14,1,3,51,15,0,14,21,22,0,22,0,0,3,1,1,1,0,0,1,8,3,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,4
49 - Χίου,11 E.T. Δήμου Χίου,372,204,0,0,0,204,101,20,67,7,0,20,1,13,2,1,54,15,0,13,23,13,1,10,1,0,5,3,2,0,0,0,0,4,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0
49 - Χίου,12 E.T. Δήμου Χίου,365,169,0,1,1,168,67,10,29,21,3,22,4,13,2,1,33,5,1,1,23,14,0,1,2,9,9,4,2,6,2,0,2,1,1,0,0,0,0,1,0,3,1,1,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1
49 - Χίου,13 E.T. Δήμου Χίου,370,109,1,0,1,108,41,10,15,9,1,17,3,8,2,1,34,10,1,3,16,4,0,2,0,1,2,0,2,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
49 - Χίου,14 E.T. Δήμου Χίου,175,33,0,1,1,32,14,2,7,2,1,5,0,5,0,0,8,0,0,0,8,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49 - Χίου,15 E.T. Δήμου Χίου,101,46,1,0,1,45,27,7,11,7,0,4,0,2,1,0,7,2,3,0,2,1,1,0,0,0,2,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49 - Χίου,16 E.T. Δήμου Χίου,104,41,2,0,2,39,12,0,10,1,0,4,0,3,0,0,9,1,2,0,5,1,0,0,0,0,2,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0
49 - Χίου,17 E.T. Δήμου Χίου,362,60,1,0,1,59,32,10,11,6,0,9,0,6,1,0,8,3,0,0,4,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
