ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΑΚΤΥΠΗΣ ΔΙΟΝΥΣΙΟΣ του Δημητρίου,ΛΙΒΕΡΗ ΜΑΡΙΑ του Σταμάτη,ΠΕΤΤΑΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΣΥΡΙΖΑ,ΑΡΜΕΝΗΣ ΓΕΩΡΓΙΟΣ του Ηλία,ΜΑΡΟΥΔΑ ΑΝΑΣΤΑΣΙΑ του Διονυσίου,ΞΕΝΟΣ ΣΠΥΡΙΔΩΝ του Σκοπιώτη,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΘΕΟΔΟΣΗ - ΚΟΝΤΟΥ ΑΝΑΣΤΑΣΙΑ του Ιωάννη-Διονύσιου,ΚΟΝΤΟΝΗΣ ΧΑΡΑΛΑΜΠΟΣ-ΣΤΑΥΡΟΣ του Νικόλαου,ΜΠΟΤΩΝΗΣ ΔΙΟΝΥΣΙΟΣ του Αθανασίου,Κ.Κ.Ε.,ΑΡΒΑΝΙΤΑΚΗΣ ΔΙΟΝΥΣΙΟΣ του Κωνσταντίνου,ΚΑΡΑΚΩΣΤΑ ΠΑΡΑΣΚΕΥΗ (ΒΟΥΛΑ) του Σωτηρίου,ΚΩΝΣΤΑΝΤΙΝΟΥ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,Ελληνική Λύση - Κ. Βελόπουλος,ΜΟΥΖΑΚΗ ΠΑΝΑΓΙΩΤΑ του Διονυσίου,ΜΠΑΣΤΑΣ ΧΡΗΣΤΟΣ του Βασιλείου,ΠΑΠΑΔΑΤΟΣ ΓΕΡΑΣΙΜΟΣ του Παναγή Διομήδη,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΠΕΤΤΑΣ ΔΗΜΗΤΡΙΟΣ του Δημητρίου,ΡΟΥΜΕΛΙΩΤΟΥ ΛΑΜΠΡΙΝΗ του Αναστασίου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΑΣΤΗ ΠΟΛΥΞΕΝΗ του Αντωνίου,ΠΑΡΑΣΧΗΣ ΚΟΡΩΝΙΟΣ ΝΙΚΟΛΑΟΣ του Σπυρίδωνα Χρυσοστόμου,Κ.Κ.Ε. (μ-λ),ΡΟΥΚΑΝΑ ΑΝΑΣΤΑΣΙΑ του Ιωάννη,Ο.Κ.Δ.Ε.,ΜΑΡΓΑΡΗΣ ΧΑΡΑΛΑΜΠΟΣ του Ηλία,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΛΑΧΑΝΙΩΤΗ ΑΝΤΩΝΙΑ (ΤΟΝΙΑ) του Δημητρίου,ΣΕΜΙΤΕΚΟΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ (ΝΤΙΝΟΣ) του Κωνσταντίνου,ΧΑΪΚΑΛΗΣ ΣΠΥΡΙΔΩΝ του Παναγιώτη,Κίνημα 21,ΓΚΑΤΖΟΥΝΑ ΑΙΚΑΤΕΡΙΝΗ του Δημητρίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΛΑΓΟΔΗΜΟΣ ΑΡΓΥΡΙΟΣ του Διονυσίου,ΝΙΚΗ,ΛΙΒΕΡΗ ΑΛΕΞΑΝΔΡΑ του Διονυσίου,ΣΤΕΦΑΝΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,κοινωνία αξιών,ΦΑΡΑΟΣ ΔΗΜΗΤΡΙΟΣ του Χαραλάμπους,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΚΛΑΥΔΙΑΝΟΥ ΜΑΡΙΑ του Δημητρίου,Μ-Λ Κ.Κ.Ε.,ΤΣΟΥΚΑΛΑΣ ΧΡΗΣΤΟΣ του Ιωάννη,Ελλήνων Συνέλευσις,ΒΟΥΤΟΣ ΘΕΟΦΑΝΗΣ του Σπυρίδων,Ένωση Κεντρώων,ΤΥΡΟΓΑΛΑ ΜΑΡΙΝΑ του Καμίλου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΤΣΑΝΟΥ ΣΤΑΥΡΟΥΛΑ του Αθανάσιου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΓΙΑΤΡΑ ΔΙΟΝΥΣΙΑ του Πέτρου,ΜΑΡΟΥΔΑΣ ΠΑΝΑΓΙΩΤΗΣ - ΣΙΓΟΥΡΟΣ του Παύλου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΑΡΒΑΝΙΤΑΚΗΣ ΦΩΤΙΟΣ του Διονυσίου-Παναγιώτη,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΒΟΓΙΑΤΖΗ ΧΡΥΣΟΥΛΑ του Ελευθερίου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΤΕΤΡΑΔΗΣ ΑΓΓΕΛΟΣ του Ιωάννη,ΕΑΝ...,ΚΛΕΙΔΕΡΗΣ ΓΕΩΡΓΙΟΣ του Διονυσίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΝΤΟΖΗΣ ΙΩΑΝΝΗΣ του Διονυσίου
29 - Ζακύνθου,1 E.T. Δήμου Ζακύνθου,325,195,0,2,2,193,75,31,1,39,31,7,8,12,11,2,8,1,41,9,7,7,5,0,2,0,2,2,0,2,0,1,3,0,0,0,1,0,0,0,0,0,9,7,1,1,0,2,1,0,0,0,0,2,1,0,0,0,0,2,1,1,0,0,0,0,1,1,0,0,5,4
29 - Ζακύνθου,2 E.T. Δήμου Ζακύνθου,387,227,7,1,8,219,108,45,4,55,13,3,2,6,7,2,0,3,55,7,15,12,3,1,0,0,6,6,0,8,0,0,5,4,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,0,2,1,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,4,2
29 - Ζακύνθου,3 E.T. Δήμου Ζακύνθου,348,205,5,1,6,199,63,34,4,19,44,16,10,7,28,15,10,0,9,2,2,4,6,1,1,1,3,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,2,2,7,3,1,0,0,0,0,0,0,20,19,0,0,0,0,5,0,2,1,0,1,0,3,1,1,1,3,2
29 - Ζακύνθου,4 E.T. Δήμου Ζακύνθου,358,202,5,0,5,197,81,54,2,21,35,11,4,17,22,13,7,0,22,5,10,2,7,5,0,0,3,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,9,9,0,0,0,0,3,0,3,0,0,1,0,2,2,0,0,5,3
29 - Ζακύνθου,5 E.T. Δήμου Ζακύνθου,365,226,6,3,9,217,99,66,2,23,31,5,6,16,21,11,5,5,28,6,8,6,7,4,1,0,5,2,1,5,0,4,0,0,0,0,0,0,0,0,1,1,1,1,2,0,1,0,0,1,0,0,0,2,1,0,0,0,0,2,0,1,1,1,3,2,2,1,1,1,5,3
29 - Ζακύνθου,6 E.T. Δήμου Ζακύνθου,283,188,4,1,5,183,79,58,6,13,45,18,3,21,19,13,2,2,20,3,7,3,1,0,0,0,5,1,1,4,3,1,1,0,0,0,0,0,0,0,2,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2
29 - Ζακύνθου,7 E.T. Δήμου Ζακύνθου,432,220,4,1,5,215,96,62,5,25,33,10,9,10,31,17,8,2,17,4,1,4,4,1,0,0,6,3,2,5,1,3,2,0,0,0,0,0,0,0,0,0,2,2,6,4,0,0,0,1,1,0,0,3,1,1,1,1,1,2,1,1,0,0,0,0,0,0,1,1,4,1
29 - Ζακύνθου,8 E.T. Δήμου Ζακύνθου,433,204,0,4,4,200,83,50,5,21,30,4,7,12,24,9,7,4,19,3,5,6,13,4,1,0,6,1,3,1,0,0,0,0,0,0,1,1,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,3,2,1,1,1,0,5,1,2,0,0,3,1,0,0,2,1,4,3
29 - Ζακύνθου,9 E.T. Δήμου Ζακύνθου,416,188,2,1,3,185,64,37,5,20,34,5,8,15,34,15,8,2,14,3,4,5,9,3,3,1,5,2,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,3,1,1,1,1,0,0,1,1,4,3,0,0,2,1,5,2,1,0,0,0,0,0,0,0,0,4,3
29 - Ζακύνθου,10 E.T. Δήμου Ζακύνθου,406,201,4,4,8,193,90,60,2,22,35,9,10,10,16,8,4,3,12,5,1,5,10,4,2,1,6,1,3,3,0,2,2,1,0,0,0,0,0,0,3,2,1,1,5,2,3,1,1,0,0,1,1,4,3,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0
29 - Ζακύνθου,11 E.T. Δήμου Ζακύνθου,365,246,4,0,4,242,84,47,5,25,74,16,13,42,9,3,6,0,44,12,10,8,0,0,0,0,4,1,0,15,0,13,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,1,1,1,0,1,0,0,2,1,1,0,0,0,2,1
29 - Ζακύνθου,12 E.T. Δήμου Ζακύνθου,410,266,5,3,8,258,100,53,5,35,44,12,4,21,35,17,2,12,34,9,10,5,9,3,0,0,3,0,2,7,1,3,1,0,0,0,2,2,0,0,1,1,1,0,6,4,2,0,0,0,0,1,0,2,2,1,1,1,0,1,0,0,0,0,1,0,0,0,3,1,5,1
29 - Ζακύνθου,13 E.T. Δήμου Ζακύνθου,278,122,2,2,4,118,65,36,8,16,12,3,4,3,14,7,2,3,8,2,1,1,5,0,0,2,3,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1
29 - Ζακύνθου,14 E.T. Δήμου Ζακύνθου,283,115,1,0,1,114,45,32,3,10,18,3,3,6,20,11,6,2,3,0,3,0,2,0,2,0,6,3,2,2,0,2,0,0,0,0,1,1,0,0,0,0,3,3,1,0,0,0,0,0,0,2,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
29 - Ζακύνθου,15 E.T. Δήμου Ζακύνθου,366,218,5,4,9,209,71,44,6,21,45,13,4,23,19,8,5,2,29,6,14,8,7,3,2,1,9,3,4,4,1,3,1,1,0,0,0,0,0,0,1,0,3,2,3,1,1,0,0,0,0,0,0,1,1,0,0,2,1,3,0,1,0,0,0,0,1,0,0,0,10,6
29 - Ζακύνθου,16 E.T. Δήμου Ζακύνθου,357,189,1,0,1,188,88,56,4,26,32,13,5,11,9,2,2,1,16,4,4,5,6,4,1,0,9,3,3,10,2,7,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,2,1,0,1,0,0,0,1,1,2,0,5,5
